code,name,category,pe,2018-06,2018-03,2017-12,2017-09
SWNC,Southwestern Energy Co.,,-1.8797468,0,0,0,0
STOR,STORE Capital Corp.,,35.36585397,62201000.0_1.87%,49960000.0_59.16%,41008000.0_28.39%,28580000.0_-21.36%
MPWR,"Monolithic Power Systems, Inc.",半导体,111.6825415,24206000.0_61.22%,21856000.0_50.97%,12071000.0_-27.17%,23642000.0_64.49%
FL,富乐客,零售,10.32586606,0,0,0,0
VVC,埃文斯威市电力,天然气\r,28.03921621,22200000.0_-40.96%,63500000.0_14.62%,61200000.0_-12.07%,61900000.0_0.81%
HXL,赫氏,,25.61509238,68800000.0_11.69%,61600000.0_-4.64%,88100000.0_48.07%,69700000.0_2.20%
MASI,麦斯莫医疗,医疗保健产品,20.14336206,43853000.0_-2.85%,45630000.0_-11.45%,368000.0_-99.83%,39235000.0_41.27%
COMM,"CommScope Holding Co., Inc.",计算机硬件,27.327433,65922000.0_18.86%,33735000.0_0.52%,53581000.0_-1.62%,51157000.0_-45.48%
NATI,美国国家仪器,,70.09375252,31054000.0_23.45%,24268000.0_33.72%,-24282000.0_-183.31%,33389000.0_36.34%
CUBE,CubeSmart,房地产信托投资基金,70.55555742,38751000.0_18.01%,34799000.0_38.06%,39858000.0_47.37%,37709000.0_50.29%
ERIE,伊瑞保险,保险,31.55610815,79706000.0_36.19%,65758000.0_37.35%,32053000.0_-29.99%,58543000.0_2.03%
JBLU,捷蓝航空,航空公司,8.46846802,-120000000.0_-157.97%,88000000.0_7.32%,672000000.0_290.70%,179000000.0_-10.05%
PFPT,"Proofpoint, Inc.",软件,-43.1879675,-34298000.0_-45.98%,-12156000.0_40.07%,-10959000.0_52.11%,-21963000.0_-19.58%
LAZ,Lazard Ltd.,多元化金融服务,16.77397201,148000000.0_22.73%,162000000.0_46.39%,-82954000.0_-164.31%,111000000.00000001_-1.02%
KNX,"Knight-Swift Transportation Holdings, Inc.",,28.3620711,91628000.0_401.82%,70732000.0_368.24%,"448000000.00000006_1,892.97%",4199000.0_-82.56%
LPLA,"LPL Financial Holdings, Inc.",多元化金融服务,31.13614842,119000000.0_73.55%,93530000.0_94.09%,64098000.0_53.58%,58142000.0_11.91%
CAA,"CalAtlantic Group, Inc.",,14.75555565,0,0,0,93352000.0_-29.46%
PLLL,Piedmont Lithium Ltd.,,,0,0,-2657700.0_-397.84%,-2657700.0_-397.84%
YPF,阿根廷YPF,,-3.18162412,1508000000.0_454.41%,"5986000000.0_3,017.71%",11962000000.0_573.92%,246000000.0_100.81%
MORN,晨星信息,商业服务,36.84408508,41800000.0_-9.33%,41900000.0_132.78%,38900000.0_-44.67%,33900000.0_12.25%
LOPE,大峡谷教育,,38.34285559,46038000.0_15.54%,73681000.0_31.78%,68256000.0_42.26%,39304000.0_34.40%
SNHNI,Senior Housing Properties Trust,,40.81666466,0,0,0,0
CRL,查尔斯河,生物技术,37.50154692,54379000.0_-0.41%,53245000.0_13.39%,-29067000.0_-164.27%,52955000.0_39.23%
CW,寇蒂斯莱特,,31.82891405,74788000.0_47.66%,43643000.0_34.09%,67750000.0_-1.26%,63944000.0_39.21%
LEG,礼恩派集团,,16.15941979,85100000.0_-2.85%,77900000.0_-9.52%,36400000.0_-55.45%,82600000.0_-11.75%
SPIL,矽品精密工业股份有限公司,半导体,19.08888973,0,0,1355000000.0_-46.93%,2662000000.0_-6.30%
G,简伯特,,23.84375089,64574000.0_-6.55%,63934000.0_21.92%,66138000.0_-13.05%,73161000.0_7.29%
MAN,万宝盛华人力资源,,14.07655541,143000000.0_22.56%,97000000.0_30.38%,216000000.0_69.78%,138000000.0_6.58%
STWD,"Starwood Property Trust, Inc.",房地产信托投资基金,14.65333303,117000000.0_-4.98%,105000000.0_1.89%,93881000.0_-23.50%,92799000.0_-12.30%
CY,赛普拉斯半导体,半导体,-7.45116267,0,0,-23275000.0_66.42%,0
AM,美国贺卡公司,家庭产品\/用品\r,24.83870887,109000000.00000001_25.57%,108000000.0_43.97%,64155000.0_-12.54%,80893000.0_14.70%
ACC,美国校园社区公司,房地产信托投资基金,56.09333293,"45990000.0_1,833.51%",26250000.0_-23.80%,39558000.0_53.30%,-1233000.0_-112.52%
AYI,"Acuity Brands, Inc.",,20.76445099,0,0,0,0
EXEL,伊克力西斯,生物技术和制药,-68.571431,87494000.0_395.55%,115999999.99999999_593.75%,38489000.0_9.58%,81382000.0_821.22%
PHI,菲律宾长途电话,电信,14.32065212,4881000000.0_-57.89%,6923999999.999999_39.34%,-8476000000.000001_-298.87%,5381000000.0_57.62%
GT,固特异轮胎橡胶公司,汽车制造,5.06540114,164000000.0_6.49%,80000000.0_-52.66%,-90000000.0_-115.87%,132000000.0_-58.75%
IJS,iShares S&P Small-cap 600 Value ETF,股权,7.21534572,0,65527900.0_-72.02%,65527900.0_-72.02%,166000000.0_-13.77%
CIB,哥伦比亚银行,银行,10.99506091,623282000000.0_-9.06%,544049000000.0_-13.92%,968671999999.9999_-14.83%,468054000000.0_-25.74%
SIX,Six Flags Entertainment Corp.,,53.96799927,94505000.0_31.93%,-62345000.0_-8.34%,"98013000.0_5,146.95%",200999999.99999997_65.11%
MDU,"MDU Resources Group, Inc.",,87.45454383,43802000.0_6.28%,42437000.0_13.70%,114999999.99999999_75.43%,87351000.0_5.26%
BPL,巴克艾,管道,9.1339949,93317000.0_-19.82%,117000000.0_-7.30%,131000000.0_20.04%,120000000.0_-24.99%
AVT,安富利电子科技公司,电子,15.86000061,58615000.0_-28.03%,-320000000.0_-217.77%,46724000.0_-54.73%,58303000.0_-15.31%
MEOH,梅思恩,化学制品,-503.92859108,0,0,0,38382000.0_347.72%
BC,宾士域（Brunswick）集团,,21.63666789,79000000.0_-33.84%,72900000.0_12.33%,-117000000.0_-760.45%,79000000.0_-7.49%
TLLP,Tesoro Logistics LP,管道,27.87700585,0,0,0,0
NEWR,"New Relic, Inc.",,-78.50781259,-5615000.0_64.76%,-6966000.0_53.54%,-7729000.0_44.33%,-14691000.0_-3.97%
RDY,如瑞迪博士,制药,38.01123862,4561000000.0_671.74%,3022000000.0_-3.30%,3344000000.0_-28.87%,2849000000.0_-3.42%
CPL,CPFL能源,,19.62499951,450000000.0_265.48%,419000000.00000006_80.68%,498000000.00000006_262.64%,390000000.0_44.91%
CCK,皇冠控股,,11.55056168,147000000.0_-0.68%,112999999.99999999_-15.04%,-61000000.0_-165.59%,208000000.0_0.97%
AR,Antero Resources Corp.,,-6.07638865,-67275000.0_-268.33%,80810000.0_-73.55%,530000000.0_216.96%,-90000000.0_-133.56%
TX,特尔尼翁钢铁,,9.32013203,338000000.0_19.87%,422000000.0_35.99%,198000000.0_36.79%,233000000.0_-11.96%
HHC,The Howard Hughes Corp.,,27.22198604,-5879000.0_-288.43%,1834000.0_-67.59%,147000000.0_237.95%,10516000.0_31.52%
BRX,"Brixmor Property Group, Inc.",,20.12087795,80362000.0_6.53%,61022000.0_-14.84%,69896000.0_-25.10%,83380000.0_44.24%
SON,Sonoco Products Co.,包装容器,19.77580101,0,0,6050000.0_-94.24%,0
AIY,Apollo Investment Corp.,,-419.48834403,13250000.0_-53.96%,20627000.0_156.17%,5833000.0_-48.33%,31787000.0_-22.69%
HRB,H & R布洛克税务公司,,17.73154356,0,0,0,0
THG,汉诺威保险,保险,36.22562846,99300000.0_26.66%,67700000.0_49.78%,51500000.0_481.48%,11100000.0_-87.44%
SCG,斯卡纳公司,电力,9.25480803,8000000.0_-93.39%,169000000.0_-1.17%,-445000000.0_-458.87%,34000000.0_-82.01%
CPN,卡尔派电业,电力,58.65384831,0,0,"-288000000.0_-1,128.57%",231000000.0_-23.26%
FCNCA,第一公民银行股份,银行,24.31859245,0,0,0,0
UTHR,美国联合医疗公司,生物技术,8.23672135,173000000.0_408.75%,244000000.0_36.90%,19000000.0_-82.77%,276000000.0_70.77%
OLED,Universal Display Corp.,,113.38235656,10814000.0_-77.08%,5959000.0_-42.51%,32813000.0_27.09%,"13520000.0_1,001.33%"
JHG,Janus Henderson Group Plc,,,130000000.0_214.46%,163000000.0_283.10%,"472000000.0_1,533.56%",102000000.0_90.67%
CTLT,"Catalent, Inc.",,56.84722039,0,19000000.0_-26.92%,-21900000.0_-225.86%,3800000.0_-17.39%
EVHC,Envision Healthcare Corp.,,-95.65957276,"-1777000000.0_-1,746.90%",-35200000.0_91.00%,178000000.0_328.75%,79000000.0_-17.36%
RP,"RealPage, Inc.",软件,276.42857643,8479000.0_36.47%,10901000.0_33.02%,-20865000.0_-383.45%,6834000.0_62.33%
FIZZ,National Beverage Corp.,饮料,57.03902587,0,0,0,0
MPW,"Medical Properties Trust, Inc.",房地产信托投资基金,17.36046518,112000000.00000001_51.79%,91043000.0_33.52%,72376000.0_67.36%,76881000.0_8.98%
TRN,"Trinity Industries, Inc.",,16.34666612,65500000.0_21.30%,41600000.0_-19.54%,540000000.0_627.76%,67900000.0_-24.22%
BB,BlackBerry Ltd.,,,0,0,0,0
VR,Validus Holdings Ltd.,保险,15.59403573,0,0,0_0,-621000000.0_-579.55%
SQM,智利矿业化工,化学制品,42.24528415,134000000.00000001_32.54%,113999999.99999999_10.52%,111000000.00000001_35.08%,112999999.99999999_98.30%
LFUS,美国力特保险丝,,47.62826106,42326000.0_-12.98%,36029000.0_-7.36%,-10819000.0_-139.71%,42808000.0_38.98%
CAE,"CAE, Inc.",航空航天\/国防,29.55882378,0,0,0,67000000.0_37.01%
ITT,"ITT, Inc.",多元化制造商,29.52657048,69900000.0_45.93%,101000000.0_122.15%,-67100000.0_-357.09%,86900000.0_-3.66%
BRKR,布鲁克,医疗保健产品,36.00000125,31500000.0_31.25%,27400000.0_26.27%,-3000000.0_-104.34%,37600000.0_-20.00%
HAE,美国血液技术,医疗保健产品,333.90323013,-2819000.0_-114.00%,11880000.0_123.23%,-6547000.0_-142.53%,20102000.0_1.40%
FSLR,第一太阳能公司,,-14.65517233,-48491000.0_-193.32%,82951000.0_808.65%,-432000000.0_42.40%,206000000.0_36.75%
X,合众钢铁,,-10.70106772,214000000.0_-18.01%,18000000.0_110.00%,159000000.0_251.43%,147000000.0_188.24%
CR,Crane Co.,多元化制造商,43.18357598,80700000.0_16.45%,68700000.0_8.53%,-28600000.0_54.96%,68500000.0_7.54%
IMMP,Immutep Ltd.,,,-4210600.0_-36.92%,-4210600.0_-88.88%,-2162500.0_-6.46%,-2162500.0_-6.46%
NYCB,纽约社区银行集团,储蓄及贷款\r,10.74257474,107000000.0_0,107000000.0_2.50%,137000000.0_20.04%,110000000.00000001_-11.84%
HPP,"Hudson Pacific Properties, Inc.",房地产信托投资基金,136.47999573,19691000.0_183.16%,52563000.0_117.63%,48944000.0_71.55%,14510000.0_178.13%
OEF,标普100指数ETF-iShares,股权,10.36713047,0,118000000.0_-46.39%,118000000.0_-46.39%,172000000.0_32.14%
OZRK,Bank of The Ozarks,银行,15.98449725,114999999.99999999_26.75%,112999999.99999999_26.82%,146000000.0_66.38%,96047000.0_26.30%
EAF,GrafTech International Ltd.,,,"200999999.99999997_1,258.88%",224000000.00000003_949.05%,55629000.0_215.65%,-3919000.0_82.94%
ASH,亚什兰公司,化学制品,-44.40837758,36000000.0_220.00%,73000000.0_-30.48%,-4000000.0_-140.00%,-57000000.0_79.27%
ACM,AECOM,工程建设,31.64423178,75142000.0_-44.78%,-108000000.0_-193.02%,124000000.0_89.14%,104000000.0_705.34%
RNR,RenaissanceRe Holdings Ltd.,保险,11.48731405,252000000.0_17.50%,92207000.0_-30.29%,2199000.0_-97.59%,-703000000.0_-474.08%
MAT,美国美泰公司,玩具\/游戏\/爱好\r,16.6413045,-241000000.0_-329.66%,-311000000.0_-174.88%,-281000000.0_-261.81%,-603000000.0_-355.34%
NFX,新田勘探,,-4.13814774,119000000.0_21.43%,86000000.0_-41.50%,95000000.0_630.77%,87000000.0_81.25%
BRCD,博科通信,计算机,47.14814458,0,0,0,0
DNB,邓白氏公司,软件,53.57358344,94700000.0_102.78%,65600000.0_292.81%,25800000.0_-67.55%,55800000.0_301.44%
GRFS,Grifols SA,制药,47.62790512,175000000.0_21.84%,143000000.0_6.83%,231000000.0_65.85%,153000000.0_8.44%
SRCL,消毒循环公司,,29.52884636,27600000.0_119.14%,22500000.0_-61.60%,89566000.0_373.84%,39069000.0_-40.05%
GWR,杰纳西及怀俄明,,36.20247845,48611000.0_1.00%,76025000.0_178.59%,"428000000.0_4,712.50%",53385000.0_-5.99%
BPOP,大众银行,银行,24.92233086,280000000.0_190.76%,91324000.0_-1.74%,"-102000000.0_-2,388.53%",20664000.0_-55.86%
OZK,BANK OZK,,,114999999.99999999_26.75%,112999999.99999999_26.82%,146000000.0_66.38%,96047000.0_26.30%
SHLX,Shell Midstream Partners LP,,17.9846154,114999999.99999999_64.39%,64800000.0_-14.29%,99300000.0_20.95%,74500000.0_26.70%
LGND,"Ligand Pharmaceuticals, Inc.",生物技术,-3099.75001588,"73160000.0_1,107.66%",45279000.0_791.49%,-7010000.0_-124.25%,8426000.0_701.71%
EPR,娱乐房地产依托,房地产信托投资基金,22.17665658,91581000.0_13.72%,29538000.0_-45.21%,65563000.0_12.77%,62954000.0_9.44%
TOL,托尔兄弟,房屋建筑商,15.63636399,0,0,0,0
HIW,海伍兹物业,,9.50754671,52998000.0_33.99%,34246000.0_2.27%,59075000.0_118.50%,59549000.0_75.97%
PB,"Prosperity Bancshares, Inc.",银行,18.94416201,81597000.0_19.03%,74361000.0_8.45%,67138000.0_-2.41%,67908000.0_-1.08%
PODD,Insulet Corp.,医疗保健产品,-176.6000061,-1691000.0_78.23%,-6569000.0_34.16%,-6860000.0_24.77%,-2227000.0_27.72%
DFT,DuPont Fabros Technology,房地产信托投资基金,39.70658638,0,0,0,0
PBF,"PBF Energy, Inc.",油气,26.21264389,288000000.0_376.22%,41811000.0_308.74%,260000000.0_262.85%,347000000.0_515.17%
GLIBA,"GCI Liberty, Inc.",,,0,0,0,0
OSK,Oshkosh Corp.,汽车制造,23.70469763,153000000.0_19.28%,111000000.00000001_150.11%,56400000.0_193.75%,93500000.0_52.03%
EEP,安桥能源合作伙伴,管道,-10.67592525,187000000.0_-5.08%,172000000.0_9.55%,81700000.0_-44.04%,196000000.0_134.79%
HUYA,虎牙公司,,,"-2125000000.0_-14,104.68%",31407000.0_175.35%,4978000.0_103.62%,0
GTES,Gates Industrial Corp. Plc,,,"92600000.0_1,057.50%",29300000.0_11.41%,130000000.0_750.98%,0
GMED,"Globus Medical, Inc.",,48.31481318,44977000.0_56.89%,39538000.0_37.70%,24376000.0_0.32%,25591000.0_-2.42%
STL,"Sterling Bancorp (Montebello, New York)",银行,21.21495294,0,98872000.0_0,-33288000.0_0,44852000.0_19.85%
BPY,Brookfield Property Partners LP,,8.96875003,1051000000.0_58.28%,1023000000.0_447.06%,958000000.0_941.30%,659000000.0_-59.22%
PRI,"Primerica, Inc.",保险,25.77342029,86700000.0_37.39%,65715000.0_26.21%,168000000.0_196.17%,66635000.0_14.81%
PWR,广达公司,,27.09523782,74706000.0_16.08%,38611000.0_-20.29%,115999999.99999999_30.80%,89849000.0_21.17%
RGLD,皇家黄金,,488.06248802,24008000.0_42.59%,-154000000.0_-815.80%,-15787000.0_-158.25%,26548000.0_-1.51%
MUR,墨菲石油,油气,-18.41249915,45518000.0_359.05%,168000000.0_187.79%,-287000000.0_-348.65%,-65893000.0_-307.35%
CHE,Chemed Corp.,卫生保健设施,49.10494001,54971000.0_353.84%,44996000.0_50.77%,54552000.0_69.47%,35437000.0_32.08%
WTFC,Wintrust Financial Corp.,银行,24.70218621,89580000.0_38.03%,81981000.0_40.43%,68781000.0_25.95%,65626000.0_23.55%
GOOS,加拿大鹅控股公司,,195.57692438,0,0,0,37127000.0_85.47%
CRI,卡特,,21.4862211,37268000.0_-1.39%,42469000.0_-8.86%,136000000.0_55.75%,82486000.0_2.07%
DST,DST系统,,6.54637555,0,0,81200000.0_91.51%,48500000.0_-82.29%
PTHN,PATHEON N.V.,,56.41935367,0,0,0,0
PSTG,"Pure Storage, Inc.",,-17.53968298,0,0,0,0
SLM,学贷美,,21.98113254,110000000.00000001_55.53%,126000000.0_32.98%,47003000.0_-33.08%,76371000.0_34.07%
PNFP,"Pinnacle Financial Partners, Inc.",银行,22.38831602,86865000.0_101.61%,83510000.0_110.60%,26797800.000000004_-25.76%,64442100.0_99.04%
URBN,都市服饰,零售,25.06451536,0,0,0,0
FMI,"Foundation Medicine, Inc.",,-42.15384615,0,-37415000.0_19.46%,-38111000.0_-7.03%,-32644000.0_-4.35%
KEX,卡比海运,运输,32.19465731,28793000.0_10.86%,32666000.0_18.16%,231000000.0_604.54%,28789000.0_-11.02%
TSG,"The Stars Group, Inc.",,,0,0,0,75874000.0_505.88%
IART,英特格拉生命科学,医疗保健产品,62.73404401,11376000.0_4.99%,10992000.0_71.91%,44355000.0_57.02%,3159000.0_-84.32%
ITCB,Ita煤 Corpbanca,,,58304000000.0_-12.15%,43031000000.0_94.95%,-21402000000.0_40.35%,-4211000000.0_-130.53%
ESLT,Elbit Systems Ltd.,航空航天\/国防,21.06137204,0,0,0,61757000.0_-2.86%
IDA,"IDACORP, Inc.",电力,25.10406148,62593000.0_24.95%,36111000.0_9.41%,39011000.0_17.67%,91076000.0_9.71%
RIG,Transocean Ltd.,,5.17307722,-1139000000.0_32.16%,-212000000.0_-323.16%,-102000000.0_-139.69%,-1411000000.0_-697.88%
BHF,"Brighthouse Financial, Inc.",,,-238000000.0_-196.75%,-65000000.0_81.38%,668000000.0_137.85%,-943000000.0_-496.84%
INGN,"Inogen, Inc.",,239.84534746,14610000.0_75.22%,10758000.0_81.36%,-606000.0_-111.52%,7338000.0_39.88%
OLN,欧林,化学制品,-1485.00007134,"58600000.0_1,093.22%",20900000.0_55.97%,"488999999.99999994_2,696.00%",52700000.0_201.14%
BAK,Braskem SA,化学制品,-79.69444276,493000000.0_-56.88%,1151000000.0_-39.87%,313000000.0_111.86%,764000000.0_-6.63%
WSM,"Williams-Sonoma, Inc.",,17.3958939,0,0,0,0
SINA,新浪,互联网,22.92691108,110000000.00000001_76.10%,77091000.0_25.56%,119000000.0_147.80%,107000000.0_-33.39%
MSM,"MSC Industrial Direct Co., Inc.",,22.74673746,79069000.0_25.83%,118000000.0_119.48%,59585000.0_9.76%,60748000.0_-1.78%
AQN,Algonquin Power & Utilities Corp.,,47.40909255,0,0,0,48894000.0_232.14%
WWD,"Woodward, Inc.",电子,25.10971694,49117000.0_-8.41%,38489000.0_1.01%,18260000.0_-60.77%,62228000.0_-1.46%
LNCE,兰斯,,312.37500412,0,0,"190000000.0_2,275.23%",-56245000.0_-292.61%
AEO,美国鹰君服饰公司,,24.0517245,0,0,0,0
LGF.A,Lions Gate Entertainment Corp.,,,-11400000.0_-106.53%,89600000.0_45.69%,191000000.0_726.56%,12900000.0_174.57%
CCU,清晰频道,饮料,27.28865828,"168703000000.0_1,282.04%",60842999999.99999_16.76%,60337000000.0_-2.49%,23454000000.0_35.98%
NVT,nVent Electric Plc,,,43300000.0_-38.76%,52300000.0_-5.42%,156000000.0_254.55%,0
PVTB,私人银行,银行,23.7237365,0,0,0,0
HUBS,"HubSpot, Inc.",,-97.44186098,-18225000.0_-91.42%,-15448000.0_-91.31%,-11535000.0_16.59%,-10583000.0_-0.65%
NFG,National Fuel Gas Co.,,-377.93330916,63025000.0_5.54%,91847000.0_2.87%,199000000.0_123.44%,45576000.0_21.37%
MKSI,"MKS Instruments, Inc.",半导体,45.8247417,123000000.0_2.01%,105000000.0_61.58%,77638000.0_70.68%,75994000.0_133.48%
CLB,Core Laboratories NV,,75.39040878,24805000.0_9.23%,23577000.0_33.34%,21652000.0_40.88%,21053000.0_25.03%
VEON,VEON Ltd.,,,-138000000.0_46.51%,-82000000.0_-645.45%,-378000000.0_-124.45%,151000000.0_-69.37%
SYNH,"Syneos Health, Inc.",,,13560000.0_300.12%,-24552000.0_-215.88%,-15047000.0_-140.13%,-148000000.0_-641.50%
VNE,"Veoneer, Inc.",,,-66000000.0_-120.00%,-37000000.0_-68.18%,0,0
HLS,南方保健,健康护理服务,19.07722065,0,0,0,0
AFST,"AmTrust Financial Services, Inc. (New York)",,,-96900000.0_-432.99%,"676000000.0_1,246.41%",-254999999.99999997_-372.17%,-159000000.0_-266.83%
THO,托尔工业集团,,15.90846308,0,0,0,0
IBKC,IBERIABANK Corp.,银行,20.01162773,75124000.0_44.42%,63621000.0_26.05%,10278000.0_-77.23%,29644000.0_-38.33%
EEFT,嘉银通,,29.41176453,43636000.0_-15.02%,26344000.0_-6.15%,-22829000.0_-179.67%,100000000.0_65.10%
TDC,天睿公司,计算机,42.72631649,4000000.0_200.00%,-7000000.0_-250.00%,-74000000.0_-227.59%,13000000.0_-73.47%
ZS,"Zscaler, Inc.",,,0,0,0,0
AFSS,"AmTrust Financial Services, Inc. (New York)",,10.31084011,-96900000.0_-432.99%,"676000000.0_1,246.41%",-254999999.99999997_-372.17%,-159000000.0_-266.83%
WIX,Wix.com Ltd.,,-91.29464247,-5640000.0_60.46%,-19811000.0_5.14%,-6605000.0_-11.55%,-14519000.0_-50.57%
NUAN,微妙通讯公司,软件,-185.33332936,-14037000.0_49.57%,-164000000.0_-385.25%,53228000.0_322.44%,-65424000.0_-454.14%
ASR,Grupo Aeroportuario del Sureste SA de CV,,265.92309607,1098000000.0_-4.66%,1467000000.0_9.60%,3114000000.0_239.38%,1146000000.0_24.96%
OMF,"OneMain Holdings, Inc.",,22.15723195,7000000.0_-83.33%,124000000.0_275.76%,39000000.0_44.44%,69000000.0_176.00%
SFR,Colony Starwood Homes,,-46.41250064,0,0,0,0
TREX,"Trex Co., Inc.",,35.40174718,42820000.0_48.77%,37110000.0_32.78%,18299000.0_44.89%,20098000.0_158.10%
TDOC,"Teladoc, Inc.",,-42.25714111,-25079000.0_-62.69%,-23862000.0_-52.43%,-44383000.0_-211.22%,-31330000.0_-5.23%
ASGN,盎塞,商业服务,50.20994482,33561000.0_1.40%,29092000.0_29.93%,67331000.0_180.22%,34856000.0_17.09%
AGCO,爱科集团,,30.61734549,90400000.0_-1.31%,25000000.0_404.88%,45100000.0_-26.31%,60800000.0_54.31%
BLKB,布莱克波特科技,软件,111.01136701,6592000.0_-40.23%,17751000.0_35.07%,30709000.0_77.67%,12548000.0_40.45%
HPT,HPT房产信托,,22.1923088,97289000.0_60.28%,80206000.0_115.78%,31545000.0_-50.08%,85728000.0_65.46%
ASB,Associated Banc-Corp,,21.66666623,89192000.0_53.82%,69456000.0_23.43%,50010000.0_-8.80%,65001000.0_20.78%
LTSL,Ladenburg Thalmann Financial Services Inc.,,,9310000.0_602.64%,5464000.0_248.52%,6634000.0_968.28%,3402000.0_145.27%
SKX,斯凯奇,,19.10827962,60859000.0_-17.09%,137000000.0_28.72%,-51761000.0_-441.23%,107000000.0_39.57%
DTY,DTE Energy Co.,,,236000000.0_34.86%,351000000.0_-10.91%,280000000.0_125.81%,263000000.0_-19.08%
SBGL,Sibanye-Stillwater,,1.70731697,39150000.0_101.63%,39150000.0_101.63%,185000000.0_-87.49%,185000000.0_-87.49%
GRA,格雷斯事务所,化学制品,52.55223613,38600000.0_-11.26%,43400000.0_1.17%,-123000000.0_-889.10%,47100000.0_18.64%
SNDR,"Schneider National, Inc.",,,65800000.0_41.51%,47600000.0_110.62%,284000000.0_493.93%,36900000.0_0.27%
AL,航空租赁公司,多元化金融服务,13.21511579,114999999.99999999_14.16%,111000000.00000001_30.27%,471000000.0_385.73%,99188000.0_6.34%
TRQ,Turquoise Hill Resources Ltd.,,23.4999987,0,0,0,47682000.0_161.29%
EQM,EQT Midstream Partners LP,,10.49520152,162000000.0_16.48%,180000000.0_25.50%,147000000.0_8.06%,143000000.0_12.94%
TXRH,德州公路酒吧,零售,40.55214642,45963000.0_17.32%,56379000.0_56.51%,30010000.0_36.98%,32324000.0_20.60%
NSP,"Insperity, Inc.",,36.42395022,24560000.0_75.20%,49991000.0_40.31%,15554000.0_63.38%,19202000.0_36.52%
LSTR,莱帝运输,,35.30769231,62492000.0_66.60%,57473000.0_77.48%,64683000.0_63.45%,42420000.0_16.93%
UMPQ,Umpqua Holdings Corp.,银行,20.38095294,65999000.0_15.34%,78972000.0_71.67%,81871000.0_18.18%,61333000.0_-0.77%
PEGA,"Pegasystems, Inc.",软件,175.58823569,-10409000.0_-381.17%,12200000.0_-76.97%,-3681000.0_-142.07%,-1812000.0_-154.89%
AXS,AXIS轴组公司,保险,11.05315007,104000000.0_8.18%,73202000.0_268.68%,-27428000.0_-118.42%,-457000000.0_-344.94%
CDEV,"Centennial Resource Development, Inc.",,-355.40000386,67482000.0_190.90%,70772000.0_560.99%,33390000.0_117.39%,16260000.0_416.71%
SMI,中芯国际,半导体,14.10256462,31665000.0_-4.96%,27080000.0_-57.83%,-1696000.0_-102.92%,30590000.0_-72.72%
WTW,慧俪轻体,商业服务,68.29126048,70684000.0_56.51%,39059000.0_269.21%,62908000.0_376.86%,44667000.0_29.02%
CDAY,"Ceridian HCM Holding, Inc.",,,-65500000.0_-187.28%,-2600000.0_76.79%,44100000.0_280.74%,-20600000.0_46.07%
LGF.B,Lions Gate Entertainment Corp.,,,-11400000.0_-106.53%,89600000.0_45.69%,191000000.0_726.56%,12900000.0_174.57%
VET,"Vermilion Energy, Inc.",,-29.50000138,0,0,0,-39191000.0_-170.75%
JBL,捷普集团,,34.58749958,0,0,0,0
MDSO,Medidata解决方案公司,,153.35294225,16589000.0_119.98%,10325000.0_3.46%,13768000.0_27.01%,12844000.0_74.56%
IDTI,集成设备技术,半导体,30.72649751,0,0,-68241000.0_-296.46%,0
TCBI,"Texas Capital Bancshares, Inc.",银行,29.83923028,0,0,44742000.0_-7.53%,58684000.0_37.35%
SATS,回声星通信,电信,25.16666707,77684000.0_990.76%,-21171000.0_-156.68%,314000000.0_706.10%,35201000.0_-5.90%
CACI,CACI国际,,29.76152593,51831000.0_17.18%,64499000.0_59.82%,143000000.0_236.62%,42046000.0_14.68%
AFC,联合资本,,-21.94017181,0,0,0,0
AGO,保证担保有限公司,保险,6.40548793,75000000.0_-50.98%,197000000.0_-37.85%,52000000.0_-73.60%,208000000.0_-56.58%
PPC,Pilgrim\'s Pride Corp.,食品,10.68786102,0,0,134000000.00000001_90.92%,231999999.99999997_135.69%
ENTG,英特格,半导体,47.64706057,54349000.0_35.90%,57562000.0_77.04%,-28341000.0_-208.59%,40902000.0_86.37%
RYN,雷欧尼尔,,20.49710907,39338000.0_27.83%,42706000.0_21.73%,66920000.0_32.49%,28803000.0_-29.10%
CREE,克里科技公司,半导体,-1136.25004447,-33270000.0_-465.05%,-241000000.0_-142.93%,13752000.0_121.24%,"-19873000.0_-3,611.13%"
WGL,WGL控股,天然气\r,28.71844671,0,131000000.0_11.52%,132000000.0_138.58%,-225000.0_97.62%
SBBC,"Scorpio Tankers, Inc.",,,-68901000.0_-0.95%,-31794000.0_-175.68%,-41510000.0_-39.93%,-36948000.0_-36.26%
INXN,InterXion Holding NV,软件,105.71666297,582000.0_-93.97%,11657000.0_13.64%,7851000.0_-7.54%,10062000.0_-3.81%
EME,埃姆科,工程建设,26.24242481,70816000.0_24.70%,55374000.0_5.25%,53198000.0_30.11%,64597000.0_25.29%
TWOU,"2U, Inc.",软件,-179.68181361,-18347000.0_-56.09%,-14871000.0_-332.42%,509000.0_123.04%,-14739000.0_-118.10%
BMS,碧美斯公司,,20.07661312,46700000.0_66.79%,47600000.0_-6.85%,-40700000.0_-167.27%,55600000.0_-18.95%
EXP,"Eagle Materials, Inc.",建筑材料,22.85472077,66339000.0_20.88%,37008000.0_2.09%,101000000.0_79.79%,63362000.0_5.19%
MTG,MGIC Investment Corp.,,14.51162713,187000000.0_57.49%,144000000.0_59.96%,27314000.0_-74.59%,120000000.0_111.99%
