code,name,category,pe,2014-12-31,2015-12-31,2016-12-31,2017-12-31
INTC,英特尔公司,半导体,23.41037913,0.2095,0.187,0.1558,0.1391
LYG,劳埃德银行,银行,27.41666696,0.03,0.0203,0.0447,0.0793
HD,家得宝公司,零售,30.33178375,0.43,0.6806,1.1097,1.8364
NVS,诺华公司,生物技术和制药,29.76071545,0.1451,0.2307,0.0894,0.1038
TSM,台湾积体电路制造公司,半导体,19.57276826,0.2486,0.2534,0.244,0.2309
VZ,威讯通信公司,,16.28348905,0.8742,1.0299,0.5662,0.6836
TM,丰田汽车公司,汽车制造,12.06801486,0.1309,0.1308,0.1382,0.106
MA,万事达卡公司,商业服务,54.52574358,0.53,0.6282,0.7141,0.7031
PG,宝洁公司,,15.07875481,0.1684,0.1133,0.1829,0.2763
BA,波音公司,航空航天\/国防,45.78712173,0.6196,0.8091,5.5815,19.8956
CSCO,思科系统公司,电信,22.07731988,0.1386,0.1504,0.1689,0.1453
KO,可口可乐公司,饮料,31.28858969,0.2331,0.2859,0.2821,0.0676
T,美国电话电报公司,电信,15.36666758,0.0746,0.1107,0.1074,0.2102
ORCL,甲骨文公司,软件,22.9715657,0.2309,0.2024,0.1863,0.1721
BUD,百威英博公司,饮料,141.7464823,0.2083,0.2158,0.034,0.1145
HSBC,汇丰控股公司,银行,142.99999016,0.0735,0.0764,0.0189,0.06
C,花旗集团,银行,15.33686496,0.0354,0.0777,0.0662,-0.0334
NGG,英国国家电网公司,,15.72781007,0.2067,0.1678,0.1912,0.3824
CHL,中国移动通信集团公司,,11.54663236,0.123,0.1181,0.1108,0.1157
AVAL,Grupo Aval Acciones y Valores SA,,12.16666578,0.1404,0.1461,0.1524,0.1326
MRK,默沙东集团,生物技术和制药,46.75886657,0.2446,0.0996,0.0978,0.0699
EOCC,Enel Generaci贸n Chile SA,,8.05364035,0.1587,0.1792,0.3014,0.2139
UN,联合利华,,29.20408192,0.3867,0.327,0.3267,0.4508
UL,联合利华PLC,食品,28.96428538,0.3867,0.327,0.3267,0.4508
DIS,沃特迪士尼公司,媒体内容,20.5938623,0.1661,0.1819,0.2069,0.2029
PEP,百事可乐公司,饮料,26.67431181,0.3737,0.4573,0.5696,0.447
CMCSA,康卡斯特公司,媒体,19.78212324,0.0,0.0,0.0,0.0
HSEB,HSBC Holdings Plc,,34.90666707,0.0735,0.0764,0.0189,0.06
TOT,道达尔公司,,25.34661322,0.0454,0.0502,0.0611,0.0728
SHPG,夏尔制药公司,生物技术和制药,139.53226044,0.3931,0.1326,0.0113,0.1181
TI,意大利电信,电信,7.4000001,0.0903,0.0311,0.0835,0.0541
DWDP,陶氏杜邦公司,,,0.163,0.2973,0.1617,0.0156
NVDA,英伟达公司,半导体,98.09339014,0.0987,0.1428,0.1374,0.2891
TBB,AT&#38;T Inc.,,,0.0746,0.1107,0.1074,0.2102
NFLX,奈飞公司,,797.88369914,0.1437,0.0553,0.0698,0.1561
ABBV,艾伯维公司,生物技术和制药,26.59228533,1.0184,1.3039,1.2841,1.0416
BP,英国石油公司,,1099.25005509,0.0355,-0.065,0.0018,0.0345
SAP,SAP,软件,35.38532103,0.1679,0.1312,0.1376,0.1588
E,埃尼石油公司,,-43.26436688,0.0,0.0212,-0.0274,0.0702
IBM,IBM(国际商业机器有限公司),,11.93053276,1.0007,0.9144,0.6455,0.3246
PM,菲利普莫里斯国际公司,农业,19.38392767,-0.6836,-0.6128,-0.6651,-0.6198
BHP,必和必拓,,54.17204374,0.1783,0.0408,-0.1033,0.0992
PTR,中国石油天然气股份有限公司,油气,121.48332749,0.0903,0.0313,0.0214,0.0266
NKE,耐克公司,,32.80833114,0.2488,0.2576,0.3067,0.3417
AMGN,安进公司,生物技术,19.33496191,0.2001,0.2471,0.2585,0.0784
BALB,iPath Series B Bloomberg Cotton Subindex Total Return ETN,,,0.0129,0.0138,0.0469,-0.0197
BJJN,iPath Series B Bloomberg Nickel Subindex Total Return ETN,,,0.0129,0.0138,0.0469,-0.0197
JJEB,iPath Series B Bloomberg Energy Subindex Total Return ETN,,,0.0129,0.0138,0.0469,-0.0197
ADBE,Adobe,软件,96.67175948,0.0396,0.09,0.1574,0.2002
MMM,明尼苏达矿业制造公司,,25.40318593,0.3803,0.4221,0.489,0.4189
MCD,麦当劳公司,零售,28.71507446,0.3702,0.639,-2.1266,-1.5887
MDT,美敦力公司,,31.9717335,0.1576,0.0503,0.068,0.08
JJGB,iPath Series B Bloomberg Grains Subindex Total Return ETN,,,0.0129,0.0138,0.0469,-0.0197
RYAAY,Ryanair Holdings Plc,航空公司,18.19202872,0.0,0.0,0.0,0.0
CCV,Comcast Corporation 5.00% Notes Due 2061,,14.03352032,0.0,0.0,0.0,0.0
UNP,联合太平洋公司,运输,29.54240507,0.2445,0.2305,0.2124,0.431
JJTB,iPath Series B Bloomberg Tin Subindex Total Return ETN,,,0.0129,0.0138,0.0469,-0.0197
HON,霍尼韦尔国际公司,电子,25.0064513,0.2405,0.2591,0.2479,0.0973
ABT,雅培公司,,69.39362077,0.1056,0.2074,0.0676,0.0153
GE,通用电气公司,多元化制造商,14.76404557,0.1109,-0.0592,0.1061,-0.071
SNP,中国石油化工股份有限公司,,16.84107128,0.0747,0.0556,0.0715,0.0826
RY,加拿大皇家银行,银行,14.54562426,0.1652,0.1568,0.146,0.1541
JJAB,iPath Series B Bloomberg Agriculture Subindex Total Return ETN,,,0.0129,0.0138,0.0469,-0.0197
MO,奥驰亚集团公司,农业,8.20467003,1.665,1.8017,1.1119,0.6633
LLY,礼来公司,生物技术和制药,38.98449799,0.1554,0.165,0.1944,-0.0175
TXN,德州仪器公司,半导体,32.42528613,0.2715,0.3002,0.3433,0.3562
JJUB,iPath Series B Bloomberg Aluminum Subindex Total Return ETN,,,0.0129,0.0138,0.0469,-0.0197
SNY,赛诺菲-安万特公司,制药,22.05640886,0.0801,0.0754,0.0832,0.1468
TD,道明银行,银行,16.40997324,0.1402,0.1197,0.1204,0.1399
UTX,联合技术公司,航空航天\/国防,21.87745129,0.2025,0.2751,0.1842,0.1559
WPPGY,WPP plc,广告,12.56398853,0.0,0.0,0.0,0.0
JJMB,iPath Series B Bloomberg Industrial Metals Subindex TR ETN,,,0.0129,0.0138,0.0469,-0.0197
COWB,iPath Series B Bloomberg Livestock Subindex Total Return ETN,,,0.0129,0.0138,0.0469,-0.0197
UPS,联合包裹服务公司,运输,30.788115,1.405,1.9446,7.9977,4.767
VZA,"Verizon Communications, Inc.",,8.03115277,0.0,0.0,0.0,0.6836
JJPB,iPath Series B Bloomberg Precious Metals Subindex TR ETN,,,0.0129,0.0138,0.0469,-0.0197
CRM,赛富时公司,软件,542.46153254,-0.0763,-0.0662,-0.0095,0.024
ACN,埃森哲公司,,26.72833252,0.5053,0.4925,0.5312,0.3744
DCM,NTT道康姆公司,电信,16.62337728,0.0801,0.0735,0.1047,0.1165
JJSB,iPath Series B Bloomberg Softs Subindex Total Return ETN,,,0.0129,0.0138,0.0469,-0.0197
GILD,吉利德科学公司,生物技术和制药,7.8400406,0.7616,0.9472,0.6966,0.2265
PYPL,PayPal,,74.07826453,0.0508,0.0893,0.0952,0.1122
NVO,诺和诺德公司,制药,23.14814723,0.6572,0.7422,0.8378,0.7654
ISF,ING Groep NV,,25.29411737,0.0187,0.0894,0.0938,0.0976
GSK,葛兰素史克公司,生物技术和制药,88.73912816,0.5735,0.943,0.214,0.6217
JJCB,iPath Series B Bloomberg Copper Subindex Total Return ETN,,,0.0129,0.0138,0.0469,-0.0197
ISG,ING Groep NV,,22.10344839,0.0187,0.0894,0.0938,0.0976
AZN,阿斯利康公司,制药,28.01449274,0.0629,0.1527,0.2043,0.1723
VTI,大盘指数ETF-Vanguard MSCI,股权,6.08444254,0.1082,0.0052,0.1107,0.1699
BKNG,"Booking Holdings, Inc.",,,0.2827,0.2901,0.2174,0.2079
BJO,iPath Series B Bloomberg Coffee Subindex Total Return ETN,,,0.0129,0.0138,0.0469,-0.0197
COST,好市多公司,,40.96494385,0.1668,0.2222,0.1927,0.245
BMY,百时美施贵宝公司,制药,22.32452744,0.1354,0.1131,0.2757,0.0823
QCOM,高通公司,半导体,19.93902503,0.2033,0.1677,0.1795,0.0802
PGMB,iPath Series B Bloomberg Platinum Subindex Total Return ETN,,,0.0129,0.0138,0.0469,-0.0197
RIO,力拓公司,采矿,20.66666735,0.119,-0.039,0.1044,0.1732
TMO,赛默飞世尔科技公司,,45.83889987,0.0922,0.0925,0.0939,0.0876
RAI,雷诺兹烟草,农业,15.38823565,0.0,0.0,0.0,0.0
SGGB,iPath Series B Bloomberg Sugar Subindex Total Return ETN,,,0.0129,0.0138,0.0469,-0.0197
ASML,阿斯麦公司,半导体,54.79081495,0.1695,0.1707,0.1412,0.1861
LMT,洛克希德马丁公司,,18.32761532,1.0629,1.164,3.3014,-3.2874
SLB,斯伦贝谢公司,,-53.13709587,0.1447,0.0595,-0.0392,-0.0406
GS,高盛集团,,14.37016471,0.1019,0.0698,0.0846,0.0518
MTU,三菱日联金融集团,银行,13.83333336,0.0849,0.1045,0.0534,0.0121
STO,挪威石油公司,,-29.4999988,0.0758,-0.1283,-0.0827,0.1153
MS,摩根士丹利,,17.09246525,0.0509,0.0824,0.0793,0.0792
SAN,桑坦德银行,银行,12.36363656,0.0773,0.0743,0.0729,0.0768
LFC,中国人寿保险股份有限公司,保险,25.20833469,0.1132,0.1079,0.0637,0.1007
EQNR,Equinor ASA,,,0.0758,-0.1283,-0.0827,0.1153
AXP,美国运通公司,多元化金融服务,17.83893791,0.2847,0.2497,0.2638,0.1501
USB,美国合众银行,银行,16.33024682,0.1338,0.1267,0.124,0.1259
FOXA,21世纪福克斯公司,,27.69512108,0.2167,0.4539,0.1954,0.183
TMUSP,"T-Mobile US, Inc.",,59.5562119,0.0,0.0,0.0,0.0
FOX,"Twenty-First Century Fox, Inc.",,27.39024302,0.2167,0.4539,0.1954,0.183
COP,康菲石油公司,油气,-24.49828138,0.1327,-0.1091,-0.101,-0.0257
CAT,卡特彼勒公司,,-1154.24998002,0.1467,0.1695,-0.0045,0.0551
MUFG,"Mitsubishi UFJ Financial Group, Inc.",,,0.0849,0.1045,0.0534,0.0121
BIDU,百度,媒体内容,50.89632572,0.2267,0.3851,0.1186,0.1403
ABEV,安贝夫集团,,20.76000023,0.2832,0.2559,0.2804,0.1636
NEE,新纪元能源公司,电力,27.38399902,0.1224,0.1195,0.1186,0.1804
LOW,劳氏公司,零售,28.13544566,0.1929,0.2707,0.3326,0.4807
AVGO,安华高科技,半导体,-46.04862509,0.0811,0.2894,-0.0851,0.0769
PBR,巴西石油公司,油气,-17.16438275,-0.0706,-0.1364,-0.0516,0.0014
KHC,The Kraft Heinz Co.,,22.94662088,0.0428,0.0,0.0098,0.1659
BLK,贝莱德集团,,25.33613291,0.1186,0.1154,0.108,0.1551
TWX,时代华纳公司,媒体内容,19.91330562,0.1564,0.162,0.1611,0.1846
BSBR,桑坦德巴西分行,银行,16.43548307,0.0725,0.1232,0.088,0.1049
EFA,EAFE指数ETF-iShares MSCI,股权,5.95975511,0.1204,-0.003,-0.0774,0.1407
VALE,淡水河谷公司,钢铁,17.09638538,0.0015,-0.3299,0.0994,0.1193
PBR.A,巴西石油公司,,,-0.0706,-0.1364,-0.0516,0.0014
WBK,澳洲西太平洋银行,银行,12.85628734,0.1545,0.1496,0.1282,0.1304
DVMT,"Dell Technologies, Inc.",,-38.30863942,-0.4248,-0.4205,-0.7531,-0.0904
SBUX,星巴克公司,零售,26.78461449,0.3921,0.4741,0.4785,0.5287
CEO,中国海洋石油总公司,油气,1595.70004946,0.1586,0.0524,0.0017,0.0649
BNS,加拿大丰业银行,银行,13.37471835,0.1483,0.1349,0.1274,0.1338
DHR,丹纳赫公司,,27.77260277,0.1108,0.1413,0.1107,0.0945
EOG,依欧格资源公司,,-61.82323358,0.1646,-0.3496,-0.0785,0.1586
VXXB,Barclays Bank PLC iPath Series B S&#38;P 500 VIX Short-Term Futu,,,0.0129,0.0138,0.0469,-0.0197
CHTR,特许通讯公司,媒体内容,19.03824497,-1.2534,5.8913,0.0744,0.2128
SNE,索尼,计算机硬件,-177.29031826,-0.0247,-0.0167,0.067,0.0405
BIIB,百健艾迪股份有限公司,生物技术,20.33136357,0.2721,0.3833,0.3047,0.2119
AABA,新雅虎公司,,,0.0,0.0,0.0,0.0
SCHW,嘉信理财公司,多元化金融服务,38.38931535,0.0,0.108,0.0,0.1306
PNC,PNC金融服务集团,银行,19.8671226,0.0913,0.0901,0.0851,0.1132
SU,森科能源公司,油气,206.90000226,0.0649,-0.0511,0.01,0.0
ANTM,"Anthem, Inc.",,28.00760164,0.106,0.1111,0.0984,0.0
WBA,"Walgreens Boots Alliance, Inc.",,17.78306924,0.0985,0.1367,0.1384,0.145
AMT,美国电塔,,76.2575778,0.1981,0.1001,0.1202,0.154
BDX,碧迪公司,医疗保健产品,41.11813406,0.2345,0.097,0.1279,0.085
CVS,CVS健保公司,,13.21588623,0.1223,0.1407,0.1444,0.1757
CNI,加拿大国家铁路公司,运输,25.24285671,0.2351,0.2367,0.2453,0.0
VOD,沃达丰集团公司,电信,-8.51398646,0.8278,0.0798,-0.0602,-0.0825
FDX,联邦快递集团,,34.6116643,0.1521,0.07,0.132,0.1865
CB,丘博保险公司,保险,15.64937986,0.0964,0.0973,0.0857,0.0755
MDLZ,亿滋国际公司,,41.67619077,0.079,0.2595,0.0662,0.1121
CELG,新基公司,生物技术,36.32128598,0.3065,0.2707,0.3029,0.4248
EPD,Enterprise Products Partners LP,,24.34999846,0.1439,0.1248,0.1147,0.1254
VWO,新兴市场ETF-Vanguard MSCI,股权,27.76923159,0.0275,-0.2018,0.0864,0.1633
AGN,艾尔建制药公司,生物技术和制药,4.8698269,-0.0575,0.0512,0.1966,-0.0558
OXY,西方石油公司,,-109.72000122,0.018,-0.3215,-0.0267,0.0637
IRDMB,"Iridium Communications, Inc.",,722.95505957,0.0,0.0,0.0,0.0
SYK,史赛克公司,医疗保健产品,38.00000153,0.0599,0.1691,0.1725,0.1022
AET,安泰保险,健康护理服务,29.44305776,0.1405,0.148,0.1257,0.1203
VMW,威睿公司,软件,53.75899226,0.1168,0.1258,0.0,0.1465
ENB,安桥公司,,24.79310316,0.0764,-0.0071,0.0911,0.0
MU,美光科技公司,半导体,82.51562899,0.2663,0.219,-0.0213,0.2614
CSX,CSX运输,,39.37016817,0.1724,0.1687,0.1466,0.3716
TJX,TJX公司,零售,28.20520094,0.5052,0.5195,0.5289,0.5094
UBS,瑞士银行,,19.25000069,0.067,0.1114,0.0605,0.0
ISRG,直觉外科公司,医疗保健产品,27.90176126,0.124,0.1363,0.1274,0.1396
TSLA,特斯拉,汽车制造,-74.39530474,-0.3224,-0.8201,-0.1309,-0.3979
ADP,自动数据处理公司,商业服务,36.0887094,0.2273,0.3021,0.3331,0.4358
PUK,英国保诚集团,保险,24.3582883,0.1876,0.1991,0.131,0.1485
CL,高露洁棕榄有限公司,,24.81617621,1.6888,-35.1818,152.1176,8.9465
AMX,美洲移动公司,,120.92857309,0.2024,0.2298,0.0446,0.1234
ING,荷兰国际集团,保险,11.60465171,0.0187,0.0894,0.0938,0.0976
DUK,杜克能源公司,电力,26.13782245,0.0462,0.0712,0.0529,0.0734
AMOV,America Movil SAB de CV,,119.85499467,0.2024,0.2298,0.0446,0.1234
GD,通用动力,航空航天\/国防,20.36621215,0.2141,0.2827,0.2497,0.2547
SMFG,三井住友金融集团,银行,10.94594632,0.107,0.0812,0.0912,0.0623
PSX,菲利普66公司,,41.66438373,0.2177,0.1788,0.0693,0.1913
MON,孟山都公司,化学制品,35.05479277,0.349,0.3319,0.2889,0.352
RTN,雷神公司,航空航天\/国防,26.31720451,0.2323,0.1972,0.2087,0.191
AGG,债券指数ETF-iShares Barclays综合国债,股权,-35.0894046,-0.0006,0.0407,0.0146,0.0089
SPG,西蒙地产集团,,30.36967764,0.2764,0.4081,0.0,0.0
CME,美国芝加哥商品交易所集团,,35.67991113,0.0539,0.0607,0.0754,0.1813
ATVI,动视暴雪公司,软件,55.71875101,0.1154,0.1106,0.1059,0.0289
HMC,本田汽车公司,汽车制造,14.39436535,0.1015,0.076,0.0578,0.0898
LVS,金沙集团,住宿,32.6904784,0.3977,0.2834,0.2689,0.4271
AED,AEGON NV,,-83.83870829,0.0444,0.0277,0.018,0.1024
AEK,AEGON NV,,159.6874988,0.0444,0.0277,0.018,0.1024
AEH,AEGON NV,,103.51999664,0.0444,0.0277,0.018,0.1024
GM,通用汽车公司,汽车制造,6.28833326,0.1115,0.2384,0.2103,-0.1072
BK,纽约梅隆银行公司,,16.75238059,0.0685,0.0827,0.0896,0.0985
INTU,财捷集团,软件,55.1478474,0.2947,0.1565,0.8432,0.7171
BBDO,布拉德斯科银行,银行,7.57281593,0.1873,0.2006,0.1505,0.1327
TMUS,"T-Mobile US, Inc.",,36.42011666,0.0158,0.0443,0.0801,0.2011
NOC,诺斯洛普&#8226;格鲁门公司,航空航天\/国防,24.38474243,0.286,0.3604,0.4183,0.2859
JD,京东,,-90.42499407,-0.1332,-0.2968,-0.0935,-0.0055
AEB,AEGON NV,,-80.64516067,0.0444,0.0277,0.018,0.1024
BMO,蒙特利尔银行,银行,14.01763709,0.1224,0.1104,0.1094,0.1206
BTI,英美烟草公司,农业,17.59677449,0.5836,0.8986,0.5757,0.6178
SPGI,标普全球,,24.94710333,-0.0096,1.0903,1.251,0.7734
VLO,瓦莱罗能源,油气,23.40365137,0.1747,0.192,0.1159,0.1815
SO,美国南方公司,电力,19.18823577,0.092,0.1075,0.0924,0.0343
EL,雅诗兰黛公司,化妆品\/护理,46.70934277,0.3125,0.2994,0.3125,0.2853
AMAT,应用材料公司,半导体,25.17525707,0.1362,0.1809,0.2385,0.3673
ILMN,"Illumina, Inc.",生物技术,108.30293077,0.2413,0.0,0.2435,0.185
VEDL,Vedanta Ltd.,,-7.98780518,0.1069,-0.1272,-0.2216,0.152
ABB,阿西布朗勃法瑞公司,,25.80681728,0.1616,0.1371,0.1464,0.1541
AIG,美国国际集团,保险,-68.78205576,0.0701,0.0246,-0.0045,-0.0922
IJH,标普中型股400指数ETF-iShares,股权,7.98042327,0.1629,0.0927,-0.0413,0.1503
NSC,诺福克南方公司,运输,30.5373663,0.1612,0.1277,0.1344,0.3303
IEMG,iShares Core MSCI Emerging Markets ETF,股权,,0.1111,0.0,0.0877,0.1609
ITW,伊利诺工具集团,,24.48245749,0.4317,0.3632,0.4778,0.3676
PX,普莱克斯公司,化学制品,31.51823522,0.2823,0.3243,0.2821,0.2006
D,道明尼资源公司,,20.96511673,0.1109,0.0,0.1314,0.0
BBVA,Banco Bilbao Vizcaya Argentaria SA,银行,13.03703645,0.0597,0.0602,0.0847,0.0893
CCI,冠城国际,电信,118.41052555,0.0592,0.215,0.0472,0.0361
DE,迪尔股份有限公司,机械-多元,31.03030393,0.3489,0.2872,0.2324,0.2255
BSX,波士顿科学,,134.11999512,-0.0184,-0.0378,0.0515,0.0148
COF,第一资本金融公司,,14.03193065,0.0983,0.0857,0.0789,0.0407
CI,信诺,健康护理服务,26.32127935,0.1925,0.1715,0.1337,0.1619
TEF,西班牙电信公司,,19.82222292,0.1073,0.0295,0.0845,0.1269
HCA,HCA控股,健康护理服务,17.83013702,-0.3652,-0.4459,-0.6093,-0.5491
MFG,瑞穗金融集团,银行,7.63829771,0.0928,0.07,0.0776,0.0697
MAR,万豪国际,住宿,48.55681718,-0.3423,-0.2393,0.1456,0.3677
MET,大都会人寿公司,保险,71.9523844,0.0,0.0,0.0,0.0
ORAN,法国电信公司,,15.17857136,0.0,0.0,0.0,0.0
EMR,美国艾默生电气公司,电力组件与设备,28.93927228,0.2148,0.3362,0.2184,0.1767
CTSH,高知特信息技术有限公司,,30.51764751,0.1859,0.175,0.1448,0.141
HUM,休曼纳公司,卫生保健设施,79.63389968,0.1189,0.1233,0.0575,0.2487
INFY,印孚瑟斯技术公司,,22.08602232,0.2207,0.2297,0.2201,0.2012
WPZ,Williams Partners LP,,-273.47059523,0.0448,-0.0552,0.0224,0.0412
VRTX,福泰制药,生物技术,-379.43476113,-0.6779,-0.5375,-0.0628,0.0449
ZTS,"Zoetis, Inc.",,55.53333247,0.439,0.3107,0.5464,0.4826
RELX,RELX Plc,,31.78260925,0.4492,0.4656,0.4958,0.7022
LYB,利安德巴塞尔公司,化学制品,12.28368019,0.4995,0.6806,0.6318,0.5449
RENX,RELX NV,,31.57971158,0.4492,0.4656,0.4958,0.7022
IWF,罗素1000成长指数ETF-iShares,股权,12.48459614,0.184,0.128,0.0165,0.1333
EC,哥伦比亚国家石油,,82.00000183,0.1168,-0.1459,0.0746,0.1653
CNQ,加拿大自然资源公司,,-254.50000655,0.136,-0.0233,-0.0078,0.0
ESRX,快捷药方公司,制药,14.38218897,0.1014,0.1438,0.211,0.25
TGT,塔吉特公司,零售,17.32978729,0.1214,-0.1169,0.2596,0.2499
IJR,标普小型股600指数ETF-iShares,股权,3.89783993,0.2063,0.0767,-0.0332,0.159
SYT,先正达公司,化学制品,36.28906391,0.0,0.0,0.0,0.0
PRU,保德信金融集团,保险,10.23892871,0.034,0.1362,0.0959,0.1467
BCS,巴克莱银行,银行,19.7058831,0.008,0.0045,0.034,-0.0157
REGN,再生元制药公司,生物技术,51.28311879,0.1325,0.174,0.2014,0.1951
ECL,艺康集团,化学制品,35.53623185,0.1655,0.1457,0.1789,0.1979
ICE,洲际交易所,多元化金融服务,30.72151944,0.0809,0.0871,0.0918,0.15
ENBA,Enbridge Inc.,,,0.0764,-0.0071,0.0911,0.0
MMC,威达信集团,保险,24.60059133,0.2099,0.2478,0.2862,0.2032
CCL,嘉年华公司,休闲,14.54433499,0.0502,0.0739,0.123,0.1076
STZ,星座品牌酒业,饮料,33.12848193,0.3901,0.1422,0.1585,0.2235
BX,黑石集团,,22.44230744,0.2132,0.1328,0.1798,0.2457
VXZB,Barclays Bank PLC iPath Series B S&#38;P 500 VIX Mid-Term Future,,,0.0129,0.0138,0.0469,-0.0197
SHW,宣伟公司,化学制品,36.93744899,0.8695,1.2143,0.6033,0.48
EXC,艾斯能公司,电力,34.82786941,0.0754,0.0824,0.0436,0.1198
CM,加拿大帝国商业银行,银行,10.41336328,0.1712,0.1666,0.1814,0.151
F,福特汽车公司,汽车制造,8.73043493,0.0496,0.2564,0.1573,0.2178
PHG,飞利浦电子公司,电子,26.08333397,0.0375,0.0542,0.1108,0.1556
KMB,金伯利克拉克公司,家庭产品\/用品\r,19.48247102,1.5966,26.65,18.9658,2.6293
RBS,苏格兰皇家银行,银行,-4.61486475,-0.0462,-0.0219,-0.1062,0.0288
TRP,TransCanada Corp.,管道,376.91667128,0.0965,-0.0628,0.0187,0.0
BAM,布鲁克菲尔德资产管理,,27.09677503,0.0978,0.0816,0.0479,0.0
ITUB,艾涛巴西联合银行,银行,11.16814154,0.2173,0.2293,0.1749,0.164
CS,瑞士信贷集团,,-11.87218004,0.0516,-0.0654,-0.064,-0.0225
EA,电子艺界公司,软件,31.7645628,0.0033,0.2882,0.3404,0.2382
BBT,BB&T银行,银行,18.62815842,0.0905,0.0777,0.0816,0.0813
STZ.B,（STZ.B）,,23.89103129,0.3901,0.1422,0.1585,0.2235
DYNC,Vistra Energy Corp.,,,-0.0883,0.0161,-0.6101,0.038
KMI,金德尔摩根公司,,70.48000336,0.071,0.0059,0.0207,0.0063
BAX,百特国际有限公司,,8.02996633,0.3062,0.1092,0.5996,0.0787
WM,美国废物管理公司,,33.79622428,0.2272,0.1401,0.2218,0.3226
AEP,美国电力公司,电力,57.40322561,0.0974,0.1146,0.0355,0.1053
HPQ,惠普,计算机,15.87755082,0.1848,0.1618,-0.6418,-0.7412
DAL,达美航空,,9.37132965,0.0748,0.4171,0.3559,0.2572
EEM,新兴市场ETF-iShares MSCI,股权,-12.2465375,0.1366,-0.4132,0.0704,0.1797
BCE,加拿大贝尔,,16.68000031,0.1784,0.1575,0.1729,0.0
IWD,罗素1000价值指数ETF-iShares,股权,8.8951841,0.174,0.0794,-0.0194,0.1482
CHA,中国电信集团公司,,14.40937498,0.0612,0.0661,0.0573,0.0574
PSA,公共存储公司,,31.4214387,0.121,0.1433,0.0,0.0
HAL,哈里伯顿公司,油气服务,-6.28550058,0.2148,-0.043,-0.6106,-0.0561
SCCO,美国南方铜业公司,,47.56999969,0.2292,0.1398,0.1327,0.119
VFC,威富集团,,36.25098203,0.0,0.1861,0.2288,0.1653
EQIX,易昆尼克斯公司,互联网,253.0166693,-0.115,0.0685,0.0291,0.034
MPC,马拉松石油公司,,35.78732804,0.2243,0.1458,0.0572,0.1743
MFC,Manulife Financial Corp.,保险,17.12264207,0.1059,0.0546,0.0732,0.0
PGR,美国前进保险公司,保险,34.97159067,0.1849,0.1678,0.1252,0.1632
AFL,美国家庭人寿保险公司,保险,7.25700928,0.1608,0.143,0.1298,0.1872
ADI,亚德诺半导体,半导体,32.95562982,0.1322,0.1374,0.1669,0.0715
NTR,Nutrien Ltd.,,,0.1747,0.1515,0.0394,0.0
SYY,西思科公司,食品,37.46994431,0.177,0.1296,0.2672,0.4639
