code,name,open,latestPrice,pe,pb,eps
KEY,KeyCorp,20.55,20.29,15.336786,1.516576,1.322963
DBAP,db X-Trackers MSCI AC Asia Pacif,27.03,27.03,0.0,0.0,0.0
FMF,First Trust Morningstar Managed,50.2869,50.139,0.0,0.0,0.0
GCO,格涅斯科,44.94,44.5,0.0,1.094605,-5.781162
IIM,IIM保险市收入基金,13.52,13.46,21.805552,0.851957,0.617274
RZV,Rydex ETF Trust S&P Smallcap 600,74.42,73.8134,21.230575,0.0,3.47675
CEA,东方航空,29.58,29.53,12.133539,0.977434,2.43375
XRT,零售指数ETF-SPDR标普,48.59,48.32,4.50161,0.994893,10.733937
LYV,Live Nation Entertainment,52.5,52.29,0.0,9.399209,-0.550417
XLB,材料ETF,57.96,57.64,13.019863,0.970182,4.427082
FNDF,Schwab Fundamental International,29.53,29.4,0.0,0.0,0.0
HUSE,US Market Rotation Strategy ETF,40.3884,40.05,0.0,0.0,0.0
KNL,海丘,22.82,22.67,13.701802,3.037182,1.654527
IHDG,WisdomTree International Hedged Dividend Growth Fund,31.38,31.27,0.0,0.0,0.0
PSP,PowerShares Listed Private Equit,12.06,12.0,13.53699,0.0,0.88646
EC,哥伦比亚国家石油,26.81,26.66,14.36825,0.02178,1.85548
XMPT,Market Vectors CEF Municipal Inc,24.09,23.99,0.0,0.0,0.0
NFO,Guggenheim Insider Sentiment ETF,65.3,65.3,0.0,0.0,0.0
RC,Ready Capital Corp,16.26,15.97,8.976297,0.938881,1.77913
IDT,万威,5.35,5.32,0.0,4.979106,-0.607185
DKS,迪克体育用品,33.56,33.2,10.184687,1.737495,3.259796
XHB,房屋建筑商指数ETF-SPDR,37.43,37.18,5.251412,0.0,7.08
FHN,一线国民银行,17.46,17.26,30.403435,1.348875,0.567699
NHA,Nuveen Municipal 2021 Target Term Fund,9.36,9.29,0.0,0.0,0.0
VLUE,iShares MSCI USA Value Factor,88.31,87.55,0.0,0.0,0.0
KTP,Structured Products Corp CorTS C,9.36,9.28,0.0,0.0,0.0
BANC,First PacTrust Bancorp,18.76,18.56,31.129501,1.306559,0.596219
MDY,标普中型股400指数ETF-SPDR,360.61,357.87,7.16899,1.110625,49.919167
ZUO,Zuora,21.26,21.16,0.0,14.313183,-1.508633
EUMV,iShares MSCI Europe Minimum Volatility ETF,24.445,24.445,0.0,0.0,0.0
XLY,消费品指数ETF-SPDR可选消费品,113.15,112.24,7.031517,1.188191,15.962416
SRLP,Sprague Resources LP,26.58,26.4,23.837193,3.763244,1.107513
MCR,MFS Charter Income Trust,7.68,7.6024,121.513969,0.86098,0.062564
FCOM,Fidelity MSCI Telecommunication,31.94,31.66,0.0,0.0,0.0
FLEE,Franklin FTSE Europe ETF,23.82,23.74,0.0,0.0,0.0
GDXJ,小型黄金矿业ETF(Market Vectors),27.93,27.62,0.0,0.0,0.0
EUSA,iShares MSCI USA Index Fund,58.51,57.8897,0.0,0.0,0.0
TRU,TransUnion,72.73,72.25,29.887098,7.34429,2.417431
BRSS,Global Brass and Copper Holdings,35.73,35.46,14.255322,4.45993,2.487492
KLDW,Exchange Listed Funds Trust GaveKal Knowledge Leaders Developed World ETF,34.21,34.09,0.0,0.0,0.0
AME,阿美特克,79.26,78.65,23.65765,4.204313,3.324506
RING,iShares MSCI Global Gold Miners ETF,14.6,14.39,0.0,0.0,0.0
TY,Tri-Continental Corp,27.68,27.47,7.434676,0.929584,3.694848
AUSE,WisdomTree Pacific ex-Japan Eq,54.05,53.6299,0.0,0.0,0.0
XAR,SPDR S&P Aerospace & Defense ETF,98.76,97.99,0.0,0.0,0.0
MSA,Mine Safety Appliances Co,102.82,101.84,60.504522,6.210453,1.68318
TGNA,Tegna Inc,11.86,11.75,5.132414,2.264626,2.289371
REML,Credit Suisse AG,26.5,26.11,0.0,0.0,0.0
RWK,RevenueShares Mid Cap ETF,61.87,61.31,5.152971,0.0,11.89799
ZSL,二倍做空白银ETF(ProShares),41.45,41.5314,0.0,0.0,0.0
IAT,iShares Dow Jones U.S. Regional,50.04,49.5,17.924327,0.0,2.76161
CLNC,Colony NorthStar Credit Real Estate Inc. Class A,21.0,20.84,0.0,0.890491,-0.286808
SDT,SandRidge Mississippian Trust I,1.31,1.3,7.031664,1.279797,0.184878
EUSC,WisdomTree Europe Hedged SmallCap Equity Fund,29.92,29.85,0.0,0.0,0.0
EZM,WisdomTree MidCap Earnings Fund,40.49,40.18,0.0,0.0,0.0
RLJ,RLJ Lodging Trust,20.86,20.71,54.712661,1.154631,0.378523
JHG,Janus Henderson Group plc,26.09,25.87,5.36673,1.028604,4.82044
UNL,United States 12 Month Natural Gas Fund,9.67,9.67,0.0,0.0,0.0
SPYG,SPDR S&P 500 Growth ETF,37.78,37.49,6.176338,3.04837,6.06994
QARP,Xtrackers Russell 1000 US QARP ETF,27.055,27.001,0.0,0.0,0.0
TXT,德事隆,71.65,71.05,39.166267,3.291606,1.814061
EV,伊顿万斯,52.02,51.56,16.424102,5.308344,3.139289
EMBH,iShares Interest Rate Hedged Emerging Markets Bond ETF,25.7285,25.5815,0.0,0.0,0.0
ARCO,Arcos Dorados Holdings,6.48,6.44,14.417739,3.432859,0.446672
ILTB,iShares Core Long-Term US Bond,58.09,57.93,0.0,0.0,0.0
VMC,火神材料,111.74,110.64,22.599988,2.914804,4.895578
SPXC,SPX Corp,32.41,32.16,11.782253,3.860909,2.729529
BIO,Bio Rad实验室,301.22,298.29,8.628024,1.918431,34.572227
TSQ,Townsquare Media,7.72,7.71,0.0,0.416449,-2.099586
HEEM,iShares Currency Hedged MSCI Emerging Markets ETF,24.47,24.39,0.0,0.0,0.0
MUE,BlackRock MuniHoldings Quality F,11.58,11.54,20.107858,0.851352,0.573905
WOR,Worthington Industries Inc,42.42,42.3,12.427769,2.73296,3.403668
FBP,第一万能金控,9.07,8.96,25.737438,1.061635,0.348131
PBS,PowerShares ETF Trust Dynamic Me,32.48,32.0,401.2992,1.197992,0.079741
NFJ,AllianzGI NFJ Dividend Interes,12.86,12.79,11.607066,0.869672,1.101915
FTNW,"FTE Networks, Inc.",11.83,11.51,0.0,29.883844,-6.4774
VGK,欧洲ETF-Vanguard MSCI,55.1,54.94,10.154866,0.683262,5.410214
IVW,标普500成长股指数ETF-iShares,174.99,173.62,6.716486,1.127285,25.849827
DFP,Flaherty & Crumrine Dynamic,22.42,22.33,6.685629,0.0,3.34
RNG,Ringcentral Inc.,84.89,84.19,0.0,23.032146,-0.424362
GS,高盛,228.0,225.71,17.420975,1.130275,12.956221
FNDA,Schwab Fundamental U.S. Small Co,39.84,39.53,0.0,0.0,0.0
DUC,达夫菲尔普斯债券信托基金,8.37,8.285,0.0,0.894035,-0.105981
MUA,黑岩多资产投资,12.78,12.72,20.510902,0.907919,0.620158
MDLX,Medley Capital Corporation,24.3,24.15,0.0,0.0,0.0
ING,荷兰国际,12.79,12.71,7.864442,0.855599,1.616135
JRO,Nuveen Floating Rate Income Oppo,10.24,10.16,19.777426,0.887733,0.513717
FTLS,First Trust Long/Short Equity ETF,40.18,39.95,0.0,0.0,0.0
IYT,运输指数ETF-iShares,203.08,201.57,7.156663,1.08606,28.165363
ROGS,Lattice Global Small Cap Strategy ETF,30.9,30.7275,0.0,0.0,0.0
JNPR,瞻博网络,29.33,29.14,60.328016,2.274334,0.483026
RFFC,ALPS ETF Trust,35.63,35.41,0.0,0.0,0.0
JEF,杰富瑞,22.9,22.75,11.809072,0.719602,1.926485
BXMT,"Capital Trust, Inc.",33.18,32.86,13.582335,1.286172,2.419319
EXD,Eaton Vance Tax-Advantaged Bond,8.72,8.71,0.0,0.0,0.0
TTFS,TrimTabs Float Shrink ETF,69.377,69.0129,0.0,0.0,0.0
WBID,WBI SMID Tactical Select Shares,23.64,23.5332,0.0,0.0,0.0
HST,美国豪斯特酒店,20.18,20.1,22.58427,2.088501,0.89
GEF.B,Greif Inc Class B,55.65,55.08,14.745208,2.368213,3.735451
CMI,康明斯,152.32,151.28,23.655766,3.374421,6.395058
SFB,Stifel Financial Corp,22.6633,22.49,6.907795,20.049123,3.255742
PXF,PowerShares FTSE RAFI Developed,42.71,42.48,0.0,0.0,0.0
XME,金属与采矿指数ETF-SPDR,33.82,33.71,6.670447,0.877847,5.053634
BLV,Vanguard Long-Term Bond ETF,85.18,84.89,0.0,0.0,0.0
DLNG,Dynagas LNG Partners LP,8.81,8.73,38.531309,1.39069,0.226569
IWP,罗素中型成长股指数ETF-iShares,131.8,130.71,6.481017,1.069447,20.168131
DBL,Doubleline Opportunistic Credit,20.05,19.9001,0.0,0.0,0.0
IQDY,FlexShares International Quality,24.98,24.761,0.0,0.0,0.0
CMD,ProShares UltraShort Bloomberg Commodity,91.38,90.83,41.617677,6.22166,2.182486
KRE,区域银行指数ETF-SPDR KBW,60.43,59.67,0.0,0.0,-0.72132
IUSG,iShares Core U.S. Growth ETF,61.33,60.82,8.611748,1.431718,7.062445
PCEF,PowerShares CEF Income Composite,22.52,22.34,0.0,0.0,0.0
SCHC,Schwab International Small-Cap E,34.93,34.73,0.0,0.0,0.0
FILL,Ishares Msci Global Energy Produ,24.07,23.8827,0.0,0.0,0.0
XHE,SPDR S&P Health Care Equipment E,83.81,83.0,0.0,0.0,0.0
CSU,Capital Senior Living,8.69,8.66,0.0,3.928522,-1.033298
SNV,西诺乌斯金融,46.19,45.73,16.40989,1.885192,2.786734
IDHQ,PowerShares S&P International De,22.6804,22.7061,0.0,0.0,0.0
SCHG,Schwab U.S. Large -Cap Growth ET,80.91,80.27,0.0,0.0,0.0
LH,实验美控,170.82,169.1,13.222482,2.448426,12.788824
RWT,Redwood Trust Inc,16.2,16.04,8.563458,1.082381,1.873075
QTS,QTS Realty Trust Inc,42.18,41.84,0.0,2.540686,-0.324351
GGG,固瑞克,44.65,44.28,26.017047,10.398075,1.701961
CBS.A,哥伦比亚广播,55.97,55.5973,14.795976,9.64762,3.757596
CBT,卡博特,64.09,63.76,0.0,3.386518,-2.317368
BBT,BB&T银行,49.58,48.99,14.055287,1.419544,3.485521
BAF,BlackRock Municipal Income Inves,12.7,12.62,23.774895,0.835155,0.530812
EW,爱德华兹,152.9,151.69,48.534324,10.037848,3.125417
CAPE,Barclays Bank PLC,131.62,130.68,0.0,0.0,0.0
FLAX,Franklin FTSE Asia ex Japan ETF,20.86,20.76,0.0,0.0,0.0
NID,Nuveen Intermediate Duration Mun,12.14,12.21,0.0,0.0,0.0
XT,iShares Exponential Technologies ETF,38.07,37.8,0.0,0.0,0.0
ERM,EquityCompass Equity Risk Manager ETF,23.43,23.16,0.0,0.0,0.0
TRC,Tejon Ranch Co,20.88,20.72,452.056293,1.341238,0.045835
PDT,约翰汉考克爱国者基金,15.85,15.82,85.691381,1.086831,0.184616
PCQ,太平洋投资管理加利福尼亚地方收入基金,15.91,15.81,40.715835,1.155333,0.388301
EQLT,Workplace Equality Portfolio ETF,37.8963,37.7099,0.0,0.0,0.0
CFG,Citizens Financial Group,39.27,38.78,10.544261,0.92638,3.67783
IWC,iShares Russell Microcap Index F,102.92,101.77,44.193641,0.0,2.30282
EWL,瑞士ETF-iShares MSCI,34.0,33.91,8.231541,0.751587,4.11952
SPMD,SPDR Russell Small Cap Completeness ETF,35.42,35.09,1.621479,0.0,21.640739
BBY,百思买,72.58,72.55,19.908489,6.252087,3.644174
VB,小型股指数ETF-Vanguard MSCI,158.52,157.19,12.748081,1.589035,12.330483
ACIM,SPDR MSCI ACWI IMI ETF,79.4052,79.46,0.0,0.0,0.0
KOIN,Innovation Shares NextGen Protocol ETF,26.48,26.2316,0.0,0.0,0.0
SLG,SL Green Realty Corp,94.25,94.19,31.46153,1.366037,2.993815
FFA,FFA股票收益基金　,15.64,15.67,15.519385,0.986794,1.009705
RWJ,RevenueShares Small Cap ETF,72.91,72.3,2.802745,0.0,25.796141
PRS,"Prudential Financial, Inc.",24.24,24.1,1.371599,0.0,17.570732
DEF,Guggenheim Defensive Equity ETF,49.77,49.38,0.0,0.0,0.0
GEO,"The GEO Group, Inc.",24.3,24.06,19.938164,2.677389,1.206731
ACM,Aecom Technology Corporation,32.66,32.46,36.150374,1.279861,0.897916
EFT,Eaton Vance Floating Rate Income,14.5,14.39,16.638492,0.921891,0.864862
EWO,奥地利ETF-iShares MSCI,22.91,22.78,3.528763,0.552479,6.45552
SCID,Global X Scientific Beta Europe ETF,26.36,26.37,0.0,0.0,0.0
DOV,美国都福集团,88.2,87.43,18.118469,4.546141,4.825463
SAFE,Safety Income & Growth Inc.,18.05,17.96,1010.521548,0.893181,0.017773
BERY,Berry Plastics Group,46.91,46.58,12.853304,4.595243,3.623971
DFE,WisdomTree Trust WisdomTree Euro,62.04,62.01,0.0,0.0,0.0
RFI,Cohen & Steers Total Return Real,12.01,11.91,31.928326,0.921961,0.373023
L,洛斯公司,50.31,49.93,14.217492,0.834276,3.511871
RHT,红帽,127.45,126.9,78.363278,17.451292,1.619381
JHMC,John Hancock Multifactor Consumer Discretionary ETF,31.928,31.93,0.0,0.0,0.0
TRCO,Tribune Media Company,38.22,37.9,6.170379,0.992866,6.142248
EWS,新加坡ETF-iShares MSCI,23.67,23.61,4.468115,0.823975,5.284107
CUB,Cubic Corp,71.33,70.74,250.206026,2.844397,0.282727
FEU,SPDR DJ STOXX 50 Fund,33.13,32.97,23.943356,0.0,1.377
PBI,必能宝,7.13,7.06,5.293731,6.789904,1.333653
TSU,堤姆通信服务,15.58,15.24,17.270393,1.999637,0.882435
IWF,罗素1000成长指数ETF-iShares,153.55,152.3,6.247798,1.085234,24.376587
EVRI,Everi Holdings Inc,8.29,8.2,0.0,-4.741467,-0.34809
GMF,SPDR S&P Emerging Asia Pacific E,91.89,91.32,0.0,0.0,0.0
MAV,先锋市政信托,10.6,10.53,31.215077,0.90809,0.337337
KMF,Kayne Anderson Midstream/Energy,12.88,12.86,0.0,0.0,0.0
FEZ,SPDR EURO STOXX 50 ETF,37.54,37.4,12.555518,0.695499,2.97877
TS,泰纳瑞斯钢铁,33.92,33.88,29.919868,3.498782,1.132358
BPL,巴克艾,36.54,36.21,12.114618,1.164775,2.988951
RQI,Cohen & Steers Quality Income Re,11.77,11.68,32.363895,0.897298,0.360896
SCZ,iShares MSCI EAFE Small Cap Inde,60.85,60.7,0.0,0.0,0.0
SPMO,PowerShares S&P 500 Momentum Portfolio,39.95,39.7096,0.0,0.0,0.0
AAC,"AAC Holdings, Inc.",7.06,7.0,0.0,1.107203,-0.908787
VGI,Virtus Global Multi-Sector Incom,12.85,12.83,0.0,0.0,0.0
THR,Thermon Group Holdings,24.65,24.45,54.794092,2.409884,0.446216
ISD,Prudential Short Duration High Y,14.05,13.96,0.0,0.0,-0.02
FDEU,First Trust Dynamic Europe Equity Income Fund,15.36,15.12,0.0,0.0,0.0
JBK,Lehman ABS Corp,25.91,25.8141,0.0,0.0,0.0
SXC,SunCoke Energy,11.61,11.62,4.715963,1.679263,2.463972
XKFS,SPDR Kensho Future Security ETF,35.05,34.81,0.0,0.0,0.0
FAM,FAM基金,9.29,9.28,0.0,0.80438,-0.400976
UNM,尤纳姆集团,39.79,39.42,8.151948,0.912661,4.835654
VAW,Vanguard Materials ETF,130.57,129.81,13.464231,0.0,9.6411
VIOV,Vanguard S&P Small-Cap 600 Value,140.48,139.3765,0.0,0.0,0.0
EGO,埃氏金业,0.9199,0.88,0.0,0.172108,-0.48
GDP,古德里奇,13.85,13.89,0.0,3.094726,-0.750981
VUG,成长股指数ETF-Vanguard MSCI,158.61,157.26,8.132446,0.46095,19.337357
RCD,Rydex ETF Trust Rydex S&P Equal,101.58,101.7299,0.0,0.0,0.0
CR,Crane Co,99.08,98.25,31.016577,4.056479,3.167661
MAS,马斯科,36.15,35.82,18.833461,-323.935744,1.901934
HEWY,iShares Currency Hedged MSCI South Korea ETF,28.0343,27.86,0.0,0.0,0.0
AGI,Alamos Gold Inc,4.66,4.62,0.0,0.672721,-0.07
BBH,VanEck Vectors Biotech ETF,131.64,130.5,0.0,0.0,0.0
WGO,Winnebago Industries Inc,32.62,32.33,10.4171,2.015227,3.103551
PRO,Pros Holdings Inc,33.78,33.46,0.0,-17.793289,-2.295187
CRH,CRH水泥,32.61,32.3,7.460637,1.514589,4.329389
TLT,债券20+美公债指数ETF-iShares Barcla,113.39,113.04,202.71725,1.187828,0.557624
HSBC,汇丰,44.13,43.82,17.727434,1.075657,2.471875
LUV,西南航空,61.68,61.05,10.045359,3.499332,6.077433
PJC,派杰,76.87,75.89,0.0,1.679222,-6.393646
HEDJ,Wisdomtree Europe Hedged Equity,62.26,62.08,0.0,0.0,0.0
SPHQ,PowerShares S&P 500 High Quality,32.49,32.19,14.056769,0.0,2.29
FMAT,Fidelity MSCI Materials Index ETF,33.51,33.25,0.0,0.0,0.0
IEUR,iShares Core MSCI Europe ETF,47.01,46.9,0.0,0.0,0.0
TX,特尔尼翁钢铁,30.82,30.86,5.669826,1.15225,5.442848
EZU,欧盟国家ETF-iShares MSCI,40.14,40.0,5.524017,0.554381,7.241107
MBT,移动电信,8.4,8.24,7.885084,4.406558,1.045011
CAF,摩根史坦利中国A股指数基金,20.39,20.52,0.0,0.0,0.0
GSK,葛兰素史克,39.88,39.81,41.587447,19.654522,0.95726
SSD,Simpson Manufacturing Co,71.26,70.5,29.750036,3.613515,2.369745
AG,First Majestic Silver Corporation,5.75,5.67,113.399998,1.471831,0.05
FOE,费罗,22.87,22.66,28.410873,5.089196,0.797582
LAD,利西亚车行,79.0,78.11,7.680349,1.628722,10.170111
AROC,"Archrock, Inc",12.53,12.45,25.349343,1.939526,0.491137
IWY,iShares Russell Top 200 Growth I,84.41,83.67,0.0,0.0,0.0
UPL,Ultra Petroleum Corp,1.15,1.13,0.0,-0.199737,-0.418082
FIV,First Trust Senior Floating Rate 2022 Target Term Fund,9.06,9.04,0.0,0.0,0.0
AIR,AAR公司,46.93,46.26,82.123348,1.710569,0.563299
UGA,United States Gasoline Fund LP,36.31,36.08,0.0,0.0,-25.99
BKD,布鲁克代尔高级护理,9.13,9.02,0.0,1.837593,-5.469452
AGN,艾尔建,191.77,190.17,0.0,0.906078,-5.344409
CTR,Clearbridge Energy MLP Total Ret,11.34,11.25,0.0,0.0,-49.869999
PRLB,Proto Labs Inc,149.81,148.47,62.453647,7.926284,2.377283
SPTL,SPDR Barclays Long Term Treasury ETF,32.72,32.61,0.0,0.0,0.0
PRT,Permrock Royalty Trust,12.5,12.35,13.056639,1.612817,0.945879
HEZU,iShares Trust iShares Currency Hedged MSCI EMU ETF,29.27,29.19,0.0,0.0,0.0
JJCB,Barclays iPath Bloomberg Copper Subindex Total Return,42.97,42.61,0.0,0.0,-2.996428
MMD,MainStay DefinedTerm Municipal H,19.21,19.06,0.0,0.0,0.0
SLYV,SPDR S&P 600 Small Cap Value ETF,66.59,65.99,8.34061,1.187253,7.911891
VOYA,"Voya Financial, Inc.",51.96,51.38,0.0,0.975193,-12.822375
WSR,Whitestone REIT,13.5,13.39,55.263441,1.583203,0.242294
MPC,马拉松石油,84.82,84.51,10.381235,3.902994,8.14065
MANU,曼联,21.22,21.12,0.0,6.034623,-0.299509
EEMO,PowerShares S&P Emerging Markets Momentum Portfolio,17.7549,17.78,0.0,0.0,0.0
ANH,安沃思抵押,4.5,4.44,13.593071,0.806695,0.326637
UYG,两倍做多金融股ETF-ProShares,43.73,43.28,0.0,0.0,0.0
STWD,Starwood Property Trust Inc,21.31,21.08,14.189057,1.266611,1.485652
COE,51Talk,9.06,8.86,0.0,-1.495596,-3.841167
DL,正保教育,7.82,7.75,32.834252,6.784051,0.236034
IJS,iShares S&P Small-Cap 600 Value ETF,163.1,161.57,11.921805,1.267254,13.552478
JMF,Nuveen Energy MLP Total Return F,11.14,11.06,0.0,0.0,0.0
CLDT,Chatham Lodging信托,20.08,19.85,23.73272,1.138048,0.836398
DIM,WisdomTree Trust International M,64.29,63.8906,0.0,0.0,0.0
EES,WisdomTree Trust SmallCap Earnin,39.02,38.57,0.0,0.0,0.0
EVR,永核伙伴,96.76,95.79,20.101699,6.289902,4.765269
USFD,US Foods Holding Corp.,29.94,29.69,11.983844,2.133502,2.477502
VCR,Vanguard Consumer Discretionar,174.2,172.6,9.487807,0.0,18.191771
VXF,Vanguard Extended Market ETF,119.71,118.59,7.527588,0.277444,15.754051
BA,波音,389.0,386.47,24.03685,-154.080658,16.07823
PXSG,PowerShares Exchange Traded Fund,38.04,37.67,8.699311,2.148565,4.330228
AVNS,Halyard Health Inc,63.94,63.61,28.469003,2.337645,2.23436
IWM,罗素2000指数ETF,163.75,162.16,10.676169,1.163823,15.188969
AFK,Market Vectors-Africa ETF,20.88,20.81,0.0,0.0,0.0
JELD,JELD-WEN Holding Inc.,24.28,24.09,73.959003,3.195357,0.325721
IGA,IGA基金,10.97,10.95,7.833172,0.903187,1.397901
