code,name,open,latestPrice,pe,pb,eps,2018-06,2018-03,2017-12,2017-09,net2018-06,net_radio2018-06,income2018-06,income_radio2018-06,net2018-03,net_radio2018-03,income2018-03,income_radio2018-03,net2017-12,net_radio2017-12,income2017-12,income_radio2017-12,net2017-09,net_radio2017-09,income2017-09,income_radio2017-09
CORI,"Corium International, Inc.",12.53,12.7,0.0,18.495031,-1.546149,-12391000.0_7.42%_7670000.0_-5.41%,-18006000.0_-63.14%_10060000.0_36.96%,-13292000.0_-27.45%_9315000.0_33.68%,-12943000.0_-38.77%_9442000.0_19.25%,-12391000.0,7.42%,7670000.0,-5.41%,-18006000.0,-63.14%,10060000.0,36.96%,-13292000.0,-27.45%,9315000.0,33.68%,-12943000.0,-38.77%,9442000.0,19.25%
EARS,Auris Medical Holding AG,0.7775,0.98,0.0,-6.665775999999999,-3.1265330000000002,-3079500.0_43.09%_0_0,-1745500.0_79.22%_0_0,-4585600.0_15.70%_0_0,-6012500.0_23.82%_0_0,-3079500.0,43.09%,0,0,-1745500.0,79.22%,0,0,-4585600.0,15.70%,0,0,-6012500.0,23.82%,0,0
YGYI,"Youngevity International, Inc.",10.3,13.3,0.0,18.115236,-0.548478,-614000.0_77.51%_44255000.0_6.57%,-2308000.0_-12.09%_42994000.0_11.00%,"-6820000.0_-1,245.17%_41041000.0_6.87%","-1068000.0_-1,694.03%_44395000.0_1.91%",-614000.0,77.51%,44255000.0,6.57%,-2308000.0,-12.09%,42994000.0,11.00%,-6820000.0,"-1,245.17%",41041000.0,6.87%,-1068000.0,"-1,694.03%",44395000.0,1.91%
YVR,Leading Brands Inc,0.65,0.8401,0.0,-46.020703999999995,-0.19903099999999999,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMMY,Imprimis Pharmaceuticals Inc.,2.26,2.95,0.0,16.683469,-0.45603999999999995,2522000.0_69.95%_10384000.0_51.44%,-3513000.0_29.82%_8865000.0_45.40%,-2771000.0_54.59%_7337000.0_26.65%,-5692000.0_-47.84%_6483000.0_33.37%,2522000.0,69.95%,10384000.0,51.44%,-3513000.0,29.82%,8865000.0,45.40%,-2771000.0,54.59%,7337000.0,26.65%,-5692000.0,-47.84%,6483000.0,33.37%
AQMS,"Aqua Metals, Inc.",2.45,2.92,0.0,1.578125,-1.234358,-9927000.0_-18.67%_483000.0_-19.90%,-7532000.0_-53.90%_1726000.0_0,-7031000.0_-42.47%_896000.0_0,-6290000.0_-78.85%_589000.0_0,-9927000.0,-18.67%,483000.0,-19.90%,-7532000.0,-53.90%,1726000.0,0,-7031000.0,-42.47%,896000.0,0,-6290000.0,-78.85%,589000.0,0
AMDA,Amedica Corp,0.25,0.31,0.0,0.325375,-5.035529,-2312000.0_-35.76%_2039000.0_-36.44%,-3399000.0_-563.87%_2291000.0_-12.86%,-5045000.0_-348.84%_2434000.0_-33.35%,-2069000.0_60.11%_2956000.0_-12.49%,-2312000.0,-35.76%,2039000.0,-36.44%,-3399000.0,-563.87%,2291000.0,-12.86%,-5045000.0,-348.84%,2434000.0,-33.35%,-2069000.0,60.11%,2956000.0,-12.49%
SBFGP,"SB Financial Group, Inc.",22.77,25.05,20.04,0.0,1.25,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGRX,"Agile Therapeutics, Inc.",0.6,0.74,0.0,0.9690030000000001,-0.750534,-5344000.0_28.23%_0_0,-6833000.0_9.09%_0_0,-6240000.0_-19.98%_0_0,-7102000.0_9.00%_0_0,-5344000.0,28.23%,0,0,-6833000.0,9.09%,0,0,-6240000.0,-19.98%,0,0,-7102000.0,9.00%,0,0
IOVA,"Iovance Biotherapeutics, Inc.",11.23,11.93,0.0,4.214969,-1.3588639999999998,-30660000.0_-31.15%_0_0,-26515000.0_-28.19%_0_0,-25854000.0_-64.80%_0_0,-22149000.0_-18.08%_0_0,-30660000.0,-31.15%,0,0,-26515000.0,-28.19%,0,0,-25854000.0,-64.80%,0,0,-22149000.0,-18.08%,0,0
