code,name,pe,pb,eps,net2018-06,net_radio2018-06,count,grow_3,grow_6,grow_radio_3,grow_radio_6,month_six_rs,price,vol_radio,volume_end,volume_start,year,year_rs
CE,塞拉尼斯,13.905977,4.638232,8.353243,345000000,48%,165,1.383333333,2.451666667,1%,2%,29%,48.5529697,-34%,21305871.36,32441446.34,13,0.204921827
CTL,世纪电信,10.059193,1.068894,2.261613,292000000,1618%,144,1.38,1.125,7%,6%,17%,33.47972222,146%,136590767.6,55611476.39,12,0.132958948
KMB,金伯利,23.586784,-709.601626,4.932423,465000000,-14%,252,4.2,1.348333333,4%,0.013003001,0.100793358,73.52867063,0.181168397,43112493.68,36499870.63,21,0.089508945
DM,多兰传媒,11.278175,1.010827,1.480736,132000000,318%,48,1.366666667,0.341666667,9%,2%,14%,29.105625,120%,8244977.708,3750038.625,4,0.105129358
EVTC,Evertec Inc.,32.986482,9.11068,0.759402,20133000,0%,66,0.866666667,1.358333333,4%,0.072205024,0.133203708,19.36984848,0.365977229,10448682.94,7649236.545,5,0.106895225
MD,Mednax,12.623744,1.361961,3.719974,79412000,25%,117,1.363333333,-1.255,3%,-2%,13%,47.24747863,17%,15028859.25,12838058.62,9,0.10904963
MUSA,Murphy USA Inc.,10.529713,4.031921,8.167364,51800000,-7%,62,2.906666667,1.735,4%,0.026068564,0.139748001,62.70854839,0.110480933,8493780.968,7648740.935,5,0.10950135
HEP,霍利能源,11.762939,6.908583,2.609042,41499000,-3%,171,1.063333333,0.736666667,4%,0.026919318,0.226402189,26.58266082,0.623628759,2507490.233,1544374.118,14,0.178134731
AL,航空租赁公司,5.980054,1.104518,7.698927,115000000,14%,90,1.356666667,0.575,3%,1%,13%,32.403,65%,16413919.29,9919562.222,7,0.102973875
CROX,卡骆驰,126.145583,7.021519,0.162035,34377000,57%,152,1.353333333,0.863333333,7%,5%,52%,15.26496711,-66%,24417280.54,72301432.89,12,0.379473261
AZN,阿斯利康,36.234968,7.668778,1.05699,319000000,-28%,252,1.293333333,0.708333333,4%,0.021083025,0.154779281,45.08448373,1.70239697,50198089.66,18575394.44,21,0.133518057
PRFT,Perficient,38.009409,2.610599,0.737449,5849000,143%,231,1.353333333,1.251666667,5%,5%,33%,11.7575974,-19%,2787461.716,3421112.174,19,0.268954284
AVX,AVX Corp.,118.279259,1.549754,0.173995,55963000,78%,252,1.346666667,0.535,9%,4%,17%,14.51702381,-44%,4474496.825,7953876.19,21,0.122846212
NHC,National Healthcare Corp,22.232973,1.654564,3.45208,22375000,112%,252,1.346666667,2.321666667,2%,4%,16%,39.52960317,122%,427472.2857,192718.254,21,0.131545661
SIMO,慧荣科技,25.9031,3.836709,2.258031,30728000,28%,160,1.333333333,1.528333333,3%,3%,42%,21.1075,10%,10038080.5,9133340,13,0.339762371
LPX,路易斯安那太平洋,8.535679,2.357596,3.41742,163000000,72%,252,1.32,0.315,5%,1%,47%,15.84369048,159%,48221044.26,18591019.05,21,0.338729395
RBA,里奇兄弟拍卖,37.380728,5.25926,1.022452,45727000,158%,246,1.3,1.093333333,4%,3%,15%,17.55787602,225%,10794607.65,3323966.667,20,0.135195617
HCKT,哈克特服务,17.561942,4.919512,1.156478,11521000,143%,129,1.296666667,0.686666667,8%,4%,28%,8.263449612,-4%,2371734.677,2481882.813,10,0.244578795
BAX,百特国际,42.725604,4.352454,1.693364,343000000,29%,252,1.286666667,2.038333333,2%,3%,13%,48.48972222,36%,78411432.6,57459757.14,21,0.106124098
EBIX,亚太交换中心,23.252815,4.946823,3.373785,29071000,22%,252,1.266666667,0.883333333,2%,1%,34%,16.26478175,564%,8639991.008,1300295.437,21,0.282473218
MG,Mistras Group,217.324516,2.241085,0.100909,6000000,171%,108,1.25,0.603333333,6%,3%,24%,19.58768519,-22%,1928225.741,2475277.778,9,0.186584151
SXT,Sensient Technologies Corp,24.647898,3.656793,2.865153,39123000,27%,252,1.25,0.716666667,2%,1%,12%,35.24494048,11%,4635567.706,4169053.175,21,0.100267105
FUL,富乐,27.129783,2.641747,2.173626,44464000,72%,252,1.24,1.255,2%,2%,22%,25.53214286,-6%,6438510.786,6873852.381,21,0.166916363
DWDP,陶氏杜邦,208.320172,1.625181,0.332229,1803000000,33%,252,1.24,0.89,2%,1%,28%,39.39760556,148%,186386562.9,75170258.73,21,0.197132848
BLFS,BioLife Solutions Inc.,0,21.336153,-0.018259,1139000,248%,54,1.22,1.606666667,12%,21%,46%,4.041851852,57%,3444804.852,2195664.407,4,0.326545075
OTEX,Open Text Corporation,42.775932,2.799466,0.910325,61893000,34%,252,1.22,0.683333333,3%,2%,36%,9.300718254,-44%,41877843.35,75192349.21,21,0.272735733
BPI,Bridgepoint Education,21.440175,2.388248,0.594678,17231000,173%,114,1.216666667,0.576666667,26%,13%,51%,13.50789474,-61%,3493446,8945098.246,9,0.347054129
BPT,BPT信托,7.258045,966.987578,4.009344,27215000,16%,252,1.2,1.55,4%,6%,26%,51.72952381,32%,3723285.151,2828419.841,21,0.211756779
ABBV,AbbVie Inc.,24.053072,-43.700788,4.049379,1983000000,4%,70,1.19,-0.386666667,1%,0%,11%,64.44228571,-2%,146871118.9,149407912.1,5,0.086681949
GGG,固瑞克,27.245042,10.888861,1.701961,89140000,12%,252,1.19,0.505,3%,1%,16%,14.66886865,29%,20402854.75,15868481.86,21,0.122907485
AON,怡安保险,41.466435,7.768971,3.507415,58000000,-93%,252,5.163333333,1.758333333,4%,0.012491372,0.154068439,55.11650794,0.315459584,35646385.94,27098047.22,21,0.128591046
AMC,AMC院线,0,1.24016,-2.210926,22200000,113%,58,1.183333333,0.916666667,7%,6%,16%,24.39655172,512%,33047579.45,5402657.862,4,0.125235202
ETP,Energy Transfer Partners,19.702168,1.063687,1.182611,602000000,103%,199,1.183333333,1.026666667,6%,6%,18%,16.79452261,512%,37333987.91,6099921.212,16,0.148782729
WMS,WMS Industries Inc,25.904706,5.301323,1.225646,33651000,82%,51,1.183333333,1.025,4%,4%,15%,24.30058824,-4%,6661316.846,6961898.88,4,0.123233182
BRO,布朗保险经纪,19.711554,2.996434,1.541228,73922000,12%,252,1.17,0.935,4%,3%,13%,11.59792421,71%,29761768.41,17411439.68,21,0.109421561
GMED,Globus Medical Inc,37.751177,4.686221,1.386182,44977000,57%,74,1.166666667,0.578333333,2%,1%,17%,26.62324324,59%,14528304.97,9111964.865,6,0.137458752
CNK,喜满客影城,15.76458,3.020071,2.380019,82464000,59%,138,1.166666667,0.223333333,3%,1%,16%,26.09,24%,15824167.45,12742597.1,11,0.138530542
WSO.B,Watsco Inc,28.358517,4.39923,5.994672,108000000,19%,252,1.16,0.548333333,1%,0%,17%,61.45206587,-53%,4821.428571,10160.71429,21,0.145554218
PKG,Packaging Corp of America,14.206491,4.343556,7.787989,187000000,30%,225,1.156666667,0.446666667,1%,0%,17%,39.28328889,48%,17914291.35,12072047.32,18,0.143954137
CDEV,"Centennial Resource Development, Inc.",27.923461,1.64468,0.673269,67482000,191%,24,1.156666667,0.551666667,6%,3%,7%,18.24541667,72%,44183608.17,25736539.33,2,0.043685964
SHOO,史蒂夫·马登,24.585161,4.14095,2.371349,32445000,12%,252,1.15,2.116666667,2%,4%,32%,16.22448413,-23%,12514087.36,16291428.07,21,0.244367297
IFF,国际香料香精,34.970132,5.949828,3.766357,99149000,-10%,252,4.486666667,0.075,4%,0.002774634,0.091704999,60.53456349,0.233813191,10618372.58,8606142.857,21,0.080760743
RDY,如瑞迪博士,27.872405,0.04442,1.254646,4561000000,672%,210,1.15,0.415,4%,2%,19%,25.98621429,-20%,6156543.657,7660290.476,17,0.160319467
EFX,艾可菲,31.582402,4.953466,4.197591,146000000,-13%,252,4.516666667,3.483333333,4%,0.028854843,0.111077745,50.76785714,0.53937237,17774668.5,11546698.41,21,0.093773836
CLF,克里夫天然资源公司,6.406844,-9.610769,1.542101,165000000,449%,252,1.143333333,0.82,13%,10%,51%,21.80900794,476%,157790678.6,27389128.57,21,0.413485539
PHI,菲律宾长途电话,35.103702,0.050392,0.748639,4881000000,-58%,252,0.85,-0.458333333,4%,-0.014930194,0.164572745,38.84242063,-0.432694279,2341813.254,4127956.349,21,0.142815926
EFII,电子影像,0,2.009554,-0.489341,3768000,37%,252,1.143333333,0.99,4%,3%,18%,26.65928571,-59%,6499502.349,16022493.65,21,0.156236092
UNT,Unit Corp,13.238328,1.029119,2.075791,8150000,-10%,252,0.883333333,1.463333333,4%,0.067487826,0.406662413,31.9025,0.976095629,11201670.59,5668587.302,21,0.31526716
DFIN,"Donnelley Financial Solutions, Inc.",93.783023,3.888938,0.220509,18900000,1%,24,1.14,0.591666667,7%,4%,12%,20.62083333,-40%,4978989.083,8292996.333,2,0.063800103
R,瑞德系统,5.288073,1.455273,14.727481,42258000,-17%,252,2.496666667,1.031666667,4%,0.015326879,0.190377622,47.51936508,0.39196761,14609510.94,10495582.54,21,0.160280748
FSS,联邦信号,18.833304,3.184814,1.383188,26900000,136%,252,1.113333333,0.758333333,5%,3%,26%,15.23115079,34%,5957853.913,4430282.54,21,0.20621884
JBHT,JB Hunt运输服务,17.987571,6.657344,6.88253,152000000,55%,252,1.11,1.021666667,1%,1%,16%,39.10593254,-14%,24224440.62,28308946.83,21,0.139868358
MLHR,赫尔曼米勒,17.890405,3.437687,2.146402,32200000,-4%,252,1.166666667,0.891666667,3%,0.027474695,0.196474504,25.86545635,-0.203370939,7452528.087,9355079.365,21,0.160566229
CDNS,铿腾电子,59.709334,11.145795,0.784132,75149000,9%,252,1.106666667,1.638333333,3%,4%,17%,18.08809524,50%,60612329.06,40530177.78,21,0.143094647
IMAX,Imax Corp,78.294525,2.90406,0.312921,10255000,467%,92,1.1,0.925,5%,5%,20%,27.33358696,2%,17393002.17,17075345.65,7,0.15386585
BLBD,Blue Bird Corp,26.41332,-11.217103,0.842378,21891000,9%,44,1.1,0.35,5%,2%,15%,15.97613636,84%,1686601.273,917368.7727,3,0.115535115
AXL,美国车桥,4.825407,1.136991,3.721966,151000000,128%,237,1.08,0.606666667,7%,4%,73%,17.73025316,221%,41604083.58,12966023.73,19,0.471218582
WWW,沃尔弗林集团,56.005612,3.62421,0.687074,55500000,171%,252,1.076666667,1.518333333,3%,5%,17%,14.73066071,28%,17746131.16,13856625.4,21,0.145974303
OMP,Oasis Midstream Partners LP,30.194044,2.586804,0.769357,37485000,202%,13,1.066666667,0.628333333,6%,3%,7%,18.56692308,-53%,1100049.143,2330888,1,0.011130683
DISH,DISH Network Corporation,6.643157,2.123798,5.336318,460000000,683%,252,1.063333333,-0.125,3%,0%,21%,32.86351865,-18%,53719508.4,65172130.95,21,0.174821941
GTES,Gates Industrial Corp PLC,19.118071,2.752514,0.921118,92600000,1058%,9,1.053333333,0.345,7%,2%,3%,17.13777778,-50%,8383359.2,16775943,0,0.001233388
HA,夏威夷控股,5.981426,2.283085,6.921427,79480000,3%,124,1.05,0.033333333,3%,0%,31%,18.87544355,55%,20635641.84,13356240.32,10,0.266649503
MNST,怪物饮料,37.700475,9.295157,1.608733,270000000,21%,252,1.03,0.536666667,2%,1%,49%,14.40316111,-33%,112300397,167287338.1,21,0.367114505
KBAL,"Kimball International, Inc.",19.036764,3.352581,0.922951,10254000,-3%,252,0.563333333,0.136666667,3%,0.008487796,0.283326843,11.01330357,0.240323281,2194423.262,1769234.921,21,0.239054042
SDI,"Standard Diversified Opportunities, Inc.",34.164489,5.392443,0.463932,8087000,27%,6,1.028066667,3.122366667,8%,1135%,9%,14.47776667,248%,350256.3333,100644.3333,0,0.092857766
SUN,太阳石油,0,2.47871,-0.0404,68000000,131%,73,1.026666667,0.398333333,4%,2%,14%,34.24315068,359%,11680325.14,2542141.667,6,0.111778442
PHG,飞利浦,22.442559,3.019747,1.964571,1000000,-100%,232,1.476666667,1.315,3%,0.032375776,0.144976031,29.83619353,0.012538026,21904772.17,21633530.41,19,0.121953223
VLRS,Controladora Vuela Compania de Aviacion SAB de CV,92.898889,1.589836,0.08041,38140000,108%,61,1.023333333,0.003333333,19%,2%,20%,12.3042623,80%,9420768.097,5236852.8,5,0.157965966
MSM,MSC Industrial Direct Co,15.343855,3.478508,5.60876,79069000,26%,252,1.023333333,-0.628333333,1%,-1%,18%,48.16420635,78%,9431383.23,5292544.444,21,0.14821581
GNC,GNC Holdings,0,-1.61152,-2.535718,13341000,-20%,90,0.09,-0.008333333,3%,0.004693153,0.159464128,29.12511111,0.630108987,49368480.98,30285386.67,7,0.138083731
DNOW,NOW Inc.,467.814074,1.573443,0.036895,14000000,182%,52,1.02,1.043333333,8%,9%,16%,18.76288462,-8%,26515762.81,28933060.54,4,0.119973964
QSII,Quality Systems,1292.241977,4.264078,0.017311,2648000,-32%,252,0.683333333,1.305,3%,0.083144147,0.279255025,14.51771825,0.185657589,10277281.87,8668001.587,21,0.226941547
PARR,Par Petroleum Corporation.,12.135695,1.729988,1.496412,16178000,131%,51,1.02,0.515,6%,3%,16%,18.20686275,137%,5349846.615,2258473.72,4,0.124417072
CCR,CNX Coal Resources LP,9.168513,2.319329,1.963241,19376000,69%,39,1.016666667,0.691666667,7%,5%,21%,14.18666667,-56%,792305.35,1811342.737,3,0.143592125
HESM,Hess Midstream Partners LP,0,2.534226,-0.047901,94600000,50%,18,1.003333333,0.605,5%,3%,4%,21.28444444,-46%,1890893,3471269.222,1,0.015848488
PLXS,普雷克萨斯,0,2.226632,-0.89497,26501000,4%,252,1.003333333,0.523333333,2%,1%,28%,29.25267857,-59%,4686226.587,11494402.38,21,0.228507941
MOG.B,Moog Inc.,29.987249,2.246418,2.642123,40750000,2%,252,1.0017,0.648316667,1%,1%,15%,37.13949444,-41%,11295.42063,19076.10317,21,0.125040402
IESC,Integrated Electrical Services,0,1.863113,-0.744316,8649000,47%,149,0.983333333,0.766666667,6%,5%,43%,10.94637584,-28%,675026.2133,940720.2703,12,0.347446112
SOI,Solaris Oilfield Infrastructure Inc.,23.187723,3.021546,0.728834,21448000,1920%,17,0.97,0.113333333,7%,1%,15%,15.99823529,65%,10500410.22,6358844.625,1,0.071908159
INCY,因塞特医疗,0,8.596705,-0.459133,52394000,520%,252,0.966666667,-2.205,2%,-2%,41%,31.26640873,72%,31654218.75,18361682.54,21,0.334103553
GLOB,Globant,49.545281,7.37764,1.248353,14425000,588%,51,0.966666667,1.405,2%,3%,20%,35.39176471,53%,5806766.962,3796018.56,4,0.167978911
HCCI,Heritage-Crystal Clean,24.153177,2.243184,0.975027,6120000,-12%,127,0.55,-0.291666667,3%,-0.00863763,0.239261054,14.90456693,1.921850497,1135472.844,388614.2857,10,0.211216756
MO,奥驰亚,10.592697,7.015086,5.549106,1877000000,-6%,252,1.903333333,0.033333333,3%,0.002081559,0.480307839,22.2140004,-0.913250405,195160884.3,2249703689,21,0.286254334
TOT,道达尔,16.307195,1.347998,3.927714,3634000000,79%,252,0.963333333,0.808333333,2%,1%,24%,42.19902778,12%,45006438.68,40240880.16,21,0.163311215
WWD,Woodward,28.951576,3.334513,2.736984,49117000,-8%,252,2.503333333,2.096666667,3%,0.028104559,0.301197317,28.10583333,0.69818364,7220256.333,4251752.381,21,0.221975656
AUDC,奥科,47.425715,3.408797,0.22414,2394000,136%,233,0.96,0.575816667,12%,7%,40%,8.31693133,-63%,2889508.462,7825220.69,19,0.322442291
ENLK,"EnLink Midstream Partners, LP",60.984909,2.532395,0.308273,113000000,245%,55,0.956666667,0.798333333,6%,5%,16%,19.75254545,12%,15836525.61,14193995.48,4,0.10342733
KRNT,Kornit Digital Ltd.,338.44643,4.049487,0.054957,1774000,725%,42,0.95,1.266666667,5%,8%,18%,14.40166667,437%,6412452.333,1193883.905,3,0.136046688
APAM,Artisan Partners Asset Managemen,24.335357,16.055406,1.353997,67645000,39%,67,0.95,-0.025,3%,0%,12%,40.83746269,65%,8567877.882,5186268.606,5,0.091125466
WDR,Waddell & Reed Financial Inc,9.779125,1.852337,2.10346,44256000,79%,247,0.94,0.01,5%,0%,19%,28.11479109,117%,20155613.66,9289344.715,20,0.152303329
BMY,施贵宝,243.459831,7.945414,0.246324,382000000,-59%,252,1.82,-0.378333333,3%,-0.002772792,0.125881461,40.69605159,0.454898405,195915375.7,134659145.2,21,0.117296145
CTY,Qwest Corporation 6.125% Notes d,0,0.072185,0,427000000,59%,65,0.93,0.446666667,4%,2%,8%,23.47476923,-47%,1457115.152,2738168.594,5,0.059465123
ARW,艾睿,13.99713,1.34819,5.641871,171000000,70%,252,0.92,0.198333333,1%,0%,18%,37.2818254,11%,15069499.56,13539503.97,21,0.145633969
ALCO,阿利科公司,0,1.542764,-0.792544,9092000,66%,252,0.919066667,1.342033333,3%,5%,24%,32.69373016,10%,232973.3254,211099.2063,21,0.205979365
NVO,诺和诺德,18.346216,12.287044,2.682297,10343000000,4%,252,0.916666667,-0.271666667,2%,0%,102%,12.29003214,20%,87764528.52,72909563.49,21,0.576293954
SYK,史赛克,58.901498,6.719969,2.885835,452000000,16%,252,0.913333333,1.601666667,1%,1%,12%,58.91797619,24%,33865043.46,27369711.9,21,0.104342516
MCRN,Milacron Holdings Corp,39.28741,2.746993,0.528159,14900000,48%,40,0.913333333,0.255,5%,2%,14%,17.59,139%,9850855.15,4129539.95,3,0.104233841
TEL,泰科电子,24.012312,3.360505,3.812211,454000000,4%,112,0.903333333,-1.178333333,1%,-1%,12%,53.33776786,-21%,34609722.46,43890387.5,9,0.098987478
CLFD,克利尔菲尔德通讯,49.325817,2.731804,0.271663,1755200,119%,252,0.9,0.116666667,8%,1%,53%,7.173611111,127%,1248330.762,549367.4603,21,0.400529696
PPG,PPG工业,18.946112,5.481581,5.838665,375000000,-25%,252,3.3,0.368333333,3%,0.004284378,0.276054341,50.46951389,0.474406502,42341781.26,28717847.62,21,0.179296192
EW,爱德华兹,45.347549,9.378761,3.125417,283000000,52%,221,0.9,1.103333333,1%,1%,18%,36.38924208,10%,38139661.83,34776203.64,18,0.163507946
ATI,阿利根尼,0,1.706696,-0.045795,75600000,464%,252,0.896666667,0.685,4%,3%,41%,34.66305556,99%,39803827.41,20036164.29,21,0.344835257
CERN,美国塞纳,25.726807,4.411582,2.542873,169000000,-6%,252,1.913333333,1.275,3%,0.02124285,0.185699402,24.83213294,-0.391684428,50278682.13,82652301.59,21,0.15756828
BDXA,Becton Dickinson and Co,0,0.643361,-0.487323,594000000,550%,17,0.896666667,1.025,1%,2%,3%,59.12235294,-45%,4538406.556,8260771.25,1,0.012656447
ARCB,ArcBest Corporation,19.441644,1.815329,2.43035,1233000,-92%,252,1.45,2.958333333,3%,0.089002954,0.455810243,26.06464286,0.372057344,8071837.31,5883017.46,21,0.324662437
SNY,赛诺菲安万特,21.725984,0.848637,2.005893,790000000,-25%,195,1.223333333,0.55,3%,0.014090623,0.113191241,40.41805128,0.522690827,36763297.91,24143639.18,16,0.096159662
SAIA,Saia Inc.,17.39774,3.064593,4.428736,30281000,72%,193,0.883333333,1.141666667,1%,2%,33%,23.27854922,-8%,3871420.052,4205672.417,16,0.27536285
FOE,费罗,27.407841,4.909524,0.797582,29861000,41%,252,0.88,0.045,4%,0%,56%,17.24555556,310%,15670794.69,3819726.587,21,0.41445985
MAN,万宝盛华人力资源,9.98547,2.095692,8.938989,143000000,23%,252,0.876666667,-4.465,1%,-4%,19%,55.20126984,39%,15769755.35,11348530.95,21,0.159152493
SPNS,Sapiens International Corp,53.34256,2.908955,0.222524,2129000,159%,252,0.876666667,0.678333333,9%,7%,45%,10.89043651,112%,897572.3333,424254.9206,21,0.377764506
MDRX,麦赛斯医药,808.670952,2.324647,0.018314,74272000,152%,231,0.876666667,0.368333333,7%,3%,32%,14.43690476,316%,46643831.28,11217166.09,19,0.262931301
EXPD,康捷国际物流,23.151601,6.799054,3.183365,141000000,30%,252,0.87,1.985,1%,3%,15%,33.48007976,3%,33022489.79,32066064.29,21,0.136099683
SYNH,"Syneos Health, Inc.",0,1.788301,-2.406538,13560000,300%,47,0.858333333,2.320833333,2%,6%,20%,43.52308511,77%,17754197.79,10014008.13,3,0.160772323
AVY,艾利,34.499886,9.049765,3.066387,95600000,-21%,252,2.8,0.623333333,3%,0.007969826,0.132888212,55.31511905,0.805208301,18161874.06,10060819.05,21,0.109094648
ADSW,Advanced Disposal Services Inc.,39.979647,2.528973,0.64858,9700000,4950%,24,0.856666667,0.825,3%,3%,6%,23.41625,17%,9533285.583,8129447.75,2,0.037987454
BWA,博格华纳,17.298303,2.342196,2.567304,284000000,29%,252,0.85,-0.813333333,2%,-1%,19%,23.93257937,55%,50811266.23,32679038.1,21,0.157214993
VZ,威瑞森,7.245522,4.350827,7.560532,4246000000,-5%,252,1.58,1.178333333,3%,0.023599566,0.110315314,40.78732143,0.945566199,309123051.9,158885907.9,21,0.091674475
PSX,Phillips 66,10.150815,2.45666,11.747826,1404000000,142%,78,0.846666667,2.96,1%,3%,12%,77.40961538,-19%,55442721.08,68248658.97,6,0.095914598
