code,name,pe,pb,eps,net_radio2018-06,income_radio2018-06,net_radio2018-03,income_radio2018-03,count,grow_3,grow_6,grow_radio_3,grow_radio_6,month_3_rs,month_6_rs,price,vol_radio,volume_3,volume_6,year
BLFS,BioLife Solutions Inc.,0.0,17.747237,-0.018265,248.29%,102.44%,100.40%,61.22%,54,1.22,1.993333333333334,0.12318933793421553,0.2915414813682519,0.5233814049483599,0.39877586579942936,4.0418518518518525,0.8438292764576248,7292421.0,3955041.3333333335,4
PSDO,Presidio Inc.,11.539038,2.03042,1.4359950000000001,41.35%,5.07%,104.00%,5.77%,19,1.25,-0.8033333333333328,0.0878863632446615,-0.05355211833687998,0.1456920962709423,0.03959090198193526,15.121315789473682,-0.34700278066577156,2604005.3333333335,3987774.0,1
SECO,寺库,6.009841000000001,3.253505,2.101553,26.29%,55.48%,10.05%,42.80%,13,1.6400000000000006,-0.6399999999999993,0.16079065993254146,-0.06553074211724841,0.33500066605102113,0.08075767154651119,10.603076923076921,1.039970522048594,5508580.0,2700323.3333333335,1
SUPN,Supernus Pharmaceuticals,28.640390000000004,6.445026,1.682938,76.97%,31.27%,155.92%,57.06%,77,-3.750000000000002,4.6833333333333345,-0.060798570829485095,0.09611891563634666,0.4596184285223457,0.2891796741871672,20.093441558441555,-0.19613301703874955,13432294.666666666,16709598.666666666,6
WHLM,Wilhelmina International Inc.,45.667352,1.324545,0.147808,800.00%,12.64%,2400.00%,2.95%,50,-0.4133333333333334,-0.3912333333333334,-0.0636720468361857,-0.053519264403584475,0.23304144570548066,0.09413689093920014,6.667198000000002,-0.19058103338626847,72546.33333333333,89627.66666666667,4
CORT,Corcept医疗,11.416739999999999,7.053367,1.296342,43.88%,75.24%,297.88%,108.92%,174,-0.34999999999999964,-0.2599999999999998,-0.01473678801504869,-0.009108200838510142,0.7463718281634586,0.5063380206516029,4.92735632183908,-0.01991946978765754,23741180.333333332,24223703.666666668,14
GRVY,GRAVITY Co,7.62133,2.513639,2.405092,86.28%,133.19%,63.60%,183.96%,164,-2.9166666666666665,-4.403333333333333,-0.09744890020966857,-0.11624826101948711,0.9120282304262893,0.6000260340496778,11.953108536585363,-0.08498025180187906,740731.6666666666,809525.3333333334,13
FNKO,Funko Inc.,0.663481,5.061858,43.482760999999996,119.19%,32.44%,139.75%,38.52%,11,2.69,1.4433333333333334,0.22379048620927322,0.15434766556804103,0.3488505464374661,0.11266464234933238,12.157272727272726,2.8589476899295567,17544897.333333332,4546549.666666667,0
PRFT,Perficient,40.219731,2.762411,0.737449,142.80%,4.08%,81.91%,8.94%,231,1.3533333333333342,1.1499999999999997,0.04989816582589111,0.04834248520334946,0.43013790623511045,0.23621139978326675,11.757597402597405,-0.22127646742418505,3279617.0,4211529.333333333,19
ENTG,英特格,35.720338,4.223767,0.879051,35.90%,16.43%,77.04%,15.70%,219,-1.0666666666666675,-0.3000000000000019,-0.031199891247056955,-0.0063244963149044695,0.7114049315966589,0.3090054517919254,11.611872146118724,-0.15427342462377594,17415453.666666668,20592298.0,18
TXRH,德州公路酒吧,33.828421999999996,5.916866000000001,2.222096,17.32%,11.12%,56.51%,10.57%,168,2.270000000000001,2.6866666666666674,0.0352477124741792,0.045842191255755976,0.24764726557795022,0.1476720741584339,24.14345238095237,-0.30717971524746035,11536812.666666666,16651955.666666666,14
CHEF,The Chefs’ Warehouse,41.792909,3.58704,0.733378,85.60%,11.69%,133.13%,10.75%,87,1.9999999999999976,1.7833333333333339,0.07005154566777615,0.07282025121239226,0.36358683561746247,0.2241194549043365,18.81770114942529,0.29406833624514545,4122738.6666666665,3185874.0,7
HEAR,Parametric Sound Corp.,13.667570000000001,66.123317,1.744275,189.24%,218.15%,119.77%,184.88%,54,-0.41333333333333283,5.7366666666666655,0.007641385192222257,1.1878043681907713,1.270554657750494,0.2830791176142336,10.639644444444446,-0.4623335441481375,31645904.333333332,58857873.666666664,4
IAC,IAC/InterActiveCorp,32.995512,6.504377,6.102345,248.64%,38.02%,208.61%,30.79%,33,22.799999999999994,-1.490000000000009,0.1431673890092318,-0.009015971236476052,0.26683206643627727,0.11601070548151875,102.58484848484846,-0.2598911253885953,15615293.666666666,21098644.0,2
CPHC,坎特伯雷帕克控股,15.134148999999999,1.650929,1.037389,1.22%,3.26%,92.92%,5.35%,252,0.20743333333333366,-0.1095,0.01388529230584401,-0.004042154794802025,0.2522605542515544,0.16248911859944362,10.454085714285718,-0.07031523921843612,38889.333333333336,41830.666666666664,21
MTCH,"Match Group, Inc.",27.457976000000002,25.50434,1.8897970000000002,155.20%,36.06%,396.80%,36.35%,35,7.053333333333332,-2.0066666666666677,0.17335833968936565,-0.043941987476030286,0.26017268643054653,0.17070045275908785,24.391000000000002,-0.2612762704741099,45449811.0,61524774.666666664,2
MOMO,陌陌,21.278771,6.516681,2.121833,93.91%,58.31%,59.38%,64.05%,46,1.9799999999999993,2.0933333333333337,0.04755967499804342,0.06761424388667248,0.632997964180131,0.2906531265007594,24.35097826086956,-0.1843949582558382,78724709.33333333,96523078.33333333,3
