code,name,pe,pb,eps,count,max,mean,min,volume_end,volume_start,year
CYHHZ,Community Health Systems Inc. - Series A Contingent Value Right,0,0,0,56,0.075,0.018808929,0.0042,10343849.21,17756064.61,4
BHACR,Barington/Hilco Acquisition Corp,0,0,0,41,0.41,0.2382,0.14,208391.1429,96873.65,3
KBLMR,KBL Merger Corp IV,0,0,0,15,0.44,0.34289,0.29,405248.375,684563,1
BCACR,Bison Capital Acquisition Corp,0,0,0,14,0.5,0.368242857,0.2625,59705.85714,365746.1429,1
MMDMR,Modern Media Acquisition Corp,0,0,0,15,0.54,0.429006667,0.3301,691850.5,790473.4286,1
JSYNR,Jensyn Acquistion Corp. Rights,0,0,0,29,0.5498,0.279834483,0.14,162260.8,122723,2
ESNC,EnSync Inc.,15.879279,2.182503,0.020278,37,0.9857,0.474135135,0.203,5016360.789,4223583.5,3
AIII,ACRE Realty Investors Inc,0,0.86037,-0.13,30,1.7335,1.284826667,0.82,318091.4,113221.0667,2
TMQ,Trilogy Metals Inc.,0,5.614852,-0.207743,24,1.93,0.982575,0.4556,4408998.667,2981638.333,2
PZG,Paramount Gold Nevada,0,0.53292,-0.407326,41,2.11,1.468146341,1,1060063.429,1280792.85,3
ZOM,Zomedica Pharmaceuticals Corp.,0,0,0,10,2.3954,2.12225,1.97,1611446.2,331873.4,0
SILV,SilverCrest Metals Inc,0,0,0,1,2.45,2.45,2.45,457510,,0
GCVRZ,Sanofi,0,0,0,89,2.48,0.835823596,0.09,8408810.244,22559627.27,7
LIQT,"LiqTech International, Inc.",0,8.090469,-0.093875,57,2.55,0.952915789,0.302,3745876.552,2059324.643,4
NXE,Nexgen Energy Ltd.,0,4.714215,-0.0747,16,2.56,2.1353125,1.7,5486957.5,3231441.875,1
EMX,Eurasian Minerals Inc,0,2.871537,-0.0194,80,2.56,1.12536375,0.39,1294112.4,1366112.5,6
BPMX,BioPharmX Corporation,0,3.538452,-0.138453,39,2.56,0.693223077,0.1102,89578597.55,4979604.158,3
WMIH,WMIH Corp,44.227843,19.767039,0.035498,36,2.6,1.7014,0.83,25741305.17,12824741.89,3
XSPA,XpresSpa Group,0,0.302339,-1.621634,28,2.69,1.492235714,0.1726,5175597.071,3118372.357,2
MTNB,"Matinas BioPharma Holdings, Inc",0,-20199.77683,-0.150273,18,2.77,1.216388889,0.353,6232194,7888554.667,1
GSV,Gold Standard Ventures Corp,0,2.745798,-0.04,75,2.78,1.193858667,0.34,12524881.68,2743181.081,6
SMTS,Sierra Metals Inc.,0,0,0,14,2.78,2.57385,2.32,983575.7143,432263.4286,1
AUG,Auryn Resources Inc,0,0,0,14,2.81,1.597221429,1.02,2025401.571,1994730.286,1
ASM,Avino Silver & Gold Mines,33.000001,0.772254,0.03,85,2.85,1.505070588,0.7855,5187561.442,1777021.429,7
GLOW,Glowpoint,1.412588,0.739263,0.122895,81,2.9499,0.992464198,0.1601,3762069.146,501080,6
CPSH,CPS Technologies Corp,0,2.166685,-0.12206,44,2.95,1.852686364,1.09,736459.4091,201747.5455,3
LLIT,联络智能,0,2.514669,-0.296687,22,2.995,1.660422727,1.12,979234.1818,441987.7273,1
TEUM,Pareteum Corp,0,6.012929,-0.531674,22,2.9975,1.9362,0.5803,72350935.64,7754035,1
SNGX,"Soligenix, Inc.",0,9.505601,-0.883982,21,3.08,2.052290476,0.97,3151820.636,5644476.8,1
AMRH,"Ameri Holdings, Inc.",0,1.874954,-0.586163,10,3.1,1.80811,0.78,15133052.4,4763825.2,0
INSG,Novatel Wireless Inc,0,-3.431963,-0.532292,22,3.13,1.956363636,1.02,5936239.636,4504026.182,1
BTG,B2Gold Corp Common shares (Canad,58.250001,1.503447,0.04,63,3.13,2.257560317,0.7463,89497011.66,44867807.97,5
SAUC,"Diversified Restaurant Holdings, Inc. ",0,-1.682175,-0.817474,34,3.16,1.712385294,0.92,2041485.059,1083918.118,2
SUNW,"Sunworks, Inc.",0,1.507152,-0.382643,30,3.17,1.75858,0.6885,3009507.6,3646013.467,2
URG,Ur-Energy Inc,0,2.648073,-0.02,122,3.25,0.949045902,0.45,10385598.44,8345883.607,10
TWNKW,Hostess Brands Inc,0,0,0,22,3.26,2.156809091,1.29,3347198.364,5956185.545,1
YOGA,Yogaworks Inc.,0.094712,0.422788,12.14207,13,3.3,2.432723077,1.1954,1002717,1989068.667,1
LRAD,LRAD Corporation,0,3.244383,-0.035192,102,3.31,1.885019608,0.93,1526620.314,1766460.784,8
XXII,22nd Century Group Inc,0,4.288231,-0.106281,54,3.41,1.709024074,0.76,40611912.22,8981068.667,4
MOGO,Mogo Finance Technology Inc.,0,0,0,5,3.44,2.96384,2.5862,630277.6667,594466.5,0
JTPY,JetPay Corp,0,-4.967227,-0.827934,61,3.46,2.354585246,1.53,572007.5484,228980.7,5
ALN,绿润集团,0,-10.147118,-1.238316,108,3.46,1.350763056,0.165,1601902.722,1660431.481,9
EGI,Entree Gold,0,-2.409233,-0.04,189,3.46,1.109821164,0.168,2281857.8,1699885.106,15
BKYI,"SBIO-key International, Inc.",0,2.045863,-0.639867,14,3.53,2.269192857,1.4386,1029337.286,624367.7143,1
DLPN,"Dolphin Entertainment, Inc.",9.36995,6.866047,0.282819,9,3.6,3.228888889,2.67,1549787.8,217601.5,0
SGLB,"Sigma Labs, Inc",0,2.038295,-1.051323,19,3.6,1.889605263,0.86,7346347.6,754453.8889,1
SOLO,Electrameccanica Vehicles Corp.,0,15.356514,-0.43737,1,3.6,3.6,3.6,3253873,,0
WRN,Western Copper and Gold Corp,0,1.923885,-0.03,91,3.6154,1.041151648,0.23,1703033.043,1142808.889,7
ENSV,Enservco Corp,0,4.216851,-0.110078,54,3.64,1.139840741,0.3101,3077744.63,2446201.815,4
NVMM,"Novume Solutions, Inc.",0,20.760732,-0.451029,8,3.75,2.4598,1.3027,273275.25,91599.5,0
CYRN,Cyren Ltd,0,3.718014,-0.431278,55,3.755,2.276270909,1.34,971886.4286,2771080.815,4
BHTG,"BioHiTech Global, Inc.",0,48.525435,-1.387684,5,3.84,3.5175,3.166,408046,223945,0
CPHI,中国医药控股有限公司,0,0.241772,-0.397533,108,3.85,0.892775926,0.1366,4109706.87,1692305.556,9
FLL,Full House Resorts Inc,0,1.347888,-0.335975,65,3.89,2.237009231,1.07,1002920.091,1046386.219,5
ATIS,Attis Industries Inc.,0,0.782194,-2.719374,20,3.89,1.468265,0.33,11385721,694523.8,1
INFU,InfuSystems Holdings Inc,0,2.059737,-0.810107,93,3.94,2.365422581,0.94,992261.8936,1018447.826,7
PLM,Polymet Mining,0,1.315631,-0.04,215,3.96,1.262352558,0.04,6018264.935,2494825.234,17
DFFN,Diffusion Pharmaceuticals Inc,0.334317,0.73746,1.190786,22,3.99,1.640077273,0.3698,9683593.818,4636200.091,1
PRVB,"Provention Bio, Inc",0,-8.363587,-2.135024,2,4,3.925,3.85,1129931,1072037,0
ADIL,Adial Pharmaceuticals,0,-16.343258,-0.410256,2,4,3.54205,3.0841,344892,345536,0
CVRS,"Corindus Vascular Robotics, Inc.",0,74.800778,-0.214391,40,4,1.62088,0.5403,17623669.25,3520136.25,3
UAMY,United States Antimony Corp,0,3.779862,-0.020308,75,4.04,0.956989333,0.201,1749751.211,1271124.324,6
MYND,"MYnd Analytics, Inc.",0,3.08786,-2.312807,14,4.06,2.768571429,1.19,5927746.286,651740.8571,1
MLSS,"Milestone Scientific, Inc.",0,5.051018,-0.189131,70,4.11,1.820627143,0.72,660132.6,564873.1429,5
SENS,"Senseonics Holdings,Inc.",0,5.661309,-0.647719,30,4.11,2.968666667,1.4,22014487.6,3154753.333,2
ARPO,Aerpio Pharmaceuticals Inc,0,2.832188,-0.259767,3,4.15,3.883333333,3.57,1568686,2010749,0
MOC,Command Security Corp,0,1.144189,-0.079594,252,4.15,1.906258333,0.5,536815.8175,390467.4603,21
AMMA,Alliance Mma Inc.,0,1.0965,-1.176574,23,4.18,1.595878261,0.185,8829900.583,895879.8182,1
APPS,Digital Turbine Inc.,0,3.722681,-0.683234,44,4.18,1.669045455,0.68,9883963.045,5913518.182,3
VTGN,"VistaGen Therapeutics, Inc.",0,10.831053,-1.038462,28,4.23,2.188557143,0.7663,15087600.14,812747.6429,2
DGLT,Digiliti Money Inc,0,0.090834,-6.220214,8,4.2437,2.3025125,0.02,7492898.75,631238.5,0
GSAT,全球星,5.586101,1.727714,0.093303,52,4.25,1.856296154,0.4899,103453210.2,84627302.27,4
GPL,Great Panther Silver Ltd,0,1.822122,-0.03,91,4.3,1.434689011,0.3476,21292797.96,21315222.22,7
DTRM,Determine Inc,0,13.101474,-0.788072,35,4.31,2.084782857,0.815,750573.3889,297916.6471,2
AKG,Asanko Gold Inc.,0,0.410257,-0.02,66,4.36,2.026580303,0.6148,22982428.42,3228127.667,5
USAS,Americas Silver Corporation,1.138614,1.047305,2.02,20,4.3625,3.390685,2.42,879062.3,942044.4,1
SCKT,"Socket Mobile, Inc.",0,1.166577,-0.431614,27,4.38,3.436877778,2.37,599140.1429,547401,2
SSNT,"SilverSun Technologies, Inc.",0,3.766422,-0.152682,17,4.4,4.040758824,3.652,143072,220406.875,1
IPCI,Intellipharmaceutics Internation,0,-10.345955,-0.35,107,4.4,2.424740645,0.2701,4605897.259,2793541.509,8
BMRA,Biomerica Inc,0,8.111459,-0.135003,25,4.54,3.094844,2.11,741674.3846,347916.5833,2
TAIT,Taitron Components Incorporated,19.473957,1.056103,0.11577,252,4.56,1.655454365,0.71,231226.4683,161244.4444,21
NHLD,National Holdings Corporation,0,0.863668,-0.471217,42,4.57,3.07992381,2.3421,804677.6667,665046.0952,3
RAND,Rand Capital Corporation,0,0.493172,-0.137228,252,4.58,2.564681746,0.78,107195.7143,430294.4444,21
ZDGE,"Zedge, Inc. Class B",0,2.737308,-0.156563,27,4.59,3.189459259,1.8,350614.9286,1184306.308,2
SSC,"Seven Stars Cloud Group, Inc.",0,10.880158,-0.313602,22,4.61,2.291368182,1.15,23826061.09,2693508.273,1
OASM,Oasmia Pharmaceutical AB,0,1.44714,-0.46,35,4.6999,2.418634286,0.88,386307.6667,238822.9412,2
EKSO,Ekso Bionics Holdings Inc,0,20.181725,-0.485856,25,4.7,2.5244,1.04,20631841.85,8534170.667,2
MKGI,"Monaker Group, Inc.",0,26.218491,-1.547962,7,4.74,3.043885714,2.0974,723974.25,100230.3333,0
ONS,"Oncobiologics, Inc.",0,-4.868075,-1.590148,27,4.74,2.040378296,0.8449,2099370.786,684512.6923,2
PFIE,"Profire Energy, Inc.",20.885281,2.906122,0.125926,54,4.74,2.050825926,0.7864,3779848.481,3563048.593,4
FBIO,Fortress Biotech Inc.,0,2.374983,-1.872751,41,4.75,3.277804878,1.97,3802306.238,2863187.45,3
WMGIZ,Wright Medical Group Inc. - Con,0,0,0,64,4.78,1.817835937,0.3127,471631.6563,1100443,5
MTBC,Medical Transcription Billing,0,1.883916,-0.358469,50,4.78,2.077036,0.68,12984202.12,530542.12,4
OSS,One Stop Systems,0,2.353679,-0.240497,7,4.7835,4.314785714,3.63,209800.5,1414286,0
NAOV,NanoVibronix Inc,0,8.208559,-1.014531,10,4.8,4.722,4.65,170813.4,339925.2,0
ATRS,安塔尔,0,23.252032,-0.126864,75,4.83,2.697668,0.8701,23376020.34,22701189.19,6
CERC,Cerecor Inc.,10.924857,8.702797,0.439365,34,4.83,2.667976471,0.442,9392706.471,2505610.941,2
WISA,"Summit Semiconductor, Inc.",0,-0.675452,-110.353897,2,4.85,4.8,4.75,234641,150185,0
MTP,Midatech Pharma PLC,0,0.283339,-1.08,33,4.85,2.449378788,0.62,1398221.824,181708.375,2
NTIP,"Network-1 Technologies, Inc.",7.264129,1.007418,0.35104,46,4.85,2.805567391,1.71,2157626.565,737664.6957,3
NDRA,ENDRA Life Sciences Inc,0,5.215332,-1.528459,15,4.8603,3.044693333,1.89,1227926.25,273727.8571,1
STKS,"The ONE Group Hospitality, Inc.",0,9.729457,-0.043344,40,4.9,2.60223,1.4,1188975.15,372086.25,3
XBIO,Xenetic Biosciences Inc,0,2.104101,-0.183922,22,4.93,2.979022727,1.56,4857078,244925.7273,1
PGLC,Pershing Gold Corporation,0,1.28892,-0.509026,38,4.93,3.225394737,1.31,1691433.684,2844330.737,3
AAU,Almaden Minerals,0,1.101352,-0.03,196,4.93,1.603845918,0.3,5187228.367,1200752.041,16
DYSL,Dynasil Corporation of America,48.324742,1.16463,0.027936,93,4.94,1.650408602,0.51,637070.383,655486.9565,7
HEBT,希伯伦科技,3.047844,0.589305,0.485622,21,4.95,2.784285714,1.49,1116210.364,726106.9,1
FUV,"Arcimoto, Inc.",0,5.984525,-0.422612,12,4.96,3.658333333,2.8,589779.1667,860464.8333,1
PSTI,Pluristem Therapeutics,0,4.537792,-0.24055,130,4.99,2.125407692,0.4,5281587.462,4360450.769,10
AKER,Akers Biosciences Inc,0,0.566104,-0.41,56,4.99,2.375283929,0.134,62254523.32,528728,4
SUMR,Summer Infant,0,3.025363,-0.288671,40,5,1.8222475,0.82,1203045.75,661500.7,3
ALJJ,"ALJ Regional Holdings, Inc.",12.461668,0.861872,0.163702,28,5,3.380714286,1.63,924814.3571,1130565.786,2
BCLI,Brainstorm Cell Therapuetics Inc,0,6.342316,-0.391825,47,5,3.4,2.15,2593914.25,4755861.174,3
FNJN,"Finjan Holdings, Inc.",2.738645,1.828411,1.584725,52,5.02,2.262190385,0.9,5992934.269,1356645.231,4
OBCI,Ocean Bio-Chem,14.610003,1.570675,0.301848,252,5.05,1.969753571,0.63,462089.8889,524250.8651,21
MPVD,Mountain Province Diamonds Inc.  ,102.500002,1.220929,0.02,21,5.05,3.04292381,2.0515,1143855.727,1266069,1
HYRE,Hyrecar Inc.,0,3.999529,-1.790842,3,5.05,3.933333333,3.17,9835568.5,2811420,0
TRCH,Torchlight Energy Resources Inc,0,3.92635,-0.029567,57,5.06,1.721091228,0.32,6438171.138,2663087.714,4
CTXR,"Citius Pharmaceuticals, Inc.",0,0.995802,-1.42088,13,5.06,3.173569231,1.53,1940116,1680107,1
AZRX,AzurRx Biopharma Inc.,0,5.431156,-0.994981,23,5.07,3.6124,2.43,1060794.25,467025.3636,1
CTRV,ContraVir Pharmaceuticals Inc,0,-6.146443,-1.460348,43,5.08,1.508283721,0.235,17397936.68,9353054,3
TMSR,TMSR Holding Company Limited,0.101874,2.30013,39.853287,33,5.1,4.755842424,3.5,27110.29412,31992.875,2
FSI,Flexible Solutions International,18.602982,1.100565,0.089233,218,5.1,2.156655505,0.25,1027507.404,235136.6972,18
APDN,Applied DNA Sciences Inc,0,11.225077,-0.384659,46,5.12,2.473043478,1.22,2182048.435,4025874.348,3
INUV,Inuvo Inc,0,1.441903,-0.07377,110,5.12,1.648544545,0.41,2883433.782,972514.5455,9
LND,Brasilagro Brazilian Agric Real,6.133636,0.27771,0.570624,70,5.18,3.736881429,2.33,117916.6286,58714.82857,5
SACH,Sachem Capital Corp.,8.623663,1.16795,0.487032,19,5.18,4.315789474,3.42,677617.9,539777.6667,1
IDXG,Interpace Diagnostics Group Inc,0,0.987297,-0.86727,33,5.2,2.071039394,0.83,28942972.82,7480427.5,2
MOXC,魔线,0,-12.831014,-0.126877,23,5.2,2.935969565,1.28,597035.8333,270029,1
LEVB,Level Brands Inc.,286.75799,1.845395,0.01095,10,5.2,4.29756,3.41,791242.6,284480.6,0
CODA,Coda Octopus Group Inc,151.915924,2.235116,0.027976,14,5.22,4.370228571,3.45,2276914.286,197355.4286,1
DRIO,LabStyle Innovations Corp,0,5.855455,-0.103711,30,5.2399,2.719763333,1.1,2141953.6,862882.6667,2
BLRX,BioLineRx Ltd,0,1.095316,-0.239298,86,5.24,1.874933721,0.7785,8949393.395,2391832.558,7
HJLI,Hancock Jaffe Laboratories Inc.,0,5.336885,-2.775275,4,5.24,3.5725,2.3,1986018.5,3143849.5,0
SSKN,"Strata Skin Sciences, Inc.",0,2.349278,-5.970683,32,5.25,2.588078125,1.17,3375746.563,563459.4375,2
CFRX,ContraFect Corporation,0,-20.521148,-0.591386,48,5.27,2.800525,0.97,2324788,1004595.583,4
VNRX,VolitionRX Ltd,0,5.9769,-0.623732,43,5.3,3.52127907,1.72,1365083.045,636938.381,3
AAME,美国大西洋,51.615369,0.538062,0.05231,252,5.31,2.86681746,0.61,107818.3889,158800.7937,21
IHT,InnSuites Hospitality Trust,16.029243,1.751627,0.101084,252,5.31,1.941329365,0.64,154704.4683,39188.88889,21
SSLJ,盛世乐居,0,426.077305,-0.593057,7,5.32,3.441042857,1.01,10418407.25,1755159.333,0
FLNT,Fluent Inc.,0,0.886567,-0.708324,24,5.4,3.851666667,2.35,9165151.583,4631743.25,2
III,信息服务,151.02027,2.737134,0.028473,127,5.42,3.252283465,1,2134330.391,1610526.984,10
NNVC,NanoViricides Inc.,0,1.081178,-0.149579,60,5.42,2.049088333,0.39,2543964.7,4368149.8,5
NAVB,Navidea Biopharmaceuticals,0,14.200047,-0.094027,91,5.44,1.787016484,0.154,14553939.76,17087302.22,7
NFEC,能发伟业,0,1.283532,-0.41237,95,5.45,1.560581053,0.57,2568642.063,1283793.617,7
MICT,Micronet Enertec Technologies I,0,22.781339,-0.407973,65,5.48,2.608692308,0.803,3067822.606,252315,5
VVPR,VivoPower,0,0.569718,-2.056374,21,5.5,3.19152381,1.25,3295359.091,104525.9,1
DELT,DELTA 科技控股有限公司,0,0.247938,-3.624141,39,5.5,1.507548718,0.522,8140315.45,1644044,3
CTEK,CynergisTek Inc.,0,1.880114,-0.116656,19,5.5,4.325136842,2.96,502471.2,1658956.444,1
KTOV,Kitov Pharamceuticals Holdings Ltd,0,1.321539,-4.4,34,5.56,2.727302941,1.53,5867653.059,4392474.235,2
APVO,Aptevo Therapeutics Inc.,44.059405,2.160532,0.1212,25,5.56,2.967,1.33,6745039,5487405.25,2
TMDI,Titan Medical Inc.,0,0,0,3,5.61,3.52,1.99,3815490.5,434702,0
IMV,IMV Inc,0,0,0,3,5.62,5.233333333,5,103651,259366,0
NMRD,"Nemaura Medical, Inc.",0,139.599171,-0.017352,8,5.63,3.578125,2.085,611264.5,290887.75,0
SELF,"Global Self Storage, Inc.",105.355354,0.85254,0.03996,32,5.66,4.72640625,3.89,293351.625,437904.5625,2
CJJD,九洲大药房,0,1.798808,-0.641892,101,5.66,1.934749505,0.51,1377581.902,990576,8
NBEV,New Age Beverages Corporation,0,1.228623,-0.349023,19,5.74,3.144210526,1.48,10766328,6008840.444,1
KLDX,Klondex Mines Ltd,21.6,1.366618,0.1,35,5.75,3.289782857,1.32,32355777.94,6234413.353,2
HIHO,公路控股,9.933945,1.311438,0.407693,252,5.76,2.812718254,0.55,323713.619,331700,21
LIVX,"LiveXLive Media, Inc.",0,7.2898,-0.719101,7,5.77,4.497142857,3.8,3183953.25,161583,0
XPL,Solitario Exploration & Royalty,0,0.76872,-0.031192,194,5.78,1.715818041,0.23,1291791.206,146868.0412,16
MUX,McEwen Mining,0,1.32968,-0.049675,80,5.8,2.47545375,0.73,57421689.85,49190035,6
TRXC,Transenterix Inc,0,6.77151,-0.907503,53,5.8,2.574037736,0.474,62994189.89,15208988.15,4
RHE,"Regional Health Properties, Inc.",0,-0.055241,-0.677571,140,5.8,2.787752929,0.13,2145886.9,415740.7,11
FORK,富岭环球有限公司,7.279939,0.791144,0.398355,34,5.85,3.190964706,1.7,1783095.294,419274.9412,2
SPHS,Sophiris Bio Inc,0,10.115773,-0.286539,61,5.86,2.402021311,0.476,15325208.42,7408526.667,5
KIQ,Kelso Technologies Inc,0,2.523773,-0.0573,47,5.88,1.580524468,0.329,1104919.458,449452.2174,3
CCNI,"Command Center, Inc.",258.779148,1.434324,0.020674,3,5.8807,5.630266667,5.31,332531,178115,0
THST,Truett-Hurst Inc.,0,0.779845,-0.305201,63,5.9,2.795795238,0.92,933861.1563,401439.0323,5
DOGZ,多尼斯,7.402688,1.22298,0.387697,9,5.9,4.104277778,2.9101,322628.4,417067.75,0
CELH,"Celsius Holdings, Inc.",0,17.309424,-0.283939,16,5.91,4.81124375,3.9199,1902573.75,1439165.25,1
LLEX,Lilis Energy Inc,0,-14.389508,-1.372112,18,5.94,4.601111111,3.66,6611911.778,4919658.333,1
COCP,"Cocrystal Pharma, Inc.",350.477923,1.022707,0.010985,6,5.95,3.646666667,2.12,1848455.333,1280952.333,0
RVEN,Reven Housing Reit Inc,0,1.413767,-0.227387,25,5.956,4.806024,2.58,86973.92308,16877.58333,2
SGBX,SG Blocks Inc.,0.768873,1.667819,4.942301,15,5.98,4.651786667,3.37,665990.375,1072782.857,1
MYSZ,"My Size, Inc.",0,-28.257456,-1.16,26,6,2.406461538,0.6479,39712098.77,2920047.462,2
CANF,Can-Fite Biopharma Ltd,0,2.368527,-0.323416,58,6.17,2.739468966,1.17,2269168.966,9192628.931,4
BNGOU,"Bionano Genomics, Inc.",0,0,0,1,6.1968,6.1968,6.1968,562426,,0
CODX,Co-diagnostics Inc.,0,31.090732,-0.694594,14,6.25,3.706428571,1.73,9830140,1423459.143,1
ESES,"Eco-Stim Energy Solutions, Inc.",0,0.550939,-0.154187,41,6.25,2.206619512,0.4171,4253262.095,360752.15,3
LTS,Ladenburg Thalmann Financial Ser,0,1.760995,-0.045109,250,6.25,1.93536,0.06,4780205.16,2380181.6,20
ENTX,Entera Bio Ltd.,0,-1.600796,-2.195727,3,6.3,5.699966667,5.3999,176663.5,326790,0
VTSI,"VirTra, Inc.",12.204111,3.191097,0.409698,6,6.3,5.3383,4.81,515103,168706.6667,0
TGB,Taseko Mines,0,0.600834,-0.11,167,6.31,2.422766467,0.34,11071276.39,30642019.28,13
SRAX,Social Reality Inc,0,4.081965,-0.910947,23,6.32,3.72973913,1.24,14626523.58,831079.4545,1
NAKD,Naked Brand Group Inc,0,26.573302,-131.896469,33,6.34,2.018439394,0.98,5047578.176,7155668.563,2
ITUS,ITUS Corp,0,12.3586,-0.37401,38,6.35,3.275021053,0.671,13102585.47,269665.1579,3
CPRX,Catalyst Pharmaceutical Partners,0,4.57683,-0.222203,142,6.4,2.155197183,0.41,19380194.56,2876960.563,11
ENIC,Enersis Chile S.A.,9.732409,0.08124,0.5045,29,6.4,5.49862069,4.55,7913333.067,8054889.429,2
APWC,亚太电线电缆,9.258441,0.234364,0.289876,89,6.42,2.904850562,1.36,87167.8,134381.8182,7
MEET,MeetMe,0,1.793417,-1.020867,53,6.43,3.365566038,1.53,35128371.78,12642049.23,4
TYME,"Tyme Technologies, Inc.",0,10.678296,-0.243678,14,6.43,3.856435714,2.23,6559442.571,2176569.714,1
DLHC,DLH Holdings Corp,56.944634,1.731471,0.095707,75,6.48,3.300302667,0.71,269194.5526,255543.2432,6
OHAI,OHA Investment Corp,0,0.616905,-0.217184,47,6.49,2.896631915,1.02,1576088.417,1044474.174,3
YGYI,"Youngevity International, Inc.",0,5.543535,-0.548478,15,6.5,4.527593333,3.56,345469.375,227009.4286,1
SDPI,Superior Drilling Products Inc,52.061348,2.90659,0.035535,51,6.51,2.179947059,0.63,1682093.308,776659.8,4
GNUS,Genius Brands International Inc,0,1.418846,-0.773074,22,6.52,3.554940909,2.23,898573.6364,446523.1818,1
GEC,"Great Elm Capital Group, Inc.",0,1.16027,-0.020204,27,6.59,3.897407407,3.1,638693.5,929650.8462,2
FPAY,FlexShopper Inc,0,-0.87552,-2.334179,22,6.6,4.282122727,2.88,155485.3636,68756.72727,1
CETXP,Cemtrex Inc,0,0,0,19,6.6647,5.399632368,4.0369,48364.4,220259.6667,1
AMBO,安博教育,13.978916,5.250778,0.425641,3,6.68,5.904,5.102,700726.5,3843327,0
EVLV,EVINE Live Inc.,144.17212,1.043771,0.009017,46,6.71,2.251936957,0.5091,6117397.609,5756894.435,3
CWBR,"CohBar, Inc.",0,20.609378,0,9,6.74,5.71,4.85,3374863,1033565.5,0
LAC,Lithium Americas Corp.,0,0,0,8,6.8,5.365,3.84,4469619,3763915.25,0
HLTH,Nobilis Health Corp.,35.028913,0.389936,0.021271,41,6.83,2.668780488,0.82,10019175.38,8849452.65,3
ONCY,Oncolytics Biotech,0,0,-0.12,173,6.85,2.849619075,0.2898,6530196.057,1563452.326,14
WIT,Wipro Ltd ADS,19.84605,0.050546,0.261513,215,6.9,3.965448837,0.8712,24865482.24,36518209.35,17
AMS,American Shared Hospital Service,8.143815,0.570094,0.380657,252,6.9,3.377610714,0.69,224415.746,222063.4921,21
LYL,龙运国际,137.769109,2.548086,0.01793,11,6.91,3.984272727,2.05,359305.8333,1569429.6,0
CDXC,Chromadex Corporation,0,6.164016,-0.439325,29,6.92,3.892413793,2.43,7673622.867,5009283.286,2
MBRX,"Moleculin Biotech, Inc.",0,2.678451,-0.594355,27,6.98,2.566648148,0.7595,15521693,15211553.85,2
XPLR,Xplore Technologies Corp,220.034527,2.35952,0.027223,71,7,4.232405634,1.95,1094285.861,519391.4286,5
ERS,Empire Resources Inc.,26.923078,1.161551,0.26,66,7,5.037172727,2.86,129208.697,197532.9697,5
GSB,GlobalSCAPE Inc,0,2.709716,-0.018302,199,7,2.133563317,0.11,1067937.14,568092.9293,16
MSN,Emerson Radio Corp,0,0.830527,-0.275664,252,7.01,1.912517857,0.38,957008.754,1763721.429,21
TTNP,Titan Pharmaceuticals Inc,0,-12.110196,-0.534096,35,7.03,3.14676,0.735,2723342.667,5067719.059,2
ATOM,Atomera Inc,0,5.506929,-0.978438,22,7.08,5.386859091,3.33,1288391,359916.5455,1
VGZ,Vista Gold Corp,0,1.971093,-0.09448,252,7.14,2.036135119,0.265,8811848.317,3869381.508,21
VLRX,"Valeritas Holdings, Inc.",0,10.988477,-2.501041,18,7.15,3.535,1.15,11334500.67,694850.7778,1
EYEG,"Eyegate Pharmaceuticals, Inc.",0,1.741936,-0.584044,38,7.15,1.950502632,0.38,12219502.21,2904777,3
SNOA,"Sonoma Pharmaceuticals, Inc.",0,0.981693,-2.900037,21,7.17,4.979995238,1.9,1575576.545,609574.4,1
HAIR,Restoration Robotics Inc,0.467207,103.198897,3.403199,11,7.18,4.648181818,2.45,4345752.5,2289090.8,0
RIBT,RiceBran Technologies,0,4.624426,-0.221659,57,7.19,2.564359649,0.79,1549141.241,897387.7143,4
MOTS,Motus GI Holdings,0,5.679622,-1.497759,7,7.19,5.664328571,4.3603,2152769.75,842117,0
OESX,Orion Energy Systems Inc,0,1.329282,-0.318016,101,7.25,2.75109505,0.78,1811583.941,1772144,8
ICL,Israel Corporation Ltd,0,2.482766,-0.1,48,7.25,5.021127083,3.53,4481335.708,5691562.75,4
GV,Goldfield Corp,15.923989,1.999272,0.301432,252,7.25,1.288388095,0.19,3663634.167,1754139.683,21
ISR,IsoRay,0,5.265589,-0.112762,157,7.25,1.592092994,0.17,17496606.8,1483391.026,13
GEN, Genesis Healthcare,0,-0.143966,-5.985521,41,7.26,2.884860976,0.6897,10580652.76,4203916.15,3
ASX,日月光半导体,20.362939,0.186636,0.233758,215,7.26,3.274435814,0.8191,23369858.11,15583785.1,17
BLNK,Blink Charging,0,4.132348,-22.980782,7,7.3,3.668571429,1.48,65685369.5,1252499.667,0
RLGT,Radiant Logistics,75.158648,1.627904,0.056414,80,7.31,3.502875,1.4,3850356.625,1124305,6
GSL,环球租船,0,0.245323,-1.494105,121,7.32,3.160669421,1.08,2956768.885,2516806.667,10
AUPH,Aurinia Pharmaceuticals Inc,0,1.041926,-0.65,48,7.34,4.147516667,1.94,48716878.33,2827237.458,4
DMPI,DelMar Pharmaceuticals,0,9.207611,-0.647491,26,7.34,2.570926923,0.5151,13028218,1227890.538,2
SRTS,"Sensus Healthcare, Inc.",0,8.916973,-0.228476,26,7.37,5.541242308,4,316810.0769,120618.6154,2
CETX,Cemtrex Inc.,0,0.529478,-0.177189,39,7.38,3.201371795,1.65,5013804,4278311.474,3
