code,name,open,latestPrice,volume,volumeRatio,pe,pb,eps,Name,LastSale,MarketCap,year,Sector,industry,Summary Quote,Unnamed: 8
SLNO,Capnia Inc,2.91,2.68,80115642.0,4.945922,0.0,5.99112,-1.021682,"Soleno Therapeutics, Inc.",2.68,$84.98M,2014.0,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/slno,
CELH,"Celsius Holdings, Inc.",3.8,4.85,347005.0,2.598296,0.0,23.423078,-0.228164,"Celsius Holdings, Inc.",4.85,$247.98M,,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/celh,
TENX,"Tenax Therapeutics, Inc.",1.62,2.09,1909022.0,1.306441,0.0,0.620274,-4.1217,"Tenax Therapeutics, Inc.",2.09,$6.31M,,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://www.nasdaq.com/symbol/tenx,
XFOR,X4 Pharmaceuticals Inc,15.19,19.43,48850.0,1.232745,0.0,13.108279,-3.006793,"X4 Pharmaceuticals, Inc.",19.43,,2017.0,,,https://www.nasdaq.com/symbol/xfor,
AVID,艾维科技,5.35,6.23,2922552.0,4.414018,0.0,-1.56807,-0.26,"Avid Technology, Inc.",6.23,$260.74M,1993.0,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/avid,
SWAV,Shockwave Medical Inc .,30.62,38.1,334507.0,1.150771,0.0,-10.665552,-23.391926,"ShockWave Medical, Inc.",38.1,$1.03B,2019.0,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/swav,
TPHS,Trinity Place Holdings Inc,3.63,4.67,254507.0,3.005976,0.0,2.384063,-0.120877,Trinity Place Holdings Inc.,4.67,$147.79M,,Consumer Services,Building operators,https://www.nasdaq.com/symbol/tphs,
MGTA,Magenta Therapeutics Inc.,13.96,17.3,1448661.0,3.071011,0.0,3.58401,-4.615021,"Magenta Therapeutics, Inc.",17.3,$573.52M,2018.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mgta,
CATS,"Catasys, Inc.",12.51,13.82,1041737.0,3.719485,0.0,-24.874391,-0.890755,"Catasys, Inc.",13.82,$223M,,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/cats,
KEG,克罗公司,5.05,6.15,1014834.0,1.537994,0.0,1.85539,-4.384987,"Key Energy Services, Inc.",6.15,$124.83M,2016.0,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/keg,
ACHV,"Achieve Life Sciences, Inc.",4.16,3.01,14107092.0,4.219539,0.0,1.428306,-5.994757,"Achieve Life Sciences, Inc. ",3.01,$20.23M,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/achv,
AVGR,"Avinger, Inc.",0.73,0.89,12270022.0,2.52415,0.0,4.527997,-3.339758,"Avinger, Inc.",0.89,$37.64M,2015.0,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/avgr,
DRAD,Digirad Corporation,0.72,0.85,763857.0,3.609242,23.280655,0.667845,0.036511,Digirad Corporation,0.85,$17.23M,2004.0,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/drad,
