,fz_2007-12-31,fz_2008-12-31,fz_2009-12-31,fz_2010-12-31,fz_2011-12-31,fz_2012-12-31,fz_2013-12-31,fz_2014-12-31,fz_2015-12-31,fz_2016-12-31,fz_2017-12-31,lrl_2007-12-31,lrl_2008-12-31,lrl_2009-12-31,lrl_2010-12-31,lrl_2011-12-31,lrl_2012-12-31,lrl_2013-12-31,lrl_2014-12-31,lrl_2015-12-31,lrl_2016-12-31,lrl_2017-12-31,roe_2007-12-31,roe_2008-12-31,roe_2009-12-31,roe_2010-12-31,roe_2011-12-31,roe_2012-12-31,roe_2013-12-31,roe_2014-12-31,roe_2015-12-31,roe_2016-12-31,roe_2017-12-31,zz_2007-12-31,zz_2008-12-31,zz_2009-12-31,zz_2010-12-31,zz_2011-12-31,zz_2012-12-31,zz_2013-12-31,zz_2014-12-31,zz_2015-12-31,zz_2016-12-31,zz_2017-12-31
sh601857,,,37.40%,39.02%,43.54%,45.56%,45.78%,45.22%,43.85%,42.72%,42.55%,,,10.44%,10.28%,7.29%,5.95%,6.30%,5.21%,2.46%,1.82%,1.82%,,,9.10%,15.50%,13.60%,11.10%,11.40%,9.30%,3.00%,0.70%,1.90%,,,0.77次,0.94次,1.12次,1.07次,1.00次,0.96次,0.72次,0.67次,0.84次
sz002420,,,55.70%,36.53%,46.31%,47.96%,52.65%,55.62%,59.03%,59.58%,71.02%,,,8.92%,7.90%,1.71%,1.42%,-2.26%,1.33%,1.27%,0.26%,-8.44%,,,21.29%,11.62%,2.25%,2.31%,-3.50%,2.72%,2.91%,1.16%,-36.30%,,,1.09次,0.92次,0.78次,0.72次,0.84次,0.93次,0.96次,1.40次,1.38次
sh603032,,,,,69.61%,59.64%,47.43%,39.13%,28.46%,14.57%,11.40%,,,,,8.47%,10.49%,11.78%,13.87%,13.00%,19.73%,13.59%,,,,,30.71%,38.50%,35.36%,29.96%,20.07%,21.53%,13.29%,,,,,2.27次,1.41次,1.40次,1.18次,1.06次,0.65次,0.40次
sz002708,,,50.34%,42.83%,39.59%,37.91%,36.99%,20.10%,18.36%,36.59%,35.70%,,,10.89%,10.42%,9.70%,10.61%,9.20%,10.12%,6.71%,5.79%,0.83%,,,19.22%,23.13%,14.44%,14.10%,11.24%,7.37%,4.04%,4.76%,0.79%,,,1.57次,1.03次,0.87次,0.81次,0.76次,0.65次,0.48次,0.63次,0.62次
sz002884,,,,,,30.90%,15.42%,13.15%,12.62%,15.29%,7.89%,,,,,,13.06%,12.38%,15.46%,14.88%,18.41%,19.15%,,,,,,25.78%,22.59%,22.93%,21.18%,25.66%,22.79%,,,,,,2.42次,1.29次,1.29次,1.20次,1.21次,0.99次
sh600211,,,59.66%,55.92%,54.95%,54.39%,64.90%,60.42%,31.21%,71.27%,12.22%,,,1.88%,2.18%,1.95%,2.50%,1.71%,1.21%,6.56%,25.02%,25.59%,,,6.69%,7.66%,6.22%,8.58%,7.18%,5.13%,20.58%,34.64%,14.62%,,,1.41次,1.50次,1.42次,1.50次,1.41次,1.53次,1.58次,0.53次,0.40次
sh600836,,,69.81%,79.61%,83.50%,83.29%,82.37%,81.63%,74.47%,73.15%,72.93%,,,1.73%,1.43%,0.56%,0.69%,0.82%,1.52%,1.75%,-0.80%,2.17%,,,3.55%,3.80%,1.66%,1.89%,2.46%,3.46%,2.83%,-1.26%,3.68%,,,0.69次,0.65次,0.39次,0.43次,0.56次,0.62次,0.45次,0.49次,0.39次
sz300048,,,43.98%,12.97%,18.93%,15.84%,18.53%,19.78%,25.74%,45.97%,43.56%,,,23.80%,26.00%,21.81%,19.38%,6.97%,7.66%,8.62%,15.69%,4.08%,,,38.09%,8.76%,9.23%,9.22%,2.99%,2.90%,3.37%,7.47%,2.74%,,,0.91次,0.40次,0.35次,0.39次,0.36次,0.34次,0.30次,0.34次,0.28次
sz002474,,,19.81%,4.66%,6.18%,11.50%,14.54%,19.56%,27.51%,33.83%,44.67%,,,23.81%,25.33%,27.58%,21.83%,10.40%,3.67%,2.48%,3.56%,4.23%,,,30.12%,17.65%,10.08%,9.81%,4.73%,1.65%,1.16%,1.80%,2.31%,,,0.92次,0.42次,0.34次,0.41次,0.39次,0.37次,0.35次,0.35次,0.31次
sh603335,,,,,,44.19%,54.45%,60.11%,46.62%,43.91%,32.15%,,,,,,8.05%,5.15%,4.72%,5.43%,7.30%,1.92%,,,,,,22.96%,8.44%,12.51%,14.11%,15.87%,2.69%,,,,,,2.58次,0.89次,1.13次,1.12次,1.11次,0.99次
sh603259,,,,,,,,35.17%,33.62%,42.76%,46.44%,,,,,,,,19.52%,14.00%,18.33%,16.70%,,,,,,,,20.82%,14.45%,29.10%,21.14%,,,,,,,,1.09次,0.57次,0.60次,0.67次
sz002299,,,27.50%,44.32%,26.17%,47.61%,58.81%,63.72%,49.10%,45.13%,50.45%,,,13.94%,13.44%,15.17%,-0.83%,-5.56%,0.59%,-7.19%,8.18%,2.62%,,,23.55%,16.66%,16.78%,0.08%,-6.84%,2.42%,-8.41%,12.19%,4.79%,,,0.79次,0.77次,0.75次,0.70次,0.63次,0.71次,0.66次,0.75次,0.83次
sh600017,,,41.04%,43.96%,34.57%,34.64%,34.51%,37.42%,39.53%,42.25%,41.17%,,,17.37%,14.43%,14.02%,16.87%,16.77%,14.18%,8.49%,5.34%,9.31%,,,10.66%,9.90%,8.36%,9.60%,8.85%,5.91%,3.00%,1.73%,3.51%,,,0.36次,0.39次,0.37次,0.40次,0.33次,0.30次,0.24次,0.22次,0.24次
sh603599,,,57.64%,37.37%,31.29%,32.77%,37.62%,35.72%,26.70%,28.88%,24.83%,,,5.86%,12.32%,17.96%,16.89%,17.20%,12.60%,9.83%,12.06%,14.37%,,,13.24%,27.27%,22.00%,16.60%,13.97%,12.01%,6.99%,7.82%,13.17%,,,0.77次,0.90次,0.78次,0.65次,0.51次,0.59次,0.51次,0.47次,0.53次
sh603558,,,,,57.94%,53.56%,56.46%,54.57%,35.39%,25.09%,15.51%,,,,,13.00%,14.69%,13.51%,11.95%,14.18%,15.61%,11.56%,,,,,34.04%,31.04%,26.84%,23.60%,14.27%,6.68%,6.23%,,,,,1.86次,0.94次,0.94次,0.88次,0.71次,0.36次,0.40次
sh600256,,,52.46%,60.14%,56.51%,62.29%,64.89%,66.56%,68.93%,69.99%,68.06%,,,17.06%,18.11%,21.10%,26.51%,15.68%,25.07%,4.77%,3.45%,6.03%,,,16.40%,19.45%,18.43%,12.96%,8.95%,16.38%,2.30%,1.86%,5.77%,,,0.44次,0.35次,0.29次,0.18次,0.18次,0.20次,0.12次,0.10次,0.18次
sh603589,,,,,49.00%,46.58%,45.39%,37.76%,26.30%,25.47%,33.76%,,,,,18.96%,18.19%,16.27%,18.69%,23.43%,27.68%,30.91%,,,,,36.32%,31.62%,22.21%,20.07%,20.55%,19.81%,24.00%,,,,,1.71次,0.91次,0.73次,0.62次,0.60次,0.53次,0.54次
sz002360,,,32.58%,7.34%,9.15%,19.18%,27.79%,25.38%,17.90%,21.60%,26.81%,,,19.61%,17.04%,11.28%,13.87%,17.65%,15.33%,12.78%,14.34%,14.22%,,,27.89%,10.79%,9.78%,10.61%,15.79%,14.28%,8.58%,8.37%,9.42%,,,0.88次,0.68次,0.80次,0.70次,0.76次,0.69次,0.51次,0.47次,0.49次
sh600456,,,27.85%,31.09%,35.38%,38.54%,40.28%,43.33%,46.55%,46.17%,45.92%,,,0.83%,0.48%,3.24%,0.68%,0.76%,0.71%,-8.40%,1.55%,1.21%,,,0.44%,0.10%,1.70%,0.16%,0.32%,0.33%,-5.32%,1.08%,0.63%,,,0.45次,0.47次,0.51次,0.38次,0.37次,0.37次,0.31次,0.36次,0.42次
sh600415,,,51.35%,54.13%,56.81%,54.80%,62.21%,67.43%,66.55%,61.14%,51.61%,,,25.01%,25.56%,19.01%,19.61%,19.37%,10.58%,11.63%,14.26%,14.06%,,,15.38%,11.96%,8.63%,8.86%,8.40%,4.69%,7.57%,10.81%,13.68%,,,0.30次,0.22次,0.20次,0.20次,0.17次,0.15次,0.20次,0.25次,0.39次
sz000402,,,62.36%,68.17%,69.03%,69.95%,67.85%,69.40%,72.55%,72.41%,73.08%,,,22.05%,22.61%,21.35%,15.65%,17.70%,14.12%,14.55%,14.18%,16.08%,,,9.10%,10.98%,11.52%,11.97%,13.79%,12.61%,9.03%,10.60%,10.56%,,,0.18次,0.17次,0.17次,0.27次,0.27次,0.27次,0.16次,0.18次,0.21次
sh600317,,,63.39%,64.74%,53.94%,37.25%,34.74%,40.25%,34.16%,32.25%,30.66%,,,10.65%,9.67%,9.43%,15.20%,14.52%,14.40%,13.85%,13.88%,14.74%,,,6.01%,6.48%,6.44%,5.43%,5.36%,5.60%,5.13%,4.83%,5.06%,,,0.21次,0.24次,0.27次,0.25次,0.23次,0.23次,0.23次,0.22次,0.23次
sz002262,,,49.27%,51.53%,49.16%,49.26%,46.61%,44.92%,28.37%,28.61%,25.45%,,,4.82%,5.78%,6.63%,6.97%,7.71%,8.85%,9.23%,10.00%,11.06%,,,15.20%,18.02%,20.94%,22.70%,23.26%,23.77%,18.13%,15.88%,17.38%,,,1.47次,1.50次,1.55次,1.63次,1.54次,1.43次,1.24次,1.09次,1.08次
sz002110,,,64.45%,64.48%,67.20%,68.72%,67.52%,67.73%,76.85%,41.97%,30.09%,,,0.31%,0.69%,1.31%,-1.18%,0.28%,0.18%,-7.40%,6.56%,17.76%,,,1.61%,4.11%,8.93%,-7.57%,1.95%,1.23%,-43.68%,21.68%,43.69%,,,1.85次,2.12次,2.31次,2.06次,2.22次,2.17次,1.65次,1.43次,1.59次
sz300473,,,,,33.14%,32.45%,31.40%,31.53%,19.64%,22.40%,60.78%,,,,,23.04%,22.93%,21.42%,19.73%,19.47%,18.11%,5.26%,,,,,35.15%,25.77%,22.04%,19.53%,12.52%,7.33%,7.60%,,,,,1.54次,0.73次,0.71次,0.68次,0.47次,0.32次,0.82次
sz300294,,,48.02%,33.12%,20.68%,3.32%,15.71%,9.23%,12.80%,11.87%,32.30%,,,26.32%,35.24%,33.16%,33.07%,33.58%,26.31%,30.75%,29.32%,24.99%,,,30.83%,26.38%,28.36%,12.24%,10.83%,12.77%,16.23%,13.74%,15.80%,,,0.51次,0.46次,0.63次,0.41次,0.28次,0.43次,0.34次,0.41次,0.48次
sz002051,,,63.26%,57.04%,78.46%,72.45%,68.40%,67.55%,67.56%,59.41%,53.33%,,,6.69%,7.24%,6.54%,6.66%,7.67%,8.11%,12.15%,15.27%,12.48%,,,19.59%,17.21%,19.99%,23.02%,16.11%,17.39%,18.87%,19.55%,19.24%,,,1.01次,1.23次,0.84次,0.70次,0.55次,0.55次,0.43次,0.42次,0.58次
sh603133,,,,,,9.03%,9.87%,13.20%,11.86%,26.57%,14.00%,,,,,,51.46%,38.82%,44.18%,16.44%,17.67%,9.98%,,,,,,53.86%,40.04%,38.51%,12.05%,17.08%,6.52%,,,,,,1.12次,0.93次,0.77次,0.63次,0.77次,0.58次
sh600601,,,48.59%,41.31%,32.56%,34.22%,31.98%,61.49%,61.37%,64.65%,72.38%,,,1.24%,2.94%,2.45%,1.45%,1.34%,4.62%,1.70%,1.01%,-16.14%,,,3.47%,7.07%,3.65%,1.89%,1.63%,6.75%,3.05%,1.78%,-24.08%,,,1.46次,1.29次,0.94次,0.87次,0.81次,0.88次,0.70次,0.66次,0.47次
sz002833,,,,,30.58%,26.09%,27.00%,25.14%,15.03%,12.57%,15.92%,,,,,20.03%,23.94%,23.21%,25.91%,23.38%,29.23%,28.62%,,,,,47.77%,46.64%,43.05%,51.23%,30.03%,42.52%,28.67%,,,,,2.71次,1.26次,1.32次,1.38次,0.98次,0.86次,0.84次
sh600901,,,67.66%,80.58%,72.81%,79.03%,81.02%,84.89%,85.78%,87.10%,87.42%,,,54.81%,55.38%,54.17%,54.23%,53.06%,57.40%,55.30%,45.64%,52.02%,,,--,--,--,--,15.77%,15.70%,16.89%,16.45%,17.46%,,,0.07次,0.06次,0.06次,0.06次,0.06次,0.05次,0.04次,0.05次,0.04次
sh600629,,,41.95%,41.46%,32.42%,34.36%,31.17%,30.38%,81.63%,78.62%,64.19%,,,14.28%,8.78%,6.80%,5.38%,6.35%,1.48%,3.75%,5.71%,5.56%,,,17.01%,10.07%,4.77%,1.29%,1.81%,0.57%,22.44%,27.71%,12.48%,,,0.60次,0.71次,0.38次,0.37次,0.24次,0.31次,1.49次,1.01次,0.86次
sz000411,,,81.22%,81.42%,75.08%,74.51%,74.04%,73.77%,75.26%,75.72%,79.03%,,,1.25%,1.32%,4.50%,1.36%,1.36%,0.91%,1.00%,1.11%,1.01%,,,20.57%,21.70%,60.01%,15.52%,14.67%,11.38%,10.72%,12.12%,10.42%,,,3.06次,3.08次,2.78次,2.72次,2.78次,2.81次,2.73次,2.63次,2.35次
sh601010,,,61.17%,62.17%,37.25%,43.72%,45.88%,42.07%,42.76%,38.01%,33.18%,,,6.03%,6.33%,6.72%,6.49%,5.34%,5.66%,3.53%,3.71%,4.47%,,,38.81%,37.09%,18.59%,12.16%,10.46%,11.58%,6.60%,6.24%,7.06%,,,2.38次,2.25次,1.61次,1.10次,1.07次,1.13次,1.05次,1.00次,1.02次
sh600827,,,73.60%,76.10%,63.04%,61.18%,60.92%,56.44%,54.27%,56.09%,54.51%,,,2.10%,2.67%,4.14%,3.12%,2.40%,2.41%,2.41%,1.63%,1.82%,,,7.88%,10.54%,13.71%,10.10%,8.22%,7.24%,8.08%,5.64%,5.08%,,,1.67次,1.56次,1.62次,1.30次,1.30次,1.21次,1.14次,1.07次,1.05次
sz002832,,,,,55.18%,41.38%,34.59%,25.99%,22.99%,12.87%,16.69%,,,,,14.57%,18.01%,16.90%,16.55%,16.35%,15.75%,17.09%,,,,,46.01%,51.49%,38.59%,30.70%,26.46%,22.35%,13.24%,,,,,2.30次,1.50次,1.43次,1.30次,1.23次,0.78次,0.66次
sh603895,,,,,,,86.18%,71.96%,67.26%,59.24%,57.80%,,,,,,,22.02%,18.58%,23.21%,16.46%,14.61%,,,,,,,149.11%,51.92%,40.13%,31.84%,23.78%,,,,,,,1.07次,0.57次,0.60次,0.70次,0.68次
sz002373,,,59.60%,17.85%,27.67%,42.42%,42.39%,53.21%,28.69%,40.78%,41.35%,,,6.53%,3.36%,1.93%,-8.58%,-36.86%,19.71%,20.59%,17.58%,17.78%,,,32.26%,4.47%,1.88%,-9.54%,-23.68%,32.68%,23.99%,10.83%,10.74%,,,2.03次,1.17次,0.75次,0.71次,0.37次,0.90次,0.47次,0.45次,0.40次
sz000043,,,67.78%,70.26%,69.33%,72.03%,76.79%,79.30%,79.48%,78.25%,75.94%,,,5.34%,7.54%,13.51%,10.41%,8.02%,7.70%,6.72%,2.17%,-0.59%,,,3.70%,13.61%,23.22%,14.19%,15.04%,14.56%,10.90%,4.02%,3.64%,,,0.31次,0.54次,0.39次,0.33次,0.39次,0.33次,0.26次,0.28次,0.29次
sh600600,,,42.40%,45.32%,47.87%,45.97%,49.30%,43.39%,43.28%,43.88%,42.62%,,,7.21%,7.96%,7.76%,7.16%,6.98%,6.95%,5.83%,4.24%,5.26%,,,18.57%,16.90%,16.78%,14.91%,14.87%,13.53%,10.76%,6.43%,7.55%,,,1.32次,1.22次,1.18次,1.14次,1.11次,1.07次,1.00次,0.89次,0.86次
sz300637,,,,,,52.12%,44.57%,46.66%,46.78%,38.16%,13.15%,,,,,,12.82%,7.96%,10.12%,10.87%,15.64%,14.94%,,,,,,29.25%,9.74%,17.13%,17.24%,23.50%,14.17%,,,,,,1.45次,0.63次,0.92次,0.85次,0.83次,0.79次
sz300719,,,,,,,48.42%,50.78%,50.44%,37.04%,13.61%,,,,,,,27.28%,20.22%,22.97%,22.93%,20.42%,,,,,,,33.95%,19.67%,22.11%,27.04%,18.57%,,,,,,,1.48次,0.65次,0.64次,0.71次,0.50次
sz000966,,,86.05%,87.92%,87.95%,84.96%,80.17%,75.66%,64.10%,60.29%,63.54%,,,0.56%,-4.06%,0.75%,1.79%,4.73%,11.97%,15.56%,7.38%,-2.23%,,,3.51%,-23.29%,7.92%,6.34%,19.23%,34.30%,34.54%,11.92%,-3.61%,,,0.42次,0.49次,0.53次,0.54次,0.64次,0.61次,0.61次,0.57次,0.59次
sh600162,,,71.06%,75.77%,78.12%,85.10%,83.58%,83.04%,71.77%,66.87%,56.00%,,,17.59%,12.56%,8.94%,1.64%,12.80%,5.62%,7.79%,11.98%,19.66%,,,20.98%,10.46%,3.18%,2.15%,12.57%,14.97%,12.05%,13.30%,11.59%,,,0.38次,0.29次,0.17次,0.26次,0.23次,0.33次,0.27次,0.33次,0.25次
sz002714,,,50.23%,54.36%,51.04%,52.00%,61.14%,52.71%,50.17%,56.22%,47.03%,,,22.01%,19.26%,31.44%,22.15%,14.86%,3.08%,19.84%,41.42%,23.56%,,,43.50%,27.27%,61.86%,37.95%,27.04%,4.27%,26.63%,50.74%,28.12%,,,1.53次,0.61次,0.95次,0.82次,0.76次,0.71次,0.54次,0.56次,0.54次
sz300131,,,39.86%,8.88%,10.61%,38.04%,50.49%,41.92%,30.72%,46.10%,59.69%,,,11.30%,8.20%,4.43%,2.86%,-1.40%,4.94%,2.11%,4.98%,2.39%,,,38.15%,17.83%,4.01%,3.41%,-0.42%,4.07%,4.31%,11.33%,7.65%,,,1.96次,1.05次,0.82次,0.90次,0.63次,0.48次,1.02次,1.38次,1.69次
sh603377,,,,,59.94%,56.22%,55.70%,56.01%,47.32%,28.01%,30.59%,,,,,29.41%,27.43%,27.67%,23.20%,23.81%,20.46%,18.95%,,,,,80.60%,72.22%,62.66%,59.11%,47.86%,16.98%,14.03%,,,,,1.33次,0.78次,0.79次,0.83次,0.79次,0.54次,0.41次
sh600050,,,50.18%,53.06%,54.50%,59.06%,58.29%,57.90%,61.96%,62.57%,46.48%,,,5.92%,2.08%,1.94%,2.74%,3.39%,4.15%,3.77%,0.18%,0.61%,,,4.50%,1.70%,1.99%,3.31%,4.68%,5.20%,4.41%,0.20%,0.49%,,,0.41次,0.41次,0.48次,0.52次,0.58次,0.54次,0.48次,0.45次,0.46次
sh600137,,,29.82%,30.29%,33.75%,26.82%,22.85%,23.12%,19.21%,22.55%,26.87%,,,13.81%,12.71%,8.46%,2.50%,1.87%,0.59%,-10.08%,5.00%,6.68%,,,11.76%,11.28%,8.20%,2.33%,1.80%,0.43%,-4.59%,3.01%,4.93%,,,0.62次,0.62次,0.66次,0.65次,0.72次,0.55次,0.36次,0.48次,0.55次
sh603198,,,,,42.08%,41.80%,34.43%,34.21%,30.40%,30.32%,29.95%,,,,,15.58%,13.89%,12.44%,16.44%,18.12%,22.49%,21.26%,,,,,37.53%,26.02%,20.55%,20.70%,16.42%,17.84%,16.90%,,,,,1.98次,1.06次,1.00次,0.81次,0.64次,0.56次,0.54次
sh603030,,,,,75.07%,72.16%,70.17%,74.17%,64.10%,63.39%,67.84%,,,,,2.73%,4.65%,4.07%,4.26%,3.75%,2.74%,3.69%,,,,,15.55%,24.98%,21.51%,19.62%,11.35%,9.89%,10.90%,,,,,2.53次,1.41次,1.55次,1.29次,1.08次,1.05次,1.00次
sh603985,,,,,,66.62%,65.04%,64.41%,56.66%,51.08%,19.13%,,,,,,6.62%,2.84%,5.48%,8.74%,15.05%,12.25%,,,,,,17.03%,5.29%,12.97%,17.63%,23.94%,11.93%,,,,,,1.59次,0.64次,0.84次,0.79次,0.73次,0.69次
sz002414,,,35.72%,2.44%,2.83%,2.74%,12.54%,3.34%,25.47%,19.94%,20.02%,,,38.95%,37.11%,33.69%,20.29%,17.26%,17.08%,10.03%,8.74%,5.75%,,,34.60%,10.80%,4.20%,2.56%,2.58%,2.82%,2.58%,2.56%,1.79%,,,0.57次,0.23次,0.12次,0.12次,0.14次,0.15次,0.22次,0.22次,0.25次
sh600077,,,38.31%,22.65%,71.62%,70.96%,75.89%,71.62%,71.43%,60.60%,77.75%,,,-6.36%,2.96%,12.11%,13.11%,13.07%,2.35%,2.37%,-2.40%,5.74%,,,-9.28%,3.85%,19.75%,19.49%,15.46%,1.43%,2.06%,-5.42%,4.25%,,,0.93次,0.80次,0.47次,0.28次,0.25次,0.19次,0.25次,0.67次,0.20次
sh600604,,,70.74%,79.57%,79.55%,27.41%,39.82%,59.40%,59.31%,54.51%,51.77%,,,-42.92%,-20.05%,2.26%,48.56%,40.20%,10.20%,11.88%,13.12%,13.90%,,,-36.56%,-40.93%,8.84%,13.81%,14.17%,1.14%,5.24%,4.00%,4.00%,,,0.34次,0.53次,0.85次,0.25次,0.23次,0.05次,0.16次,0.11次,0.17次
sh603320,,,,,64.70%,59.08%,54.37%,47.14%,37.29%,33.67%,18.40%,,,,,7.30%,7.48%,8.52%,7.44%,6.28%,8.97%,7.88%,,,,,33.40%,21.84%,20.12%,13.75%,9.76%,15.02%,10.39%,,,,,2.70次,1.12次,1.02次,0.91次,0.90次,1.08次,1.07次
sz002184,,,17.64%,24.08%,27.21%,32.83%,33.02%,42.84%,51.79%,41.98%,41.07%,,,4.08%,2.57%,1.94%,0.30%,2.62%,4.24%,5.12%,1.58%,1.66%,,,6.01%,4.26%,2.85%,0.31%,4.26%,7.37%,9.85%,1.37%,1.31%,,,1.22次,1.34次,1.19次,1.06次,1.14次,1.09次,1.00次,0.85次,0.95次
sh600132,,,60.76%,57.88%,58.70%,60.20%,58.51%,63.85%,67.24%,63.09%,66.77%,,,8.40%,15.02%,5.65%,3.91%,3.00%,-0.99%,-4.62%,4.38%,10.27%,,,16.08%,28.10%,10.98%,11.06%,10.64%,5.69%,-5.47%,15.37%,28.29%,,,0.70次,0.69次,0.76次,0.76次,0.75次,0.77次,0.87次,0.90次,0.92次
sz300453,,,,,38.78%,40.49%,37.03%,34.38%,10.20%,11.62%,13.23%,,,,,15.89%,17.01%,15.96%,15.09%,16.64%,11.52%,10.49%,,,,,34.76%,33.75%,26.54%,21.37%,12.65%,6.80%,7.54%,,,,,2.20次,1.20次,1.02次,0.91次,0.64次,0.52次,0.62次
sz002397,,,68.00%,24.87%,30.41%,30.71%,32.94%,32.15%,29.35%,38.85%,36.34%,,,14.10%,10.76%,8.84%,4.68%,6.92%,9.50%,10.30%,6.87%,4.18%,,,51.42%,12.09%,10.58%,5.24%,8.65%,12.17%,11.65%,6.87%,3.57%,,,1.03次,0.85次,0.85次,0.76次,0.85次,0.86次,0.79次,0.65次,0.67次
sz000638,,,68.80%,59.08%,57.88%,71.43%,72.92%,86.44%,87.76%,79.46%,63.59%,,,12.48%,22.37%,3.01%,10.32%,-13.53%,1.83%,-15.97%,8.79%,15.43%,,,56.07%,31.60%,2.32%,2.38%,-5.74%,1.39%,-16.12%,4.88%,6.99%,,,0.65次,0.40次,0.49次,0.05次,0.09次,0.10次,0.09次,0.08次,0.11次
sh600108,,,40.23%,37.63%,38.87%,28.68%,27.52%,37.46%,37.61%,39.23%,40.79%,,,8.48%,8.93%,7.94%,20.39%,16.25%,9.35%,5.60%,3.79%,4.77%,,,5.16%,4.85%,4.13%,12.24%,8.41%,4.43%,2.60%,1.59%,2.06%,,,0.35次,0.31次,0.34次,0.42次,0.37次,0.32次,0.29次,0.27次,0.26次
sz000100,,,72.12%,66.17%,73.95%,74.63%,74.44%,71.08%,66.33%,68.91%,66.22%,,,1.59%,0.91%,2.75%,1.83%,3.37%,4.18%,3.08%,2.00%,3.17%,,,10.09%,5.83%,9.39%,6.64%,15.84%,18.21%,10.40%,7.17%,10.86%,,,1.66次,1.24次,0.95次,0.91次,1.08次,1.19次,1.03次,0.82次,0.73次
sh600519,,,25.89%,27.51%,27.21%,21.21%,20.42%,16.03%,23.25%,32.79%,28.67%,,,47.08%,45.90%,50.27%,52.95%,51.38%,50.50%,49.20%,44.65%,47.50%,,,33.55%,30.91%,40.39%,45.00%,39.43%,31.96%,26.23%,24.44%,32.95%,,,0.54次,0.51次,0.61次,0.66次,0.62次,0.53次,0.44次,0.40次,0.49次
sz300497,,,,,65.82%,61.24%,57.55%,55.20%,40.95%,43.92%,45.98%,,,,,12.30%,11.12%,10.18%,10.46%,16.15%,22.59%,18.21%,,,,,34.91%,28.11%,21.76%,20.84%,29.65%,25.94%,21.13%,,,,,1.65次,0.87次,0.87次,0.87次,0.71次,0.63次,0.60次
sh600260,,,52.88%,54.15%,61.36%,64.33%,64.36%,66.80%,61.56%,75.85%,72.51%,,,14.38%,2.87%,5.49%,9.40%,4.86%,2.94%,3.71%,2.92%,5.33%,,,10.06%,2.98%,4.37%,11.93%,4.56%,2.70%,4.74%,6.27%,19.25%,,,0.35次,0.50次,0.41次,0.52次,0.36次,0.31次,0.48次,0.78次,0.93次
sh603318,,,,,49.99%,57.76%,54.54%,56.31%,50.54%,58.21%,43.99%,,,,,20.03%,15.94%,13.08%,9.89%,5.42%,5.59%,9.70%,,,,,35.90%,24.86%,21.66%,13.26%,4.81%,5.07%,10.28%,,,,,1.26次,0.71次,0.73次,0.59次,0.43次,0.38次,0.38次
sh603843,,,,,68.00%,71.63%,75.86%,75.40%,73.19%,66.21%,66.66%,,,,,4.04%,4.52%,4.36%,4.55%,3.67%,4.29%,3.27%,,,,,18.14%,13.96%,17.44%,20.62%,13.36%,10.16%,3.69%,,,,,2.16次,0.88次,1.04次,1.10次,0.94次,0.68次,0.40次
sz002621,,,26.28%,20.16%,4.56%,4.90%,3.59%,4.79%,2.35%,1.74%,11.82%,,,32.13%,32.76%,37.19%,31.56%,30.74%,32.88%,40.69%,14.36%,10.09%,,,24.94%,26.47%,25.55%,5.88%,4.90%,5.67%,4.98%,0.89%,1.62%,,,0.62次,0.63次,0.35次,0.18次,0.15次,0.17次,0.12次,0.06次,0.14次
sh600061,,,29.86%,40.25%,56.63%,65.77%,70.80%,64.42%,81.24%,78.37%,72.34%,,,0.38%,1.15%,0.56%,0.16%,0.14%,0.10%,26.17%,27.47%,29.30%,,,0.83%,3.79%,2.91%,0.87%,1.07%,1.02%,19.75%,9.42%,9.13%,,,1.55次,2.12次,2.61次,2.11次,2.31次,2.49次,0.25次,0.07次,0.08次
sz000948,,,42.87%,45.41%,40.15%,40.58%,45.19%,45.64%,45.08%,44.66%,47.42%,,,4.96%,3.83%,4.23%,0.33%,0.20%,0.53%,0.91%,1.04%,0.94%,,,6.96%,5.91%,7.52%,0.49%,0.72%,0.84%,1.30%,1.44%,1.51%,,,0.86次,0.99次,1.16次,0.83次,0.91次,0.71次,0.82次,0.82次,0.86次
sz300381,,,36.48%,36.70%,27.49%,18.10%,18.71%,28.86%,42.27%,35.99%,45.64%,,,13.52%,12.99%,15.97%,16.22%,17.55%,15.32%,11.41%,9.61%,6.99%,,,23.00%,21.48%,26.05%,25.49%,23.07%,11.62%,9.63%,7.07%,4.19%,,,0.98次,1.02次,1.11次,1.21次,1.07次,0.54次,0.41次,0.53次,0.43次
sz300218,,,62.07%,60.76%,38.47%,41.39%,42.25%,44.08%,43.49%,44.62%,46.53%,,,7.52%,8.97%,6.33%,4.81%,6.68%,4.42%,4.48%,4.62%,-1.01%,,,29.33%,32.34%,10.67%,6.35%,9.02%,6.05%,5.84%,5.92%,-1.69%,,,1.48次,1.37次,0.99次,0.82次,0.79次,0.80次,0.77次,0.75次,0.77次
sz002898,,,,,,,39.93%,25.82%,19.47%,16.75%,13.49%,,,,,,,20.73%,15.83%,26.66%,23.94%,17.71%,,,,,,,47.53%,22.82%,36.79%,25.65%,17.84%,,,,,,,2.37次,0.95次,1.05次,0.90次,0.71次
sz002910,,,,,,,59.47%,58.77%,48.21%,43.33%,37.48%,,,,,,,7.01%,10.93%,11.70%,11.40%,10.88%,,,,,,,8.00%,14.00%,13.00%,11.00%,8.00%,,,,,,,0.93次,0.53次,0.49次,0.50次,0.40次
