code,name,category,pe
BSMX.N,桑坦德银行墨西,银行,12.49999990
HSEA.N,HSBC Holdings Plc,,376.57143569
BRK.B.N,伯克希尔-哈撒韦B,保险,0.01773795
BRK.A.N,伯克希尔-哈撒韦,保险,26.71388458
BABA.N,阿里巴巴,,79.62211645
JPM.N,摩根大通公司,,18.54119476
JNJ.N,强生公司,制药,22.67622346
DEO.N,帝亚吉欧公司,饮料,30.66379372
FMX.N,Fomento Economico Mexicano SAB de CV,饮料,30.61904572
XOM.N,埃克森美孚公司,,41.62766082
BAC.N,美国银行公司,银行,20.49333318
V.N,维萨卡公司,,54.77907210
WMT.N,沃尔玛公司,零售,22.34018172
WFC.N,富国银行,银行,14.75187982
RDS.A.N,荷兰皇家壳牌石油公司,,15.64108892
RDS.B.N,荷兰皇家壳牌石油公司,,
HDB.N,HDFC银行,银行,243.87804570
PFE.N,辉瑞制药公司,制药,35.97436042
UNH.N,美国联合健康集团,卫生保健设施,36.18344642
ENIC.N,Enel Chile SA,,8.06666660
VZ.N,威讯通信公司,,17.06853591
HD.N,家得宝公司,零售,30.31938036
CVX.N,雪佛龙公司,油气,-436.29629026
BBL.N,必和必拓公司,,45.11827824
NVS.N,诺华公司,生物技术和制药,29.65714369
LYG.N,劳埃德银行,银行,25.58333335
PG.N,宝洁公司,,15.32783917
MA.N,万事达卡公司,商业服务,55.07046167
TSM.N,台湾积体电路制造公司,半导体,18.84037508
T.N,美国电话电报公司,电信,15.72857156
BA.N,波音公司,航空航天\/国防,45.51905228
TM.N,丰田汽车公司,汽车制造,11.33088212
KO.N,可口可乐公司,饮料,31.27516656
ORCL.N,甲骨文公司,软件,22.91943271
CHL.N,中国移动通信集团公司,,12.23057004
BUD.N,百威英博公司,饮料,140.64789243
MRK.N,默沙东集团,生物技术和制药,48.97872283
NGG.N,英国国家电网公司,,15.87278098
HSBC.N,汇丰控股公司,银行,136.12120116
C.N,花旗集团,银行,14.76059349
AVAL.N,Grupo Aval Acciones y Valores SA,,11.81818164
UN.N,联合利华,,28.93877557
UL.N,联合利华PLC,食品,28.74999866
DIS.N,沃特迪士尼公司,媒体内容,20.30324984
EOCC.N,Enel Generaci贸n Chile SA,,7.70114988
PEP.N,百事可乐公司,饮料,26.36697146
HSEB.N,HSBC Holdings Plc,,34.90666707
DWDP.N,陶氏杜邦公司,,
TBB.N,AT&#38;T Inc.,,
ABBV.N,艾伯维公司,生物技术和制药,27.22038414
TOT.N,道达尔公司,,23.94023920
