code,open,name,pe,pb,eps,net2018-06,net_radio2018-06,income2018-06,income_radio2018-06,net2018-03,net_radio2018-03,income2018-03,income_radio2018-03,net2017-12,net_radio2017-12,income2017-12,income_radio2017-12,net2017-09,net_radio2017-09,income2017-09,income_radio2017-09,count,grow_radio_3,grow_radio_6,grow_self_3,grow_self_6,max_price,max_price_radio,price,price_week_3,vol_radio,volume_3,volume_6,week_3_rs,week_6_rs,year
PNBK,25.5,爱国者国家合众银行,26.773115,1.456485,0.952448,1036000,0.2886,0,0,1065000,-0.3844,0,0,600000,-0.4258,0,0,1013000,0.2445,0,0,754,0.017414444,0.043240895,0.33,0.8617,3003,0.992520813,22.46,23.07,0.869334452,34163.33333,18275.66667,0.006472323,0.034366155,14
IRCP,25.8,IRSA Propiedades Comerciales SA,1.571868,0.224009,16.540825,3467000000,2.7551,0,0,606000000,0.6443,0,0,9648000000,6.3873,0,0,1935000000,1.4816,0,0,754,-0.011348056,-0.042060941,-0.321,-1.208066667,61.5,0.619398374,23.407,24.42733333,1.314992614,71048.66667,30690.66667,-0.019187321,-0.037112357,14
FORD,1.56,福沃德工业,11.018492,1.396836,0.146118,235500,-0.5733,9539500,0.301,948500,4.993,9012400,0.9882,46700,-0.6921,6336500,-0.0387,113500,-0.1909,6307800,-0.0517,754,-0.010070178,0.004386155,-0.016666667,0.006666667,27.61,0.944585295,1.53,1.556666667,-0.455851658,366193.3333,672966,-0.000634273,-0.006805297,14
RCKY,27.25,Rocky Brands,16.77764,1.441671,1.689749,2649200,0.8155,58205800,-0.0043,3251100,1.1733,61386700,-0.0267,4396800,7.9323,66994000,0.0007,2234800,4.0149,64675100,-0.1167,754,-0.027570964,-0.019299253,-0.783333333,-0.583333333,33.57,0.220137027,26.18,27.54333333,0.083015227,233497,215599,-0.031672492,-0.026212413,14
BREW,16.85,Craft Brew Alliance,23.920097,2.506707,0.735783,4452000,1.5824,61823000,0.021,161000,1.0901,47487000,0.0719,7835000,102.0921,45966000,0.0035,1751000,2.1721,56638000,0.026,342,-0.006961443,-0.030775035,-0.143333333,-0.583333333,20.9,17%,17.32,17.07333333,1.324590767,808788.6667,347927.3333,-0.01058012,-0.034629761,6
DENN,14.02,Denny’s Corporation,21.629587,-7.813248,0.671765,11626000,0.3288,157000000,0.1796,9759000,0.1655,155000000,0.2139,13147000,0.1661,135000000,0.0455,9325000,-0.0412,132000000,0.0311,754,-0.019628596,-0.021245688,-0.293333333,-0.326666667,17.21,0.207437536,13.64,14.20333333,0.450291073,1792562.667,1236002,-0.022791387,-0.023448178,14
GLG,0.66,中国商业信贷公司,4.208348,4.211181,0.168142,9503300,2.9322,0,0,-385900,0.6858,0,0,-2169500,-0.5789,0,0,-2515300,-3.028,0,0,238,-0.001442628,-0.053156917,-0.007433333,-0.0433,10.8,94%,0.6826,0.724233333,-0.399440619,174283.3333,290201.6667,-0.006273396,-0.041663429,4
PRCP,9.25,Perceptron,23.570603,1.938481,0.392438,772000,1.9579,23594000,0.0556,1020000,2.7057,21397000,0.3107,366000,-0.855,20433000,-0.0606,1558000,1.6616,19269000,0.0998,754,-0.044169018,0.020470458,-0.463333333,0.2058,16.96,0.443985849,9.43,9.656666667,0.342604289,120810.6667,89982.33333,-0.047282912,0.020272193,14
AAL,42.04,美国航空,13.951762,-22.940672,3.102834,566000000,-0.3449,10935000000,0.0343,186000000,-0.4529,9707000000,0.0565,258000000,-0.1073,9251000000,0.0831,624000000,-0.1533,9577000000,0.0275,252,-0.022205767,0.006159187,-1.003333333,0.216666667,58.47,38%,36.44,40.45666667,0.223017996,33651604.33,27515216,-0.028224255,0.004037763,4
DZSI,11.57,"DASAN Zhone Solutions, Inc.",27.32679,2.666335,0.436202,1355000,255%,76257000,27%,141000,104%,59504000,14%,4158000,1.6658,68623000,0.1539,1387000,1.2896,66438000,1.1267,108,9%,2%,1.086666667,0.203333333,14.19,1%,14.07,13.39,114%,245733,114872.6667,10%,2%,2
