,2014-12-31,2015-12-31,2016-12-31,2017-12-31,code,name,category,pe
64,0.0903,0.0311,0.0835,0.0541,TI,意大利电信,电信,7.0
65,0.1679,0.1312,0.1376,0.1588,SAP,SAP,软件,36.6697261
66,0.0355,-0.065,0.0018,0.0345,BP,英国石油公司,,1134.24999865
67,1.0184,1.3039,1.2841,1.0416,ABBV,艾伯维公司,生物技术和制药,26.61983311
68,0.0,-0.1433,-0.0274,0.0702,E,埃尼石油公司,,-43.80459816
69,0.0,0.0,0.0,0.0,RYAAY,Ryanair Holdings Plc,航空公司,20.92391312
70,0.0903,0.0313,0.0214,0.0266,PTR,中国石油天然气股份有限公司,油气,122.68332948
71,1.0007,0.9144,0.6455,0.3246,IBM,IBM(国际商业机器有限公司),,11.78513672
72,0.0129,0.0138,0.0469,-0.0197,BJJN,iPath Series B Bloomberg Nickel Subindex Total Return ETN,,
73,0.0,0.0,0.0,0.0207,BHP,必和必拓,,52.81720275
74,0.0,0.0,0.0,0.0,NKE,耐克公司,,32.24166424
75,0.2001,0.2471,0.2585,0.0784,AMGN,安进公司,生物技术,19.13183672
76,-0.6836,-0.6128,-0.6651,-0.6198,PM,菲利普莫里斯国际公司,农业,18.45535713
77,0.0129,0.0138,0.0469,-0.0197,BALB,iPath Series B Bloomberg Cotton Subindex Total Return ETN,,
78,0.0,0.0,0.0,0.0,ADBE,Adobe,软件,98.6984762
79,0.0129,0.0138,0.0469,-0.0197,JJEB,iPath Series B Bloomberg Energy Subindex Total Return ETN,,
80,0.3702,0.639,-2.1266,-1.5887,MCD,麦当劳公司,零售,29.13786633
81,0.1109,-0.0592,0.1061,-0.071,GE,通用电气公司,多元化制造商,15.60674221
82,0.0,0.0,0.0,0.0,MDT,美敦力公司,,31.2226159
83,0.3803,0.4221,0.489,0.4189,MMM,明尼苏达矿业制造公司,,24.65441133
84,0.0,0.0,0.0,0.0,CCV,Comcast Corporation 5.00% Notes Due 2061,,14.03352032
85,0.0129,0.0138,0.0469,-0.0197,JJTB,iPath Series B Bloomberg Tin Subindex Total Return ETN,,
86,0.2715,0.3002,0.3433,0.3562,TXN,德州仪器公司,半导体,33.08620654
87,0.0,0.0,0.0,0.0,RY,加拿大皇家银行,银行,14.35754192
88,0.0129,0.0138,0.0469,-0.0197,JJUB,iPath Series B Bloomberg Aluminum Subindex Total Return ETN,,
89,1.665,1.8017,1.1119,0.6633,MO,奥驰亚集团公司,农业,8.03571405
90,0.1056,0.2074,0.0676,0.0153,ABT,雅培公司,,67.08510801
91,0.2405,0.2591,0.2479,0.0973,HON,霍尼韦尔国际公司,电子,23.79032331
92,0.0747,0.0556,0.0715,0.0826,SNP,中国石油化工股份有限公司,,16.11964253
93,0.0129,0.0138,0.0469,-0.0197,JJPB,iPath Series B Bloomberg Precious Metals Subindex TR ETN,,
94,0.2445,0.2305,0.2124,0.431,UNP,联合太平洋公司,运输,27.60157746
95,0.0129,0.0138,0.0469,-0.0197,JJGB,iPath Series B Bloomberg Grains Subindex Total Return ETN,,
96,0.0,0.0,0.0,0.0,CRM,赛富时公司,软件,567.7307924
97,0.0801,0.0754,0.0832,0.1468,SNY,赛诺菲-安万特公司,制药,21.50256373
98,0.0,0.0,0.0,0.0,WPPGY,WPP plc,广告,12.56398853
99,0.0129,0.0138,0.0469,-0.0197,JJAB,iPath Series B Bloomberg Agriculture Subindex Total Return ETN,,
100,0.0,0.0,0.0,0.0,TD,道明银行,银行,15.9806095
101,0.0129,0.0138,0.0469,-0.0197,JJMB,iPath Series B Bloomberg Industrial Metals Subindex TR ETN,,
102,0.0,0.0,0.0,0.6836,VZA,"Verizon Communications, Inc.",,8.10280371
103,0.0129,0.0138,0.0469,-0.0197,COWB,iPath Series B Bloomberg Livestock Subindex Total Return ETN,,
104,0.0508,0.0893,0.0952,0.1122,PYPL,PayPal,,76.51304321
105,0.0,0.0,0.0,0.0,ACN,埃森哲公司,,28.01499939
106,0.0129,0.0138,0.0469,-0.0197,JJSB,iPath Series B Bloomberg Softs Subindex Total Return ETN,,
107,0.2025,0.2751,0.1842,0.1559,UTX,联合技术公司,航空航天\/国防,21.1617642
108,0.5735,0.943,0.214,0.6217,GSK,葛兰素史克公司,生物技术和制药,90.73913244
109,0.0187,0.0894,0.0938,0.0976,ISF,ING Groep NV,,25.59804029
110,0.0,0.0,0.0,0.0473,DCM,NTT道康姆公司,电信,16.62337728
111,0.0129,0.0138,0.0469,-0.0197,JJCB,iPath Series B Bloomberg Copper Subindex Total Return ETN,,
112,0.7616,0.9472,0.6966,0.2265,GILD,吉利德科学公司,生物技术和制药,7.7847083
113,0.6572,0.7422,0.8378,0.7654,NVO,诺和诺德公司,制药,23.09259217
114,0.0187,0.0894,0.0938,0.0976,ISG,ING Groep NV,,22.22413916
115,0.0129,0.0138,0.0469,-0.0197,BJO,iPath Series B Bloomberg Coffee Subindex Total Return ETN,,
116,0.1554,0.165,0.1944,-0.0175,LLY,礼来公司,生物技术和制药,34.7713185
117,0.2827,0.2901,0.2174,0.2079,BKNG,"Booking Holdings, Inc.",,
118,0.0129,0.0138,0.0469,-0.0197,PGMB,iPath Series B Bloomberg Platinum Subindex Total Return ETN,,
119,0.1082,0.0052,0.1107,0.1699,VTI,大盘指数ETF-Vanguard MSCI,股权,6.01913442
120,0.119,-0.039,0.1044,0.1732,RIO,力拓公司,采矿,21.17647098
121,1.405,1.9446,7.9977,4.767,UPS,联合包裹服务公司,运输,28.15762389
122,0.0,0.0,0.0,0.0,COST,好市多公司,,39.95202772
123,0.1447,0.0595,-0.0392,-0.0406,SLB,斯伦贝谢公司,,-54.90322686
124,0.0629,0.1527,0.2043,0.1723,AZN,阿斯利康公司,制药,26.92753621
125,0.0129,0.0138,0.0469,-0.0197,SGGB,iPath Series B Bloomberg Sugar Subindex Total Return ETN,,
126,0.0,0.0,0.0,0.0,RAI,雷诺兹烟草,农业,15.38823565
127,0.1354,0.1131,0.2757,0.0823,BMY,百时美施贵宝公司,制药,21.45660323
128,0.2267,0.3851,0.1186,0.1403,BIDU,百度,媒体内容,57.70842243
129,0.1132,0.1079,0.0637,0.1007,LFC,中国人寿保险股份有限公司,保险,26.33333464
130,1.0629,1.164,3.3014,-3.2874,LMT,洛克希德马丁公司,,18.20297309
131,0.0758,-0.1283,-0.0827,0.1153,EQNR,Equinor ASA,,
132,0.0,0.0,0.0,0.0151,MTU,三菱日联金融集团,银行,13.83333336
133,0.0758,-0.1283,-0.0827,0.1153,STO,挪威石油公司,,-29.4999988
134,0.0,0.0,0.0,0.0942,FOXA,21世纪福克斯公司,,29.00000109
135,0.0773,0.0743,0.0729,0.0768,SAN,桑坦德银行,银行,12.31818206
136,0.0,0.0,0.0,0.0942,FOX,"Twenty-First Century Fox, Inc.",,28.77438966
137,0.0,0.0,0.0,0.0,QCOM,高通公司,半导体,17.80182924
138,0.2847,0.2497,0.2638,0.1501,AXP,美国运通公司,多元化金融服务,17.78761032
139,0.1019,0.0698,0.0846,0.0518,GS,高盛集团,,13.89871031
140,0.0509,0.0824,0.0793,0.0792,MS,摩根士丹利,,16.46575362
141,0.1695,0.1707,0.1412,0.1861,ASML,阿斯麦公司,半导体,50.81377514
142,0.0922,0.0925,0.0939,0.0876,TMO,赛默飞世尔科技公司,,41.49312193
143,0.1327,-0.1091,-0.101,-0.0257,COP,康菲石油公司,油气,-24.74226731
144,0.1467,0.1695,-44.653,0.0551,CAT,卡特彼勒公司,,-1172.91669288
145,0.1338,0.1267,0.124,0.1259,USB,美国合众银行,银行,15.71296287
146,0.0,0.0,0.0,0.0,TMUSP,"T-Mobile US, Inc.",,59.5562119
147,0.0,0.0,0.0,0.0,LOW,劳氏公司,零售,28.69740663
148,0.1186,0.1154,0.108,0.1551,BLK,贝莱德集团,,26.63287668
149,0.1224,0.1195,0.1186,0.1804,NEE,新纪元能源公司,电力,27.12320068
150,0.0,0.0,0.0633,0.0,KHC,The Kraft Heinz Co.,,22.72241985
151,0.1564,0.162,0.1611,0.1846,TWX,时代华纳公司,媒体内容,19.91330562
152,0.2832,0.2559,0.2804,0.1636,ABEV,安贝夫集团,,19.23999977
153,0.0,0.0,0.0,0.0,EFA,EAFE指数ETF-iShares MSCI,股权,5.93088356
154,0.0,0.0,0.0,0.0151,MUFG,"Mitsubishi UFJ Financial Group, Inc.",,
155,0.0129,0.0138,0.0469,-0.0197,VXXB,Barclays Bank PLC iPath Series B S&#38;P 500 VIX Short-Term Futu,,
156,0.0,0.0,0.0,0.0,AVGO,安华高科技,半导体,-42.80338391
157,0.1586,0.0524,0.0017,0.0649,CEO,中国海洋石油总公司,油气,1656.09998143
158,0.0,0.0,0.0,0.0335,WBK,澳洲西太平洋银行,银行,13.17365303
159,0.2721,0.3833,0.3047,0.2119,BIIB,百健艾迪股份有限公司,生物技术,20.58357972
160,0.1646,-0.3496,-0.0785,0.1586,EOG,依欧格资源公司,,-63.61616054
161,0.0,0.0,0.0,0.0,DVMT,"Dell Technologies, Inc.",,-39.0534975
162,-1.2534,0.0006,0.0744,0.2128,CHTR,特许通讯公司,媒体内容,19.1122257
163,0.0,0.0,0.0,0.3907,SBUX,星巴克公司,零售,26.47179368
164,0.0,0.0,0.0,0.1652,AABA,新雅虎公司,,
165,0.1223,0.1407,0.1444,0.1757,CVS,CVS健保公司,,13.97759662
166,0.1108,0.1413,0.1107,0.0945,DHR,丹纳赫公司,,27.17808065
167,0.0015,-0.3299,0.0994,0.1193,VALE,淡水河谷公司,钢铁,15.83132603
168,0.0,0.0,0.0,0.0,BNS,加拿大丰业银行,银行,12.94582408
169,0.0649,-0.0511,0.01,0.0,SU,森科能源公司,油气,209.54999611
170,0.0,0.108,0.0,0.1306,SCHW,嘉信理财公司,多元化金融服务,38.64122225
171,0.0,0.0,0.0,0.0844,SNE,索尼,计算机硬件,-171.96774504
172,-0.0706,-0.1364,-0.0516,0.0014,PBR,巴西石油公司,油气,-14.64383466
173,0.0,0.0,0.0,-0.0064,BDX,碧迪公司,医疗保健产品,41.1148081
174,0.0,0.0,0.0,0.0,MU,美光科技公司,半导体,88.04687458
175,0.0,0.0,0.0,0.0153,TTM,塔塔汽车,汽车制造,8.03765617
176,0.0599,0.1691,0.1725,0.1022,SYK,史赛克公司,医疗保健产品,40.0689671
177,0.0913,0.0901,0.0851,0.1132,PNC,PNC金融服务集团,银行,18.94794571
178,0.0,0.0,0.0,0.0,WBA,"Walgreens Boots Alliance, Inc.",,17.24074039
179,0.0,0.0,0.0,0.0113,VOD,沃达丰集团公司,电信,-8.4475527
180,0.018,-0.3215,-0.0267,0.0637,OXY,西方石油公司,,-111.51999919
181,0.106,0.1111,0.0984,0.0,ANTM,"Anthem, Inc.",,27.19978214
182,0.1168,0.1258,0.0,0.0,VMW,威睿公司,软件,55.77338297
183,0.079,0.2595,0.0662,0.1121,MDLZ,亿滋国际公司,,40.79047979
184,0.1981,0.1001,0.1202,0.154,AMT,美国电塔,,72.33838098
185,0.2351,0.2367,0.2453,0.0,CNI,加拿大国家铁路公司,运输,24.51714216
186,0.1405,0.148,0.1257,0.1203,AET,安泰保险,健康护理服务,29.93603806
187,0.3065,0.2707,0.3029,0.4248,CELG,新基公司,生物技术,34.41365547
188,0.0,0.0,0.0,0.0,VWO,新兴市场ETF-Vanguard MSCI,股权,27.43589795
189,0.0,0.0,0.0,0.0,FDX,联邦快递集团,,33.25035463
190,0.1154,0.1106,0.1059,0.0289,ATVI,动视暴雪公司,软件,63.67187642
191,0.1439,0.1248,0.1147,0.1254,EPD,Enterprise Products Partners LP,,23.66666541
192,0.0964,0.0973,0.0857,0.0755,CB,丘博保险公司,保险,14.89740711
193,-0.0706,-0.1364,-0.0516,0.0014,PBR.A,巴西石油公司,,
194,0.0725,0.1232,0.088,0.1049,BSBR,桑坦德巴西分行,银行,13.11290331
195,0.2024,0.2298,0.0446,0.1234,AMOV,America Movil SAB de CV,,125.7142879
196,0.0764,-0.0071,0.0911,0.0,ENB,安桥公司,,24.53793149
197,0.0,0.0,0.0,0.1188,ADP,自动数据处理公司,商业服务,36.91935357
198,0.2024,0.2298,0.0446,0.1234,AMX,美洲移动公司,,125.49999729
199,-0.0575,0.0512,0.1966,-0.0558,AGN,艾尔建制药公司,生物技术和制药,4.63986361
200,0.0,0.0,0.0,0.0,TJX,TJX公司,零售,27.55202335
201,0.124,0.1363,0.1274,0.1396,ISRG,直觉外科公司,医疗保健产品,27.99466309
202,0.1876,0.1991,0.131,0.1485,PUK,英国保诚集团,保险,24.49732688
203,0.3977,0.2834,0.2689,0.4271,LVS,金沙集团,住宿,35.109527
204,0.2323,0.1972,0.2087,0.191,RTN,雷神公司,航空航天\/国防,26.84811807
205,1.6888,-0.0035,0.0152,8.9465,CL,高露洁棕榄有限公司,,24.17279386
206,0.2141,0.2827,0.2497,0.2547,GD,通用动力,航空航天\/国防,20.22455518
207,0.0187,0.0894,0.0938,0.0976,ING,荷兰国际集团,保险,11.30232586
208,0.0539,0.0607,0.0754,0.1813,CME,美国芝加哥商品交易所集团,,36.84547372
209,0.0,0.0,0.0,0.3716,CSX,CSX运输,,35.75138184
210,0.0462,0.0712,0.0529,0.0734,DUK,杜克能源公司,电力,25.83974542
211,0.0,0.0,0.0,0.0,MON,孟山都公司,化学制品,35.05479277
212,0.067,0.1114,0.0605,0.0,UBS,瑞士银行,,17.85714341
213,0.286,0.3604,0.4183,0.2859,NOC,诺斯洛普&#8226;格鲁门公司,航空航天\/国防,26.39294685
214,0.0,0.0,0.0,0.0,AGG,债券指数ETF-iShares Barclays综合国债,股权,-35.26821285
215,0.1115,0.2384,0.2103,-0.1072,GM,通用汽车公司,汽车制造,6.5600001
216,0.0,0.0,0.0,0.0,INTU,财捷集团,软件,57.44892609
217,-0.1332,-0.2968,-0.0935,-0.0055,JD,京东,,-95.67499972
218,-0.3224,-0.8201,-0.1309,-0.3979,TSLA,特斯拉,汽车制造,-68.13461684
219,0.0,-0.0164,0.018,0.1024,AED,AEGON NV,,-85.03225938
220,0.0,0.0,0.0,0.0212,SMFG,三井住友金融集团,银行,10.27027001
221,0.0685,0.0827,0.0896,0.0985,BK,纽约梅隆银行公司,,16.83491974
222,0.0,-0.0164,0.018,0.1024,AEH,AEGON NV,,104.83999634
223,0.2764,0.4081,0.0,0.0,SPG,西蒙地产集团,,29.2487233
224,0.0,0.0,0.0,0.0,IRDMB,"Iridium Communications, Inc.",,610.41576209
225,0.0,-0.0164,0.018,0.1024,AEK,AEGON NV,,159.6874988
226,-96.3677,1.0903,1.251,0.7734,SPGI,标普全球,,26.53022574
227,0.0158,0.0443,0.0801,0.2011,TMUS,"T-Mobile US, Inc.",,36.49704036
228,0.0,0.0,0.0,0.0698,HMC,本田汽车公司,汽车制造,13.75586745
229,0.2177,0.1788,0.0693,0.1913,PSX,菲利普66公司,,38.29109405
230,0.0,0.0,0.0,0.0272,EL,雅诗兰黛公司,化妆品\/护理,48.61245688
231,0.0,0.0,0.0,0.0197,IBN,印度工业信贷投资银行,银行,14.62962922
232,0.0,-0.0164,0.018,0.1024,AEB,AEGON NV,,-79.74193266
233,0.0,0.0,0.0,0.0,BMO,蒙特利尔银行,银行,13.82010574
234,0.4317,0.3632,0.4778,0.3676,ITW,伊利诺工具集团,,25.21929909
235,0.0701,0.0246,-0.0045,-0.0922,AIG,美国国际集团,保险,-69.53846624
236,0.5836,0.8986,0.5757,0.6178,BTI,英美烟草公司,农业,16.70967769
237,0.0,0.0,0.0,0.0248,IJH,标普中型股400指数ETF-iShares,股权,7.96004794
238,0.2823,0.3243,0.2821,0.2006,PX,普莱克斯公司,化学制品,32.01535544
239,0.092,0.1075,0.0924,0.0343,SO,美国南方公司,电力,18.80784313
240,0.1859,0.175,0.1448,0.141,CTSH,高知特信息技术有限公司,,32.0431375
