code,name,category,pe
AAPL,苹果公司,计算机,24.96878840
AMZN,亚马逊公司,互联网,372.10000073
GOOGL,谷歌A类股,媒体内容,44.41033255
GOOG,谷歌,互联网,43.89203722
MSFT,微软公司,软件,50.72300240
BSMX,桑坦德银行墨西,银行,13.27419271
HSEA,HSBC Holdings Plc,,376.57143569
FB,Facebook,媒体内容,50.93982759
BRK.A,伯克希尔-哈撒韦,保险,25.96444875
BRK.B,伯克希尔-哈撒韦B,保险,0.01706471
BABA,阿里巴巴,,83.33640091
JPM,摩根大通公司,,18.91599277
DEO,帝亚吉欧公司,饮料,31.75000249
JNJ,强生公司,制药,22.25126488
FMX,Fomento Economico Mexicano SAB de CV,饮料,31.04126851
XOM,埃克森美孚公司,,42.65957295
BAC,美国银行公司,银行,21.00666682
V,维萨卡公司,,54.19380289
WFC,富国银行,银行,14.74436133
RDS.A,荷兰皇家壳牌石油公司,,16.41584166
RDS.B,荷兰皇家壳牌石油公司,,
HDB,HDFC银行,银行,253.63414334
WMT,沃尔玛公司,零售,20.45662012
ENIC,Enel Chile SA,,8.74999965
UNH,美国联合健康集团,卫生保健设施,35.47862086
PFE,辉瑞制药公司,制药,34.64957470
CVX,雪佛龙公司,油气,-459.44443749
FIYY,Barclays ETN+FI Enhanced Global High Yield ETN,,
BBL,必和必拓公司,,47.76343852
FFEU,Barclays ETN+FI Enhanced Europe 50 ETN,,
INTC,英特尔公司,半导体,23.41037913
LYG,劳埃德银行,银行,27.41666696
HD,家得宝公司,零售,30.33178375
NVS,诺华公司,生物技术和制药,29.76071545
TSM,台湾积体电路制造公司,半导体,19.57276826
VZ,威讯通信公司,,16.28348905
TM,丰田汽车公司,汽车制造,12.06801486
MA,万事达卡公司,商业服务,54.52574358
PG,宝洁公司,,15.07875481
BA,波音公司,航空航天\/国防,45.78712173
CSCO,思科系统公司,电信,22.07731988
KO,可口可乐公司,饮料,31.28858969
T,美国电话电报公司,电信,15.36666758
ORCL,甲骨文公司,软件,22.97156570
BUD,百威英博公司,饮料,141.74648230
HSBC,汇丰控股公司,银行,142.99999016
C,花旗集团,银行,15.33686496
NGG,英国国家电网公司,,15.72781007
CHL,中国移动通信集团公司,,11.54663236
AVAL,Grupo Aval Acciones y Valores SA,,12.16666578
MRK,默沙东集团,生物技术和制药,46.75886657
EOCC,Enel Generaci贸n Chile SA,,8.05364035
UN,联合利华,,29.20408192
UL,联合利华PLC,食品,28.96428538
DIS,沃特迪士尼公司,媒体内容,20.59386230
PEP,百事可乐公司,饮料,26.67431181
CMCSA,康卡斯特公司,媒体,19.78212324
HSEB,HSBC Holdings Plc,,34.90666707
TOT,道达尔公司,,25.34661322
SHPG,夏尔制药公司,生物技术和制药,139.53226044
TI,意大利电信,电信,7.40000010
DWDP,陶氏杜邦公司,,
NVDA,英伟达公司,半导体,98.09339014
TBB,AT&#38;T Inc.,,
NFLX,奈飞公司,,797.88369914
ABBV,艾伯维公司,生物技术和制药,26.59228533
BP,英国石油公司,,1099.25005509
SAP,SAP,软件,35.38532103
E,埃尼石油公司,,-43.26436688
IBM,IBM(国际商业机器有限公司),,11.93053276
PM,菲利普莫里斯国际公司,农业,19.38392767
BHP,必和必拓,,54.17204374
PTR,中国石油天然气股份有限公司,油气,121.48332749
NKE,耐克公司,,32.80833114
AMGN,安进公司,生物技术,19.33496191
BALB,iPath Series B Bloomberg Cotton Subindex Total Return ETN,,
BJJN,iPath Series B Bloomberg Nickel Subindex Total Return ETN,,
JJEB,iPath Series B Bloomberg Energy Subindex Total Return ETN,,
ADBE,Adobe,软件,96.67175948
MMM,明尼苏达矿业制造公司,,25.40318593
MCD,麦当劳公司,零售,28.71507446
MDT,美敦力公司,,31.97173350
JJGB,iPath Series B Bloomberg Grains Subindex Total Return ETN,,
RYAAY,Ryanair Holdings Plc,航空公司,18.19202872
CCV,Comcast Corporation 5.00% Notes Due 2061,,14.03352032
UNP,联合太平洋公司,运输,29.54240507
JJTB,iPath Series B Bloomberg Tin Subindex Total Return ETN,,
HON,霍尼韦尔国际公司,电子,25.00645130
ABT,雅培公司,,69.39362077
GE,通用电气公司,多元化制造商,14.76404557
SNP,中国石油化工股份有限公司,,16.84107128
RY,加拿大皇家银行,银行,14.54562426
JJAB,iPath Series B Bloomberg Agriculture Subindex Total Return ETN,,
MO,奥驰亚集团公司,农业,8.20467003
LLY,礼来公司,生物技术和制药,38.98449799
TXN,德州仪器公司,半导体,32.42528613
JJUB,iPath Series B Bloomberg Aluminum Subindex Total Return ETN,,
SNY,赛诺菲-安万特公司,制药,22.05640886
TD,道明银行,银行,16.40997324
UTX,联合技术公司,航空航天\/国防,21.87745129
WPPGY,WPP plc,广告,12.56398853
JJMB,iPath Series B Bloomberg Industrial Metals Subindex TR ETN,,
COWB,iPath Series B Bloomberg Livestock Subindex Total Return ETN,,
UPS,联合包裹服务公司,运输,30.78811500
VZA,"Verizon Communications, Inc.",,8.03115277
JJPB,iPath Series B Bloomberg Precious Metals Subindex TR ETN,,
CRM,赛富时公司,软件,542.46153254
ACN,埃森哲公司,,26.72833252
DCM,NTT道康姆公司,电信,16.62337728
JJSB,iPath Series B Bloomberg Softs Subindex Total Return ETN,,
GILD,吉利德科学公司,生物技术和制药,7.84004060
PYPL,PayPal,,74.07826453
NVO,诺和诺德公司,制药,23.14814723
ISF,ING Groep NV,,25.29411737
GSK,葛兰素史克公司,生物技术和制药,88.73912816
JJCB,iPath Series B Bloomberg Copper Subindex Total Return ETN,,
ISG,ING Groep NV,,22.10344839
AZN,阿斯利康公司,制药,28.01449274
VTI,大盘指数ETF-Vanguard MSCI,股权,6.08444254
BKNG,"Booking Holdings, Inc.",,
BJO,iPath Series B Bloomberg Coffee Subindex Total Return ETN,,
COST,好市多公司,,40.96494385
BMY,百时美施贵宝公司,制药,22.32452744
QCOM,高通公司,半导体,19.93902503
PGMB,iPath Series B Bloomberg Platinum Subindex Total Return ETN,,
RIO,力拓公司,采矿,20.66666735
TMO,赛默飞世尔科技公司,,45.83889987
RAI,雷诺兹烟草,农业,15.38823565
SGGB,iPath Series B Bloomberg Sugar Subindex Total Return ETN,,
ASML,阿斯麦公司,半导体,54.79081495
LMT,洛克希德马丁公司,,18.32761532
SLB,斯伦贝谢公司,,-53.13709587
GS,高盛集团,,14.37016471
MTU,三菱日联金融集团,银行,13.83333336
STO,挪威石油公司,,-29.49999880
MS,摩根士丹利,,17.09246525
SAN,桑坦德银行,银行,12.36363656
LFC,中国人寿保险股份有限公司,保险,25.20833469
EQNR,Equinor ASA,,
AXP,美国运通公司,多元化金融服务,17.83893791
