code,name,category,pe
AAPL,苹果公司,计算机,22.98199330
AMZN,亚马逊公司,互联网,370.14283997
GOOGL,谷歌A类股,媒体内容,42.96556818
MSFT,微软公司,软件,49.89201452
GOOG,谷歌,互联网,42.50036119
BSMX,桑坦德银行墨西,银行,12.85483827
FB,Facebook,媒体内容,60.15472833
HSEA,HSBC Holdings Plc,,376.57143569
BRK.A,伯克希尔-哈撒韦,保险,25.51354302
BRK.B,伯克希尔-哈撒韦B,保险,0.01676984
BABA,阿里巴巴,,86.29031955
DEO,帝亚吉欧公司,饮料,32.56034616
JPM,摩根大通公司,,17.97738251
XOM,埃克森美孚公司,,43.29787326
FMX,Fomento Economico Mexicano SAB de CV,饮料,30.34920495
JNJ,强生公司,制药,21.22259732
V,维萨卡公司,,54.64729057
BAC,美国银行公司,银行,20.08666611
RDS.B,荷兰皇家壳牌石油公司,,
RDS.A,荷兰皇家壳牌石油公司,,17.21039590
HDB,HDFC银行,银行,271.82926322
WFC,富国银行,银行,14.13784454
WMT,沃尔玛公司,零售,20.10502175
ENIC,Enel Chile SA,,8.59999940
UNH,美国联合健康集团,卫生保健设施,34.85517199
INTC,英特尔公司,半导体,24.48585031
CVX,雪佛龙公司,油气,-452.85182142
HD,家得宝公司,零售,31.38759735
FFEU,Barclays ETN+FI Enhanced Europe 50 ETN,,
FIYY,Barclays ETN+FI Enhanced Global High Yield ETN,,
BBL,必和必拓公司,,45.94623571
LYG,劳埃德银行,银行,27.50000022
PFE,辉瑞制药公司,制药,31.90598564
NVS,诺华公司,生物技术和制药,29.38214216
MA,万事达卡公司,商业服务,56.01897114
TM,丰田汽车公司,汽车制造,12.11397074
TSM,台湾积体电路制造公司,半导体,19.12206449
VZ,威讯通信公司,,15.76946988
BA,波音公司,航空航天\/国防,46.63600364
BUD,百威英博公司,饮料,147.35212100
ORCL,甲骨文公司,软件,22.99526202
PG,宝洁公司,,14.41025637
CSCO,思科系统公司,电信,21.65463767
KO,可口可乐公司,饮料,30.38926073
NGG,英国国家电网公司,,16.56804678
T,美国电话电报公司,电信,14.80952466
HSBC,汇丰控股公司,银行,143.57575511
AVAL,Grupo Aval Acciones y Valores SA,,12.25757550
CHL,中国移动通信集团公司,,11.38601087
C,花旗集团,银行,14.66525515
UN,联合利华,,29.57653066
UL,联合利华PLC,食品,29.12755053
MRK,默沙东集团,生物技术和制药,44.34042691
DIS,沃特迪士尼公司,媒体内容,20.12274443
EOCC,Enel Generaci贸n Chile SA,,7.73563270
PEP,百事可乐公司,饮料,26.60779784
HSEB,HSBC Holdings Plc,,34.90666707
CMCSA,康卡斯特公司,媒体,19.16201116
NFLX,奈飞公司,,839.65112044
SHPG,夏尔制药公司,生物技术和制药,138.10483765
TBB,AT&#38;T Inc.,,
DWDP,陶氏杜邦公司,,
TOT,道达尔公司,,24.49800873
NVDA,英伟达公司,半导体,97.62257039
TI,意大利电信,电信,6.96000004
BP,英国石油公司,,1113.50004778
SAP,SAP,软件,35.59633095
RYAAY,Ryanair Holdings Plc,航空公司,21.14130387
E,埃尼石油公司,,-43.36781533
ABBV,艾伯维公司,生物技术和制药,24.49311318
IBM,IBM(国际商业机器有限公司),,11.82148665
PTR,中国石油天然气股份有限公司,油气,120.16665935
PM,菲利普莫里斯国际公司,农业,18.81919580
NKE,耐克公司,,32.06666501
BHP,必和必拓,,52.12903136
ADBE,Adobe,软件,98.29771748
BALB,iPath Series B Bloomberg Cotton Subindex Total Return ETN,,
AMGN,安进公司,生物技术,18.60254001
BJJN,iPath Series B Bloomberg Nickel Subindex Total Return ETN,,
JJEB,iPath Series B Bloomberg Energy Subindex Total Return ETN,,
MCD,麦当劳公司,零售,29.03860286
MMM,明尼苏达矿业制造公司,,24.74877460
MDT,美敦力公司,,31.10247315
CCV,Comcast Corporation 5.00% Notes Due 2061,,14.03352032
HON,霍尼韦尔国际公司,电子,24.69838864
GE,通用电气公司,多元化制造商,14.74157314
JJTB,iPath Series B Bloomberg Tin Subindex Total Return ETN,,
JJGB,iPath Series B Bloomberg Grains Subindex Total Return ETN,,
TXN,德州仪器公司,半导体,33.04597683
RY,加拿大皇家银行,银行,14.39851049
ABT,雅培公司,,67.36170197
SNP,中国石油化工股份有限公司,,16.39107187
UNP,联合太平洋公司,运输,27.89151852
JJUB,iPath Series B Bloomberg Aluminum Subindex Total Return ETN,,
JJAB,iPath Series B Bloomberg Agriculture Subindex Total Return ETN,,
MO,奥驰亚集团公司,农业,7.91758211
SNY,赛诺菲-安万特公司,制药,21.71794740
CRM,赛富时公司,软件,564.88461732
COWB,iPath Series B Bloomberg Livestock Subindex Total Return ETN,,
TD,道明银行,银行,16.04155167
WPPGY,WPP plc,广告,12.56398853
JJPB,iPath Series B Bloomberg Precious Metals Subindex TR ETN,,
VZA,"Verizon Communications, Inc.",,8.10280371
JJMB,iPath Series B Bloomberg Industrial Metals Subindex TR ETN,,
UTX,联合技术公司,航空航天\/国防,21.28431323
PYPL,PayPal,,76.06087220
ACN,埃森哲公司,,27.75333405
GSK,葛兰素史克公司,生物技术和制药,91.02173516
JJSB,iPath Series B Bloomberg Softs Subindex Total Return ETN,,
ISF,ING Groep NV,,25.66666745
NVO,诺和诺德公司,制药,23.35185029
DCM,NTT道康姆公司,电信,16.62337728
ISG,ING Groep NV,,22.38793109
